	source	target	weight	edge_sample	edcolor
112	Granulicatella elegans	Gemella sanguinis	1.0	Intertype	#cccccc
113	Gemella sanguinis	Granulicatella elegans	1.0	Intertype	#cccccc
114	Haemophilus haemolyticus	Alloprevotella tannerae	1.0	Intertype	#cccccc
115	Alloprevotella tannerae	Haemophilus haemolyticus	1.0	Intertype	#cccccc
116	Haemophilus haemolyticus	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
117	Candidatus Saccharibacteria oral taxon TM7x	Haemophilus haemolyticus	1.0	Intertype	#cccccc
118	Haemophilus haemolyticus	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
119	Capnocytophaga sp. oral taxon 329	Haemophilus haemolyticus	1.0	Intertype	#cccccc
120	Haemophilus haemolyticus	Chlamydia trachomatis	1.0	Attached	#4e4dfc
121	Chlamydia trachomatis	Haemophilus haemolyticus	1.0	Attached	#4e4dfc
122	Haemophilus haemolyticus	Gemella haemolysans	1.0	Intertype	#cccccc
123	Gemella haemolysans	Haemophilus haemolyticus	1.0	Intertype	#cccccc
124	Haemophilus haemolyticus	Gemella sanguinis	1.0	Intertype	#cccccc
125	Gemella sanguinis	Haemophilus haemolyticus	1.0	Intertype	#cccccc
126	Haemophilus haemolyticus	Granulicatella elegans	1.0	Attached	#4e4dfc
127	Granulicatella elegans	Haemophilus haemolyticus	1.0	Attached	#4e4dfc
128	Haemophilus influenzae	Alloprevotella tannerae	1.0	Intertype	#cccccc
129	Alloprevotella tannerae	Haemophilus influenzae	1.0	Intertype	#cccccc
130	Haemophilus influenzae	Candidatus Saccharibacteria oral taxon TM7x	1.0	Intertype	#cccccc
131	Candidatus Saccharibacteria oral taxon TM7x	Haemophilus influenzae	1.0	Intertype	#cccccc
132	Haemophilus influenzae	Capnocytophaga sp. oral taxon 329	1.0	Intertype	#cccccc
133	Capnocytophaga sp. oral taxon 329	Haemophilus influenzae	1.0	Intertype	#cccccc
134	Haemophilus influenzae	Chlamydia trachomatis	1.0	Intertype	#cccccc
135	Chlamydia trachomatis	Haemophilus influenzae	1.0	Intertype	#cccccc
136	Haemophilus influenzae	Gemella haemolysans	1.0	Buccal_mucosa	#1996f3
137	Gemella haemolysans	Haemophilus influenzae	1.0	Buccal_mucosa	#1996f3
138	Haemophilus influenzae	Gemella sanguinis	1.0	Intertype	#cccccc
139	Gemella sanguinis	Haemophilus influenzae	1.0	Intertype	#cccccc
140	Haemophilus influenzae	Granulicatella elegans	1.0	Intertype	#cccccc
