	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
1413	Fusobacterium necrophorum	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1414	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1415	Fusobacterium sp. CM21	7	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1416	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1417	Fusobacterium sp. oral taxon 370	5	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1418	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1419	Kytococcus sedentarius	7	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
1420	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1421	Olsenella uli	5	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1422	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1423	Peptostreptococcaceae bacterium ACC19a	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1424	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1425	Peptostreptococcaceae bacterium OBRC8	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1426	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1427	Peptostreptococcus stomatis	1	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1428	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1429	Prevotella baroniae	1	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
1430	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1431	Prevotella bivia	6	Tongue_dorsum	#ff0000	9.0	4.0	#ff0000	#7effb5
1432	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1433	Prevotella fusca	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1434	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1435	Prevotella melaninogenica	2	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1436	Prevotella sp. F0091	6	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1437	Prevotella sp. C561	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1438	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1439	Atopobium rimae	3	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1440	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1441	Capnocytophaga sp. oral taxon 323	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
1442	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1443	Capnocytophaga sp. oral taxon 412	8	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
1444	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1445	Cardiobacterium hominis	8	Subgingival_plaque	#e4cf74	0.0	4.0	#8000ff	#7effb5
1446	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1447	Haemophilus parahaemolyticus	5	Buccal_mucosa	#1996f3	0.0	4.0	#8000ff	#7effb5
1448	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1449	Prevotella aurantiaca	1	Tongue_dorsum	#ff0000	0.0	4.0	#8000ff	#7effb5
1450	Prevotella sp. HJM029	5	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1451	Prevotella salivae	7	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
1452	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1453	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
1454	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1455	Actinomyces odontolyticus	7	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1456	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1457	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1458	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1459	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1460	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1461	Actinomyces sp. oral taxon 877	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1462	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1463	Alloprevotella tannerae	2	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
1464	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1465	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1466	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1467	Campylobacter curvus	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1468	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1469	Capnocytophaga granulosa	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1470	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1471	Corynebacterium argentoratense	6	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
1472	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1473	Cryptobacterium curtum	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1474	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1475	Eubacterium saphenum	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
1476	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1477	Fusobacterium necrophorum	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1478	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1479	Fusobacterium sp. CM21	7	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
1480	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1481	Fusobacterium sp. oral taxon 370	5	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1482	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1483	Kytococcus sedentarius	7	Saliva	#7effb5	3.0	0.0	#2adddd	#8000ff
1484	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1485	Lachnoanaerobaculum saburreum	2	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1486	Prevotella sp. ICM33	6	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
1487	Leptotrichia hofstadii	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
