	source	target	weight	edge_sample	edcolor
14551	Gemella morbillorum	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14552	Streptococcus pneumoniae	Granulicatella elegans	1.0	Attached	#4e4dfc
14553	Granulicatella elegans	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14554	Streptococcus pneumoniae	Haemophilus influenzae	1.0	Intertype	#cccccc
14555	Haemophilus influenzae	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14556	Streptococcus pneumoniae	Johnsonella ignava	1.0	Intertype	#cccccc
14557	Johnsonella ignava	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14558	Streptococcus pneumoniae	Kingella denitrificans	1.0	Intertype	#cccccc
14559	Kingella denitrificans	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14560	Streptococcus pneumoniae	Leptotrichia goodfellowii	1.0	Intertype	#cccccc
14561	Leptotrichia goodfellowii	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14562	Streptococcus pneumoniae	Leptotrichia sp. oral taxon 879	1.0	Intertype	#cccccc
14563	Leptotrichia sp. oral taxon 879	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14564	Streptococcus pneumoniae	Mogibacterium sp. CM50	1.0	Intertype	#cccccc
14565	Mogibacterium sp. CM50	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14566	Streptococcus pneumoniae	Mogibacterium timidum	1.0	Intertype	#cccccc
14567	Mogibacterium timidum	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14568	Streptococcus pneumoniae	Mycoplasma salivarium	1.0	Intertype	#cccccc
14569	Mycoplasma salivarium	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14570	Streptococcus pneumoniae	Neisseria bacilliformis	1.0	Intertype	#cccccc
14571	Neisseria bacilliformis	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14572	Streptococcus pneumoniae	Neisseria cinerea	1.0	Attached	#4e4dfc
14573	Neisseria cinerea	Streptococcus pneumoniae	1.0	Attached	#4e4dfc
14574	Streptococcus pneumoniae	Neisseria elongata	1.0	Intertype	#cccccc
14575	Neisseria elongata	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14576	Streptococcus pneumoniae	Neisseria macacae	1.0	Intertype	#cccccc
14577	Neisseria macacae	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14578	Streptococcus pneumoniae	Paraprevotella clara	1.0	Intertype	#cccccc
14579	Paraprevotella clara	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14580	Streptococcus pneumoniae	Parvimonas micra	1.0	Intertype	#cccccc
14581	Parvimonas micra	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14582	Streptococcus pneumoniae	Parvimonas sp. oral taxon 110	1.0	Intertype	#cccccc
14583	Parvimonas sp. oral taxon 110	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14584	Streptococcus pneumoniae	Parvimonas sp. oral taxon 393	1.0	Intertype	#cccccc
14585	Parvimonas sp. oral taxon 393	Streptococcus pneumoniae	1.0	Intertype	#cccccc
14586	Streptococcus pneumoniae	Peptostreptococcaceae bacterium ACC19a	1.0	Intertype	#cccccc
14587	Peptostreptococcaceae bacterium ACC19a	Streptococcus pneumoniae	1.0	Intertype	#cccccc
