TAXA	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Alcaligenaceae	Alteromonadaceae	Atopobiaceae	Aurantimonadaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Brevibacteriaceae	Burkholderiaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Catabacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chlamydiaceae	Chromatiaceae	Chromobacteriaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Intrasporangiaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Moritellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Rikenellaceae	Rivulariaceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Sutterellaceae	Synergistaceae	Thermaceae	Thermoactinomycetaceae	Veillonellaceae	Vibrionaceae	Xanthomonadaceae
Burkholderiaceae	0.0	0.0	0.2695035106346381	0.09779083022778345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2814912485304111	0.33535022985488183	0.0	0.0	0.0	0.0	0.7055921791286589	0.0	0.0	0.0	0.0	0.0	0.4131809777946416	0.0	0.3765410649896597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7182609319617055	0.0	0.47065437378110053	0.16716004129583517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3570138658737018	0.0	0.0	0.0	0.0	0.31473634356713825	0.0	0.0	0.0	0.05925417363022473	0.03930408303491111	0.0	0.0	0.0	0.0	0.14837485261074865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02132203636514819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1854682567081968	0.0	0.0	0.046461507648903666	0.0	0.0	0.0	0.0	0.0	0.20514474054091708	0.0	0.0	0.0	0.0
Campylobacteraceae	0.0	0.0	0.6679129907993633	0.0	0.0	0.0	0.0	0.10126517056077235	0.0	0.0	0.0	0.0	0.0	0.0	0.2814912485304111	0.0	0.5203049451992068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3821620759413308	0.2867976277865861	0.0	0.3376759235405686	0.0	0.0	0.0	0.4315471359061391	0.0	0.0	0.0	0.0	0.2826446071724082	0.0	0.0	0.4330435467244871	0.30908116890673365	0.0	0.02266356970149362	0.0	0.0	0.0	0.0	0.0	0.6047871544327603	0.39585086969295885	0.4169427016037795	0.0	0.0	0.1294687009397379	0.0	0.0	0.0	0.3436631095516072	0.18992612944785864	0.0	0.0	0.0	0.0	0.03271890042232819	0.0	0.0	0.2854106275265327	0.0	0.0	0.5207436709760567	0.0	0.3400582453329159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37180279668127103	0.6946709392971875	0.0	0.0	0.47140985227532534	0.0	0.18314788213117028	0.0	0.0	0.14321180272964593	0.2503657876435597	0.0	0.4202421537796038	0.0	0.0
Cardiobacteriaceae	0.0	0.0	0.5503362707947486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33535022985488183	0.5203049451992068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4712051532244915	0.0	0.5895789293305638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015940226699230294	0.06175495659948474	0.7044700755614246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5692117422463485	0.0	0.0	0.0	0.0	0.08127950899274458	0.0	0.0	0.0	0.37874181375539123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010046744213824916	0.0	0.0	0.056234693898902004	0.0	0.0	0.0	0.04050118558742285	0.0	0.0	0.0	0.0	0.5996689349900896	0.0	0.0	0.5892485264805492	0.0	0.0	0.0	0.0	0.42231300050394854	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45202756193236593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04112363515177676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.189794718673342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4565632685768019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8525196232378848	0.0	0.0	0.0	0.0	0.0	0.0	0.031140026975533933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Catabacteriaceae	0.0	0.1300340368001862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9741205037018615	0.0	0.0	0.3075107693368295	0.0	0.0	0.0	0.0	0.0	0.09624702937305533	0.20052525024365192	0.0	0.32376195411908876	0.048874048139029236	0.0	0.35213226613130205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5032339176101982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27825300433813205	0.0	0.0	0.0	0.43204937989385783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37800777173738825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caulobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17639447676819586	0.0	0.0	0.0	0.0	0.45202756193236593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7011894655987553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18143725011383174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3560103368178974	0.0	0.0	0.6265977635668885	0.0	0.6121372460988332	0.4830508474576276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5746796836493611	0.0	0.0	0.0	0.0	0.20018966068554084	0.0	0.0	0.0	0.0	0.27289374062017085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellulomonadaceae	0.11037742490183215	0.0	0.0	0.0	0.9621317425581444	0.0	0.0	0.0	0.0	0.0	0.05876699704642086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07339765074245207	0.0	0.0	0.3934150263546207	0.0	0.0	0.014108960341397256	0.0	0.04460637817067884	0.03285341238425142	0.023906083808976807	0.86973384578288	0.0	0.08037199153117992	0.0	0.12921199646971407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01017786859977137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16034564856177927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07373163623122822	0.37067761746340827	0.0	0.01456251542802559	0.0	0.0	0.979020675879705	0.0	0.0	0.0	0.0	0.013423826782412355	0.03601654960179359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10791452748127375	0.0	0.0
Cellvibrionaceae	0.0	0.0	0.0	0.07494198902284373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7055921791286589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9237194385034664	0.0	0.0	0.23567720382540147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30782527561666584	0.0	0.0	0.0	0.0	0.018059512354033518	0.0	0.0	0.0	0.0	0.18878140989774742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamydiaceae	0.019065601056451047	0.0	0.0	0.0	0.0	0.0	0.0	0.6639752853731258	0.0	0.0	0.0	0.7044882767645202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16028145598746538	0.015294164165327188	0.0	0.0	0.0	0.0	0.0	0.12517076799896498	0.0	0.0	0.0	0.0	0.0	0.0	0.4170831252080732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22657172131688377	0.0	0.0	0.0	0.0	0.2095016266845561	0.048557022469852086	0.0	0.0	0.0	0.0	0.1168899916848174	0.11238766846924114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29219245970965696	0.2769016604587228	0.0	0.0	0.0	0.0	0.0	0.21952284709009862	0.0	0.0
Chromatiaceae	0.0	0.0	0.0	0.0	0.0	1.000000000000001	0.0	0.0	0.0	0.6334028856690616	0.0	0.0	0.8016283528685411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3517805655265303	0.0	0.0	0.0	0.9874813778424141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999986	0.0	0.0	1.000000000000001	0.9991321101744798	0.0	0.0	0.0	0.0	0.0	0.9657028635723626	0.0	0.0	0.052871336329038544	0.0	0.7225335725749922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999999999999999	0.0	0.0	0.0	0.0	0.8887302677564441	0.40669271204200474	0.0	0.0	0.0	0.0	0.0	0.07217505606653167	0.0	0.0	0.0	0.8465000398327762	0.0	0.061835744050287106	0.17024931988624484	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170583	0.9879077552047656
