	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Afipia	Actinobaculum	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	2
1	Actinobaculum	Afipia	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	2
2	Aggregatibacter	Afipia	1.0	2	1	Mixed	Throat	Intertype	#cccccc	#ff5029	#cccccc	2
3	Afipia	Aggregatibacter	1.0	1	2	Throat	Mixed	Intertype	#ff5029	#cccccc	#cccccc	2
4	Alistipes	Abiotrophia	1.0	1	2	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	2
5	Abiotrophia	Alistipes	1.0	2	1	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	2
6	Alistipes	Actinomyces	1.0	1	2	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	2
7	Actinomyces	Alistipes	1.0	2	1	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	2
8	Atopobium	Actinomyces	1.0	2	2	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	2
9	Actinomyces	Atopobium	1.0	2	2	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	2
10	Atopobium	Alistipes	1.0	2	1	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	2
11	Alistipes	Atopobium	1.0	1	2	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	2
12	Bacillus	Abiotrophia	1.0	1	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	2
13	Abiotrophia	Bacillus	1.0	2	1	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	2
14	Bacillus	Actinomyces	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	2
15	Actinomyces	Bacillus	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2
16	Bacillus	Alistipes	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	2
