TAXA	Abiotrophia	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Alloprevotella	Anaeroglobus	Atopobium	Avibacterium	Bacteroides	Bifidobacterium	Brochothrix	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Clostridium	Corynebacterium	Cryptobacterium	Dialister	Eubacterium	Faecalibacterium	Filifactor	Gallibacterium	Gardnerella	Histophilus	Johnsonella	Kingella	Kytococcus	Lachnoclostridium	Lactococcus	Lautropia	Leptotrichia	Mannheimia	Moraxella	Moritella	Morococcus	Mycoplasma	Necropsobacter	Oribacterium	Ottowia	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Prevotella	Propionibacterium	Rothia	Ruminococcus	Sanguibacter	Scardovia	Simonsiella	Solobacterium	Staphylococcus	Tannerella	Treponema	Varibaculum	Veillonella	Vibrio
Abiotrophia	0.0	0.0	0.9703784010607079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9703784010607077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.875	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9185586535436919	0.875	0.875	0.0	0.0	0.875	0.0	0.0	0.8342797655898931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875
Actinobaculum	0.9703784010607079	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8369768812759681	0.0	0.0	0.0	0.9999999999999999	0.0	0.8607285626355069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8017837257372733	0.8017837257372732	0.0	0.0	0.9999999999999999	0.9647881296349099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.991031208965115	0.0	0.9855274566525746	0.9925859448717141	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.8770580193070293	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8623290079778784	0.0	0.0	0.8623290079778784	0.0	0.0	0.856564426338403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8043412560785577	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.9660722399132524	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524	0.9660722399132524	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9660722399132524
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.9128709291752769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8669115131260137	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8678636211259824	0.0	0.9704949588309456	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9089673318998405	0.0	0.0	0.9089673318998405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Avibacterium	0.0	0.875	0.0	0.0	0.0	0.9660722399132524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9534625892455921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999
Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8897565210026092	0.0	0.0	0.0	0.0	0.0
