TAXA	Acidovorax	Actinomyces	Afipia	Akkermansia	Alistipes	Alloprevotella	Bacillus	Bosea	Brevibacterium	Burkholderia	Campylobacter	Capnocytophaga	Chlamydia	Chryseobacterium	Comamonas	Dolosigranulum	Enhydrobacter	Enterobacter	Eubacterium	Exiguobacterium	Facklamia	Faecalibacterium	Fenollaria	Gemella	Haemophilus	Kocuria	Lactococcus	Lawsonella	Levyella	Mageeibacillus	Megasphaera	Methylobacterium	Micrococcus	Mobiluncus	Mycoplasma	Nocardia	Nosocomiicoccus	Odoribacter	Oscillibacter	Paenibacillus	Parabacteroides	Paracoccus	Paraprevotella	Peptostreptococcus	Propionibacterium	Rhodopseudomonas	Roseburia	Rothia	Ruminococcus	Sneathia	Sphingobium	Sphingomonas	Sphingopyxis	Staphylococcus	Stenotrophomonas	Sutterella	Treponema	Varibaculum
Acidovorax	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9452941770058043	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9754172691319662	0.8838834764831841	0.9819805060619655	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.8029550685469659
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9799118698777318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9999999999999998	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9452941770058043	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9754172691319662	0.8838834764831841	0.9819805060619655	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.8029550685469659
Akkermansia	0.0	0.0	0.0	0.0	0.8838834764831841	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9999999999999998	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.8838834764831841	0.0	0.9999999999999996	0.0	0.9449111825230682	0.0	0.0	0.0	0.979911869877732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.0	0.8838834764831841	0.0	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.8838834764831841	0.0	0.0	0.0	0.8838834764831841	0.0	0.8838834764831841	0.8838834764831841	0.0	0.0	0.8838834764831844	0.0	0.0	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8838834764831841	0.8838834764831841	0.0	1.0000000000000004	0.0	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.9999999999999996	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9999999999999998	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.8838834764831841	0.0	0.9999999999999996	0.0	0.9449111825230682	0.0	0.0	0.0	0.979911869877732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9452941770058043	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9754172691319662	0.8838834764831841	0.9819805060619655	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.8029550685469659
Bosea	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.0	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.9999999999999996	0.0	0.0	0.9452941770058043	0.0	0.0	0.0	0.9999999999999996	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9754172691319662	0.8838834764831841	0.9819805060619655	0.0	0.9999999999999996	0.9999999999999996	0.9999999999999996	0.8029550685469659
Brevibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96875	0.0	0.0	0.0	0.0	0.0	0.9452941770058044	0.0	0.0	0.0	0.0
Burkholderia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9687499999999998	0.0	0.0	0.0	0.0	0.0	0.9452941770058041	0.0	0.0	0.0	0.0
