	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Eubacterium] rectale	[Eubacterium] infirmum	1.0	1	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	6.0	0.0	#ff0000	#8000ff
1	[Eubacterium] infirmum	[Eubacterium] rectale	1.0	2	1	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
2	Abiotrophia defectiva	[Eubacterium] rectale	1.0	2	1	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
3	[Eubacterium] rectale	Abiotrophia defectiva	1.0	1	2	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	6.0	0.0	#ff0000	#8000ff
4	Actinobaculum sp. oral taxon 183	[Eubacterium] yurii	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	3.0	1.0	#7effb5	#ff0000
5	[Eubacterium] yurii	Actinobaculum sp. oral taxon 183	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5.0	1.0	#ff8143	#ff0000
6	Actinomyces georgiae	[Eubacterium] rectale	1.0	2	1	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
7	[Eubacterium] rectale	Actinomyces georgiae	1.0	1	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	6.0	0.0	#ff0000	#8000ff
8	Actinomyces graevenitzii	[Eubacterium] infirmum	1.0	1	2	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	6.0	0.0	#ff0000	#8000ff
9	[Eubacterium] infirmum	Actinomyces graevenitzii	1.0	2	1	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	1.0	0.0	#2c7ef7	#8000ff
10	Actinomyces graevenitzii	[Eubacterium] rectale	1.0	1	1	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	6.0	0.0	#ff0000	#8000ff
11	[Eubacterium] rectale	Actinomyces graevenitzii	1.0	1	1	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	6.0	0.0	#ff0000	#8000ff
12	Actinomyces graevenitzii	Abiotrophia defectiva	1.0	1	2	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc	6.0	0.0	#ff0000	#8000ff
13	Abiotrophia defectiva	Actinomyces graevenitzii	1.0	2	1	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc	6.0	0.0	#ff0000	#8000ff
14	Actinomyces graevenitzii	Actinomyces georgiae	1.0	1	2	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	6.0	0.0	#ff0000	#8000ff
15	Actinomyces georgiae	Actinomyces graevenitzii	1.0	2	1	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	6.0	0.0	#ff0000	#8000ff
16	Actinomyces massiliensis	[Eubacterium] yurii	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5.0	1.0	#ff8143	#ff0000
17	[Eubacterium] yurii	Actinomyces massiliensis	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5.0	1.0	#ff8143	#ff0000
18	Actinomyces meyeri	[Eubacterium] yurii	1.0	1	2	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	2.0	1.0	#2adddd	#ff0000
19	[Eubacterium] yurii	Actinomyces meyeri	1.0	2	1	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	5.0	1.0	#ff8143	#ff0000
20	Actinomyces meyeri	Actinobaculum sp. oral taxon 183	1.0	1	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	2.0	1.0	#2adddd	#ff0000
