TAXA	Abiotrophia	Acetivibrio	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Alysiella	Anaeroglobus	Aquabacterium	Arcanobacterium	Atopobium	Avibacterium	Bacillus	Bacteroides	Barnesiella	Basfia	Bergeyella	Bifidobacterium	Blautia	Brevibacterium	Bulleidia	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Clostridium	Collinsella	Conchiformibius	Coprobacillus	Coprococcus	Corynebacterium	Cryptobacterium	Deinococcus	Dermabacter	Dialister	Dolosigranulum	Eggerthia	Eikenella	Escherichia	Eubacterium	Faecalibacterium	Ferrimonas	Filifactor	Flavobacterium	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Gordonia	Granulicatella	Haemophilus	Hallella	Helicobacter	Intestinimonas	Isoptericola	Johnsonella	Kineosphaera	Kingella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Listeria	Mannheimia	Megamonas	Megasphaera	Mitsuokella	Mogibacterium	Moraxella	Morococcus	Mycoplasma	Necropsobacter	Neisseria	Novosphingobium	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Providencia	Pseudoflavonifractor	Pseudomonas	Pseudoramibacter	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Scardovia	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Sporosarcina	Staphylococcus	Stenotrophomonas	Stomatobaculum	Streptococcus	Subdoligranulum	Sutterella	Tannerella	Thauera	Treponema	Trueperella	Tyzzerella	Variovorax	Veillonella	Vibrio	Vitreoscilla	Xanthomonas	Xylanimonas
Thauera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0
Treponema	22.0	0.0	0.0	0.0	0.0	18.0	55.0	0.0	25.0	0.0	6.0	28.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	42.0	38.0	4.0	31.0	0.0	23.0	12.0	5.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	13.0	0.0	0.0	48.0	0.0	35.0	2.0	0.0	4.0	0.0	48.0	0.0	0.0	0.0	0.0	7.0	20.0	0.0	2.0	0.0	0.0	21.0	0.0	50.0	0.0	22.0	23.0	0.0	0.0	0.0	34.0	38.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	8.0	0.0	36.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0	44.0	43.0	32.0	52.0	10.0	21.0	0.0	16.0	54.0	52.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	14.0	32.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	4.0
Trueperella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tyzzerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Veillonella	51.0	0.0	0.0	0.0	0.0	62.0	83.0	0.0	37.0	0.0	10.0	40.0	0.0	16.0	0.0	18.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	55.0	84.0	68.0	0.0	61.0	0.0	36.0	0.0	9.0	0.0	0.0	0.0	0.0	31.0	12.0	0.0	0.0	26.0	0.0	10.0	91.0	0.0	42.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	5.0	0.0	15.0	56.0	0.0	0.0	0.0	6.0	19.0	0.0	101.0	0.0	46.0	58.0	0.0	0.0	13.0	63.0	69.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	19.0	10.0	0.0	68.0	0.0	4.0	14.0	14.0	0.0	10.0	0.0	70.0	46.0	61.0	76.0	20.0	20.0	0.0	43.0	85.0	64.0	83.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	74.0	0.0	0.0	3.0	7.0	43.0	0.0	2.0	0.0	22.0	0.0	0.0	0.0	16.0	73.0	0.0	0.0	24.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vitreoscilla	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xanthomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Xylanimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
