TAXA	Abiotrophia	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Alistipes	Alloprevotella	Atopobium	Bacillus	Bacteroides	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Catonella	Centipeda	Corynebacterium	Dialister	Eggerthia	Eikenella	Eubacterium	Faecalibacterium	Filifactor	Fusobacterium	Gemella	Granulicatella	Haemophilus	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lactobacillus	Lautropia	Leptotrichia	Megasphaera	Mogibacterium	Mycoplasma	Neisseria	Olsenella	Oribacterium	Oscillibacter	Ottowia	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoclostridium	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Roseburia	Rothia	Ruminococcus	Selenomonas	Shuttleworthia	Simonsiella	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Tannerella	Treponema	Veillonella
Abiotrophia	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
Actinobaculum	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0
Actinomyces	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0
Afipia	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
Aggregatibacter	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
Alistipes	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
Alloprevotella	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
Atopobium	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
Bacillus	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
Bacteroides	2.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
