	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Atopobium	Actinobaculum	4.0	5	8	Posterior_fornix	Supragingival_plaque	Intertype	#4df3ce	#ff964f	#cccccc	8
1	Actinobaculum	Atopobium	4.0	8	5	Supragingival_plaque	Posterior_fornix	Intertype	#ff964f	#4df3ce	#cccccc	8
2	Campylobacter	Bergeyella	3.0	8	3	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
3	Bergeyella	Campylobacter	3.0	3	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
4	Capnocytophaga	Bergeyella	3.0	8	3	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
5	Bergeyella	Capnocytophaga	3.0	3	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
6	Chryseobacterium	Campylobacter	4.0	5	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
7	Campylobacter	Chryseobacterium	4.0	8	5	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
8	Eubacterium	Dialister	3.0	8	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8
9	Dialister	Eubacterium	3.0	6	8	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8
10	Filifactor	Bacteroides	2.0	3	3	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	8
11	Bacteroides	Filifactor	2.0	3	3	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	8
12	Fusobacterium	Catonella	4.0	7	6	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	8
13	Catonella	Fusobacterium	4.0	6	7	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	8
14	Gemella	Eubacterium	4.0	8	8	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc	8
15	Eubacterium	Gemella	4.0	8	8	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc	8
16	Haemophilus	Gemella	4.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
17	Gemella	Haemophilus	4.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
18	Johnsonella	Catonella	3.0	5	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
19	Catonella	Johnsonella	3.0	6	5	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
20	Johnsonella	Fusobacterium	3.0	5	7	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8
21	Fusobacterium	Johnsonella	3.0	7	5	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8
22	Johnsonella	Gemella	3.0	5	8	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8
