source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Anaerotruncus	0	Anaerotruncus	Acinetobacter	7.0	13	8	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	16	11.0	2.0	#cbe486	#3c68f9
Acinetobacter	1	Acinetobacter	Anaerotruncus	7.0	8	13	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	16	11.0	2.0	#cbe486	#3c68f9
Bacillus	2	Bacillus	Actinomyces	2.0	3	4	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	16	6.0	3.0	#34e4d9	#1996f3
Actinomyces	3	Actinomyces	Bacillus	2.0	4	3	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	16	6.0	3.0	#34e4d9	#1996f3
Bacteroides	4	Bacteroides	Alistipes	7.0	16	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	8.0	2.0	#70febc	#3c68f9
Alistipes	5	Alistipes	Bacteroides	7.0	15	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	8.0	2.0	#70febc	#3c68f9
Bilophila	6	Bilophila	Acidaminococcus	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	1.0	1.0	#622ffe	#5e35fe
Acidaminococcus	7	Acidaminococcus	Bilophila	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	1.0	1.0	#622ffe	#5e35fe
Blautia	8	Blautia	Acetivibrio	10.0	16	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	4.0	0.0	#08acee	#8000ff
Acetivibrio	9	Acetivibrio	Blautia	10.0	13	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	4.0	0.0	#08acee	#8000ff
Blautia	10	Blautia	Akkermansia	7.0	16	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	4.0	0.0	#08acee	#8000ff
Akkermansia	11	Akkermansia	Blautia	7.0	15	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	14.0	0.0	#ff8646	#8000ff
Butyricimonas	12	Butyricimonas	Acholeplasma	2.0	11	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	8.0	1.0	#70febc	#5e35fe
Acholeplasma	13	Acholeplasma	Butyricimonas	2.0	3	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	1.0	1.0	#622ffe	#5e35fe
Butyricimonas	14	Butyricimonas	Acidaminococcus	2.0	11	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	8.0	1.0	#70febc	#5e35fe
Acidaminococcus	15	Acidaminococcus	Butyricimonas	2.0	2	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16	1.0	1.0	#622ffe	#5e35fe
Campylobacter	16	Campylobacter	Anaerofustis	1.0	1	1	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	16	15.0	4.0	#ff5c2f	#08bee9
Anaerofustis	17	Anaerofustis	Campylobacter	1.0	1	1	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	16	15.0	4.0	#ff5c2f	#08bee9
Capnocytophaga	18	Capnocytophaga	Alloprevotella	1.0	1	2	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	16	17.0	6.0	#ff0000	#4df3ce
Alloprevotella	19	Alloprevotella	Capnocytophaga	1.0	2	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	16	17.0	6.0	#ff0000	#4df3ce
