source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces	0	Actinomyces	Actinobaculum	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	4.0	1.0	#ff0000	#5c38fd
Actinobaculum	1	Actinobaculum	Actinomyces	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8	0.0	1.0	#8000ff	#5c38fd
Aggregatibacter	2	Aggregatibacter	Abiotrophia	6.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	0.0	0.0	#8000ff	#8000ff
Abiotrophia	3	Abiotrophia	Aggregatibacter	6.0	8	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	0.0	0.0	#8000ff	#8000ff
Alistipes	4	Alistipes	Akkermansia	1.0	4	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8	0.0	3.0	#8000ff	#149df1
Akkermansia	5	Akkermansia	Alistipes	1.0	1	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	8	0.0	3.0	#8000ff	#149df1
Avibacterium	6	Avibacterium	Alloprevotella	2.0	2	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	3.0	5.0	#feb562	#37e6d8
Alloprevotella	7	Alloprevotella	Avibacterium	2.0	8	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	3.0	5.0	#feb562	#37e6d8
Bacillus	8	Bacillus	Avibacterium	2.0	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	8	3.0	5.0	#feb562	#37e6d8
Avibacterium	9	Avibacterium	Bacillus	2.0	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	8	3.0	5.0	#feb562	#37e6d8
Basfia	10	Basfia	Alloprevotella	2.0	2	8	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	3.0	5.0	#feb562	#37e6d8
Alloprevotella	11	Alloprevotella	Basfia	2.0	8	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8	3.0	5.0	#feb562	#37e6d8
