	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
2	Aggregatibacter	Abiotrophia	7.0	31	29	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
3	Abiotrophia	Aggregatibacter	7.0	29	31	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
4	Akkermansia	Acetivibrio	7.0	21	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
5	Acetivibrio	Akkermansia	7.0	13	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
6	Alloprevotella	Actinobacillus	4.0	32	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
7	Actinobacillus	Alloprevotella	4.0	10	32	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
8	Anaeroglobus	Abiotrophia	3.0	9	29	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
9	Abiotrophia	Anaeroglobus	3.0	29	9	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61
10	Anaeroglobus	Actinobaculum	3.0	9	25	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
11	Actinobaculum	Anaeroglobus	3.0	25	9	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
12	Anaeroglobus	Aggregatibacter	5.0	9	31	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
13	Aggregatibacter	Anaeroglobus	5.0	31	9	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61
14	Anaeroglobus	Alloprevotella	3.0	9	32	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
15	Alloprevotella	Anaeroglobus	3.0	32	9	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61
16	Anaerostipes	Adlercreutzia	4.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
17	Adlercreutzia	Anaerostipes	4.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
18	Avibacterium	Actinobacillus	2.0	3	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
19	Actinobacillus	Avibacterium	2.0	10	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
20	Avibacterium	Alloprevotella	2.0	3	32	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
21	Alloprevotella	Avibacterium	2.0	32	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
22	Bacillus	Aliterella	1.0	17	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
23	Aliterella	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
24	Bacillus	Arthrobacter	1.0	17	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
25	Arthrobacter	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
26	Bacillus	Azohydromonas	1.0	17	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
27	Azohydromonas	Bacillus	1.0	1	17	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61
28	Bacteroides	Alistipes	7.0	47	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
29	Alistipes	Bacteroides	7.0	29	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
30	Barnesiella	Bacteroides	3.0	15	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
31	Bacteroides	Barnesiella	3.0	47	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
32	Basfia	Actinobacillus	2.0	2	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
33	Actinobacillus	Basfia	2.0	10	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
34	Basfia	Avibacterium	2.0	2	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
35	Avibacterium	Basfia	2.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
36	Bibersteinia	Avibacterium	1.0	2	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
37	Avibacterium	Bibersteinia	1.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
38	Bibersteinia	Basfia	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
39	Basfia	Bibersteinia	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61
40	Bilophila	Acholeplasma	2.0	10	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
41	Acholeplasma	Bilophila	2.0	3	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
42	Blautia	Acetivibrio	10.0	19	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
43	Acetivibrio	Blautia	10.0	13	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
44	Blautia	Akkermansia	7.0	19	21	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
45	Akkermansia	Blautia	7.0	21	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
46	Blautia	Anaerostipes	6.0	19	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
47	Anaerostipes	Blautia	6.0	10	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
48	Bradyrhizobium	Afipia	1.0	1	4	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61
49	Afipia	Bradyrhizobium	1.0	4	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	61
50	Butyricicoccus	Alistipes	3.0	10	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
51	Alistipes	Butyricicoccus	3.0	29	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
52	Butyricicoccus	Bacteroides	3.0	10	47	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
53	Bacteroides	Butyricicoccus	3.0	47	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
54	Butyricicoccus	Barnesiella	2.0	10	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
55	Barnesiella	Butyricicoccus	2.0	15	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
56	Butyricimonas	Alistipes	2.0	11	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
57	Alistipes	Butyricimonas	2.0	29	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
58	Butyricimonas	Blautia	3.0	11	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
59	Blautia	Butyricimonas	3.0	19	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
60	Butyrivibrio	Acholeplasma	1.0	14	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
61	Acholeplasma	Butyrivibrio	1.0	3	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
62	Campylobacter	Actinobacillus	4.0	37	10	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
63	Actinobacillus	Campylobacter	4.0	10	37	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61
64	Campylobacter	Brochothrix	2.0	37	4	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	61
65	Brochothrix	Campylobacter	2.0	4	37	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	61
66	Capnocytophaga	Campylobacter	7.0	34	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
67	Campylobacter	Capnocytophaga	7.0	37	34	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
68	Catenibacterium	Acholeplasma	1.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
69	Acholeplasma	Catenibacterium	1.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
70	Catonella	Actinomyces	7.0	25	39	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
71	Actinomyces	Catonella	7.0	39	25	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
72	Catonella	Anaeroglobus	4.0	25	9	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
73	Anaeroglobus	Catonella	4.0	9	25	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
74	Catonella	Campylobacter	7.0	25	37	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
75	Campylobacter	Catonella	7.0	37	25	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
76	Centipeda	Actinobaculum	4.0	16	25	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
77	Actinobaculum	Centipeda	4.0	25	16	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
78	Centipeda	Anaeroglobus	4.0	16	9	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
79	Anaeroglobus	Centipeda	4.0	9	16	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
80	Centipeda	Campylobacter	5.0	16	37	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	61
81	Campylobacter	Centipeda	5.0	37	16	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	61
82	Chlamydia	Abiotrophia	3.0	8	29	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc	61
83	Abiotrophia	Chlamydia	3.0	29	8	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc	61
84	Chryseobacterium	Alloprevotella	4.0	13	32	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61
