TAXA	Acholeplasmatales	Acidaminococcales	Actinomycetales	Alteromonadales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Geodermatophilales	Hydrogenophilales	Lactobacillales	Micrococcales	Mycoplasmatales	Neisseriales	Nostocales	Oceanospirillales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thermales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Oceanospirillales	0.0	0.0	0.0	0.0	0.45048181150330435	0.0	0.0	0.0	0.025752808214851586	0.0	0.0	0.0	0.4801162497856349	0.0	0.0	0.0	0.0	0.0	0.043141751948457256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4228565727048155	0.0	0.0	0.11889565790603632	0.0	0.0	0.0	0.0	0.0	0.0	0.12473713740789412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42625331360585017	0.0	0.0	0.0
Pasteurellales	0.0	0.0	0.0	0.542156525723657	0.5330049835387491	0.0	0.0	0.07747590414018543	0.019321193625929357	0.0	0.0	0.1959552134620455	0.36425752127525646	0.0	0.0	0.0	0.0	0.0	0.07055675818884645	0.0	0.0	0.0	0.0	0.02382993904581227	0.22721387437933424	0.0	0.0	0.0	0.12722304968347142	0.0	0.23076249914802247	0.0	0.11889565790603632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0521524049632819	0.10249075775609018	0.0	0.0	0.0	0.2490843216024836	0.8169822639940145	0.0	0.19038229905712184	0.0	0.0	0.0
Pleurocapsales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000002	0.0	0.010947373799108706	0.0	0.0	0.9808509070695179	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000027	1.000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8928345595817688	0.06892783769966947	0.6912081534659146	0.0	0.0	0.0	0.0	0.7077186267934864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119229	0.9884647378532225
Propionibacteriales	0.0	0.0	0.09717117171768334	0.0	0.12494267907412974	0.0	0.0	0.02036645060859283	0.0	0.0639478682312104	0.0	0.0	0.0	0.8928345595817682	0.32714151654143675	0.0	0.0	0.2539823244334373	0.8638240719722189	0.0	0.0	0.08558941276764212	0.0	0.06640654785564408	0.0	0.8928345595817688	0.8928345595817682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8928345595817688	0.0	0.24862976800837103	0.8252509489602391	0.16252170457980375	0.0	0.0	0.17409640793767395	0.6207660482374273	0.0	0.3271415165414371	0.0	0.0	0.0	0.14621065059448363	0.0	0.0	0.8916350582582614	0.9291913313270835
Pseudomonadales	0.0	0.0	0.0	0.0	0.14913981225261383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06892783769966944	0.5186539531456198	0.0	0.0	0.12297746759804849	0.05315684561891777	0.0	0.0	0.0762060167811377	0.0	0.0	0.0	0.06892783769966947	0.06892783769966944	0.015454020471015042	0.0	0.0	0.0	0.0	0.0	0.0	0.06892783769966947	0.24862976800837103	0.0	0.2553733191693036	0.03983050114808358	0.0	0.0	0.06594244059617108	0.04836020381204025	0.0	0.5186539531456202	0.0	0.0	0.0	0.02932743352464552	0.0	0.0	0.06773297711712045	0.17624362263787335
Rhizobiales	0.0	0.0	0.0	0.0	0.14161436122456167	0.0	0.0	0.0	0.0	0.0	0.04142222068333024	0.0	0.0	0.691208153465914	0.333282029854534	0.0	0.0	0.12634010314798402	0.6805969829028171	0.0	0.0	0.5010797092193412	0.0	0.0	0.0	0.6912081534659146	0.691208153465914	0.0	0.0	0.0	0.060631923921777645	0.0	0.0	0.0	0.6912081534659146	0.8252509489602391	0.2553733191693036	0.0	0.38386205223768705	0.0	0.0	0.4206522570630889	0.5132225517271335	0.0	0.33328202985453426	0.0	0.0	0.0	0.35325220206364055	0.0	0.30912186337059505	0.6896666479445771	0.7321878451370335
Rhodobacterales	0.0	0.0	0.0	0.0	0.054047738901273665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014935634361887001	0.0	0.0	0.2037779081138164	0.0	0.0	0.0	0.29581206832684614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16252170457980375	0.03983050114808358	0.38386205223768705	0.0	0.13716631557603054	0.0	0.7530497372324533	0.0	0.0	0.014935634361887015	0.0	0.0	0.0	0.9794687646138294	0.0	0.0	0.0	0.0
Rhodocyclales	0.0	0.0	0.19681234939442926	0.0	0.02440099129640461	0.0	0.0	0.0	0.0	0.04751741357828657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1059168190876593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3785976822561307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13716631557603054	0.0	0.2053932456453834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonadales	0.0	0.0	0.5863277462915019	0.03663542399949037	0.0	0.0	0.0	0.14720079376667455	0.7048333970133092	0.605218584231754	0.0	0.0	0.0	0.0	0.0	0.0	0.03598581664811653	0.5403915887963675	0.0	0.0	0.0	0.0	0.0	0.5158205373487783	0.31886935560801694	0.0	0.0	0.0	0.06998183539160704	0.24762223003506884	0.04530251481050439	0.0	0.12473713740789412	0.0	0.0	0.0	0.0	0.0	0.0	0.2053932456453834	0.0	0.0	0.0	0.40099499208255357	0.0	0.10886682207131783	0.0	0.0	0.0	0.19784844436989568	0.0	0.0	0.0
Sphingobacteriales	0.0	0.0	0.0	0.0	0.08450052084425536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16561828542225762	0.0	0.0	0.0	0.3082883356223136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0521524049632819	0.0	0.17409640793767395	0.06594244059617108	0.4206522570630889	0.7530497372324533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7007913666439851	0.0	0.0	0.0	0.0
