TAXA	Acholeplasmatales	Acidaminococcales	Alteromonadales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Geodermatophilales	Hydrogenophilales	Mycoplasmatales	Nostocales	Oceanospirillales	Pleurocapsales	Propionibacteriales	Rhizobiales	Rhodobacterales	Rhodocyclales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thermales	Thiotrichales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Acholeplasmatales	0.0	0.7142712170781376	0.0	0.0	0.0	0.0	0.01458960365108028	0.0	0.0	0.0	0.49920658647234	0.08612474884106741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2195961815844626	0.0	0.0
Acidaminococcales	0.7142712170781376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6158905573085423	0.19778561859289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.10093898773656809	0.0	0.0	0.027931672169117107	0.0	0.0	0.0	0.0	0.0	0.08046976333430184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47389478915307875	0.0	0.0	0.0
Cardiobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.418777424952005	0.0	0.0	0.0	0.0	0.0
Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20018966068554084	0.0	0.0	0.0	0.04142222068333024	0.0	0.0	0.0	0.21738593057704184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellvibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4714250513451974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlamydiales	0.01458960365108028	0.0	0.10093898773656809	0.0	0.0	0.0	0.0	0.0	0.0	0.043318381892082675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4801162497856349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37204580241691265	0.0	0.0	0.0
Chromatiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.980850907069517	0.0	0.0	0.0	1.000000000000002	1.000000000000001	0.0	0.0	0.0	1.000000000000002	0.8928345595817682	0.691208153465914	0.0	0.0	0.0	0.7077186267934858	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119221	0.9884647378532219
Chroococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06856594629670548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333282029854534	0.014935634361887001	0.0	0.0	0.022467257993444022	0.0	1.0000000000000024	0.0	0.0	0.0	0.0	0.0	0.12432584145177325
Cytophagales	0.0	0.0	0.027931672169117107	0.0	0.0	0.0	0.043318381892082675	0.980850907069517	0.0	0.0	0.0	0.0	0.0	0.9808509070695179	0.980850907069517	0.0	0.0	0.043141751948457256	0.9808509070695179	0.0	0.6805969829028171	0.0	0.0	0.0	0.6831195344623756	0.0	0.0	0.0	0.0	0.12288862676227214	0.0	0.9826929140173206	0.9672099652468165
Desulfovibrionales	0.49920658647234	0.6158905573085423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6177753703855929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
