TAXA	Acholeplasmatales	Acidaminococcales	Alteromonadales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chlamydiales	Chromatiales	Chroococcales	Cytophagales	Desulfovibrionales	Eggerthellales	Enterobacteriales	Geodermatophilales	Hydrogenophilales	Mycoplasmatales	Nostocales	Oceanospirillales	Pleurocapsales	Propionibacteriales	Rhizobiales	Rhodobacterales	Rhodocyclales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synergistales	Thermales	Thiotrichales	Verrucomicrobiales	Vibrionales	Xanthomonadales
Eggerthellales	0.08612474884106741	0.19778561859289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6177753703855929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06856594629670548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06856594629670555	0.0	0.0	0.0	0.0	0.0	0.0
Geodermatophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000002	0.0	0.9808509070695179	0.0	0.0	0.0	0.0	1.000000000000002	0.0	0.0	0.0	1.0000000000000027	0.8928345595817688	0.6912081534659146	0.0	0.0	0.0	0.7077186267934864	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119229	0.9884647378532225
Hydrogenophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000001	0.0	0.980850907069517	0.0	0.0	0.0	1.000000000000002	0.0	0.0	0.0	0.0	1.000000000000002	0.8928345595817682	0.691208153465914	0.0	0.0	0.0	0.7077186267934858	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119221	0.9884647378532219
Mycoplasmatales	0.0	0.0	0.08046976333430184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5995326749832246	0.2067600752627118	0.0	0.0	0.0	0.0
Nostocales	0.0	0.0	0.0	0.0	0.20018966068554084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oceanospirillales	0.0	0.0	0.0	0.0	0.0	0.0	0.4801162497856349	0.0	0.0	0.043141751948457256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pleurocapsales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000002	0.0	0.9808509070695179	0.0	0.0	0.0	1.0000000000000027	1.000000000000002	0.0	0.0	0.0	0.0	0.8928345595817688	0.6912081534659146	0.0	0.0	0.0	0.7077186267934864	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119229	0.9884647378532225
Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8928345595817682	0.0	0.0	0.0	0.0	0.0	0.8928345595817688	0.8928345595817682	0.0	0.0	0.0	0.8928345595817688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhizobiales	0.0	0.0	0.0	0.0	0.04142222068333024	0.0	0.0	0.691208153465914	0.333282029854534	0.6805969829028171	0.0	0.0	0.0	0.6912081534659146	0.691208153465914	0.0	0.0	0.0	0.6912081534659146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33328202985453426	0.0	0.0	0.0	0.0	0.0	0.0
Rhodobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014935634361887001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13716631557603054	0.7530497372324533	0.0	0.0	0.014935634361887015	0.0	0.0	0.0	0.0	0.0	0.0
Rhodocyclales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13716631557603054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7530497372324533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonadales	0.0	0.0	0.0	0.0	0.21738593057704184	0.4714250513451974	0.0	0.7077186267934858	0.022467257993444022	0.6831195344623756	0.0	0.0	0.0	0.7077186267934864	0.7077186267934858	0.0	0.0	0.0	0.7077186267934864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02246725799344404	0.0	0.04609661553827315	0.0	0.0	0.7119656731212975	0.0
Spirochaetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6646677793672985	0.0	0.0	0.0	0.0	0.0
Streptomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000024	0.0	0.0	0.0	0.06856594629670555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33328202985453426	0.014935634361887015	0.0	0.0	0.02246725799344404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12432584145177336
Synergistales	0.0	0.0	0.0	0.418777424952005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5995326749832246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6646677793672985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2067600752627118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04609661553827315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thiotrichales	0.0	0.0	0.47389478915307875	0.0	0.0	0.0	0.37204580241691265	0.0	0.0	0.12288862676227214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiales	0.2195961815844626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997654415119221	0.0	0.9826929140173206	0.0	0.0	0.0	0.9997654415119229	0.9997654415119221	0.0	0.0	0.0	0.9997654415119229	0.0	0.0	0.0	0.0	0.0	0.7119656731212975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xanthomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9884647378532219	0.12432584145177325	0.9672099652468165	0.0	0.0	0.0	0.9884647378532225	0.9884647378532219	0.0	0.0	0.0	0.9884647378532225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12432584145177336	0.0	0.0	0.0	0.0	0.0	0.0
