TAXA	Acholeplasmataceae	Acidaminococcaceae	Aerococcaceae	Akkermansiaceae	Alcaligenaceae	Alteromonadaceae	Aurantimonadaceae	Bacillaceae	Bradyrhizobiaceae	Brevibacteriaceae	Cardiobacteriaceae	Catabacteriaceae	Caulobacteraceae	Cellulomonadaceae	Cellvibrionaceae	Chlamydiaceae	Chromatiaceae	Chromobacteriaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Comamonadaceae	Coriobacteriaceae	Cyclobacteriaceae	Cytophagaceae	Dermabacteraceae	Dermacoccaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erythrobacteraceae	Eubacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Halomonadaceae	Helicobacteraceae	Hydrogenophilaceae	Intrasporangiaceae	Leuconostocaceae	Listeriaceae	Methylobacteriaceae	Microbacteriaceae	Moritellaceae	Mycobacteriaceae	Mycoplasmataceae	Nocardiaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Peptococcaceae	Planococcaceae	Prolixibacteraceae	Promicromonosporaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Rivulariaceae	Sanguibacteraceae	Selenomonadaceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptomycetaceae	Synergistaceae	Thermaceae	Thermoactinomycetaceae	Vibrionaceae	Xanthomonadaceae
Rivulariaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20018966068554084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029084249538347255	0.0	0.0	0.0	0.0	0.0	0.0	0.6610035966031992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sanguibacteraceae	0.0	0.0	0.0	0.0	0.0	0.06824426800241905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8308200706009852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2950986322890055	0.0	0.0	0.0	0.06824426800241905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11030363091564253	0.0	0.0	0.0	0.0
Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.754539433450246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonadaceae	0.0	0.0	0.0	0.0	0.8465000398327762	0.0	0.07101657506624028	0.0	0.8235699126493932	0.017534956806479072	0.0	0.0	0.27289374062017085	0.0	0.0	0.0	0.8465000398327762	0.07101657506624026	0.0	0.0	0.0	0.0	0.0	0.826758880793164	0.3919062846248067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8465000398327742	0.0	0.07101657506624026	0.8465000398327762	0.8470836126695295	0.0	0.0	0.8599604395745488	0.0	0.0	0.9513615188021078	0.0	0.45049672825275955	0.0	0.4467088180867051	0.27289374062017085	0.0	0.8465000398327746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07101657506624029	0.0	0.0	0.07101657506624008	0.8451311140747827	0.0
Spirochaetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6651446219050253	0.0	0.0	0.0	0.0
Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.7790069740135075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7790069740135075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3747925640270488	0.7790069740135075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7790069740135077	0.0	0.0	0.7790069740135043	0.0	0.0
Streptomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000018	0.41993561480821606	0.05807861948332022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07682148897567619	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000018	0.0	0.0	0.0	0.0	0.2384451514993485	0.9955337049724025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040822278244095955	0.0	0.013391309289194811	0.0	0.0	0.0	0.0	0.0	0.07101657506624029	0.0	0.7790069740135077	0.0	0.0	0.0	0.9999999999999976	0.0	0.12915741214278081
Synergistaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014340399872424699	0.0	0.42231300050394854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4320854580578476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2923843565600228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5995326749832246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11030363091564253	0.0	0.0	0.6651446219050253	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09298373752104935	0.0	0.0	0.0	0.0	0.13419817801267198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2067600752627118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermoactinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999972	0.4199356148082143	0.05807861948331967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07682148897567594	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999972	0.0	0.0	0.0	0.0	0.23844515149934756	0.9955337049723979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04082227824409581	0.0	0.013391309289194738	0.0	0.0	0.0	0.0	0.0	0.07101657506624008	0.0	0.7790069740135043	0.9999999999999976	0.0	0.0	0.0	0.0	0.12915741214278026
Vibrionaceae	0.0	0.0	0.0	0.0	0.9997414904170583	0.0	0.0	0.0	0.8005765306814487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170583	0.0	0.0	0.0	0.0	0.0	0.0	0.9885338834031581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170557	0.0	0.0	0.9997414904170583	0.9988366495237224	0.0	0.0	0.9651796456731968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997414904170563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8451311140747827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xanthomonadaceae	0.0	0.0	0.0	0.0	0.9879077552047656	0.0	0.1291574121427808	0.0	0.807274673344898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9879077552047656	0.1291574121427808	0.0	0.0	0.0	0.0	0.0	0.9737707862087507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.987907755204763	0.0	0.1291574121427808	0.9879077552047656	0.9871143870575504	0.0	0.0	0.991601564226842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9879077552047635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12915741214278081	0.0	0.0	0.12915741214278026	0.0	0.0
