	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
0	Bacteroidetes	Actinobacteria	5.0	60	61	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc
1	Actinobacteria	Bacteroidetes	5.0	61	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc
2	Candidatus Saccharibacteria	Actinobacteria	3.0	28	61	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc
3	Actinobacteria	Candidatus Saccharibacteria	3.0	61	28	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc
4	Candidatus Saccharibacteria	Bacteroidetes	7.0	28	60	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc
5	Bacteroidetes	Candidatus Saccharibacteria	7.0	60	28	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc
6	Chlamydiae	Actinobacteria	2.0	8	61	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc
7	Actinobacteria	Chlamydiae	2.0	61	8	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc
8	Chlamydiae	Bacteroidetes	4.0	8	60	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc
9	Bacteroidetes	Chlamydiae	4.0	60	8	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc
10	Firmicutes	Actinobacteria	5.0	61	61	Mid_vagina	Supragingival_plaque	Intertype	#18cde4	#ff964f	#cccccc
11	Actinobacteria	Firmicutes	5.0	61	61	Supragingival_plaque	Mid_vagina	Intertype	#ff964f	#18cde4	#cccccc
12	Firmicutes	Bacteroidetes	14.0	61	60	Mid_vagina	Stool	Intertype	#18cde4	#b2f396	#cccccc
13	Bacteroidetes	Firmicutes	14.0	60	61	Stool	Mid_vagina	Intertype	#b2f396	#18cde4	#cccccc
14	Firmicutes	Candidatus Saccharibacteria	6.0	61	28	Mid_vagina	Saliva	Intertype	#18cde4	#7effb5	#cccccc
15	Candidatus Saccharibacteria	Firmicutes	6.0	28	61	Saliva	Mid_vagina	Intertype	#7effb5	#18cde4	#cccccc
16	Firmicutes	Chlamydiae	4.0	61	8	Mid_vagina	Attached	Intertype	#18cde4	#4e4dfc	#cccccc
17	Chlamydiae	Firmicutes	4.0	8	61	Attached	Mid_vagina	Intertype	#4e4dfc	#18cde4	#cccccc
18	Firmicutes	Cyanobacteria	1.0	61	4	Mid_vagina	Anterior_nares	Intertype	#18cde4	#8000ff	#cccccc
19	Cyanobacteria	Firmicutes	1.0	4	61	Anterior_nares	Mid_vagina	Intertype	#8000ff	#18cde4	#cccccc
20	Fusobacteria	Actinobacteria	5.0	33	61	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
21	Actinobacteria	Fusobacteria	5.0	61	33	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
22	Fusobacteria	Bacteroidetes	7.0	33	60	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
23	Bacteroidetes	Fusobacteria	7.0	60	33	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
24	Fusobacteria	Candidatus Saccharibacteria	4.0	33	28	Tongue_dorsum	Saliva	Intertype	#ff0000	#7effb5	#cccccc
25	Candidatus Saccharibacteria	Fusobacteria	4.0	28	33	Saliva	Tongue_dorsum	Intertype	#7effb5	#ff0000	#cccccc
26	Fusobacteria	Firmicutes	8.0	33	61	Tongue_dorsum	Mid_vagina	Intertype	#ff0000	#18cde4	#cccccc
27	Firmicutes	Fusobacteria	8.0	61	33	Mid_vagina	Tongue_dorsum	Intertype	#18cde4	#ff0000	#cccccc
28	Proteobacteria	Actinobacteria	5.0	60	61	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
29	Actinobacteria	Proteobacteria	5.0	61	60	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
30	Proteobacteria	Bacteroidetes	11.0	60	60	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc
31	Bacteroidetes	Proteobacteria	11.0	60	60	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc
32	Proteobacteria	Candidatus Saccharibacteria	5.0	60	28	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc
33	Candidatus Saccharibacteria	Proteobacteria	5.0	28	60	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc
34	Proteobacteria	Chlamydiae	1.0	60	8	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc
35	Chlamydiae	Proteobacteria	1.0	8	60	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc
36	Proteobacteria	Firmicutes	11.0	60	61	Buccal_mucosa	Mid_vagina	Intertype	#1996f3	#18cde4	#cccccc
37	Firmicutes	Proteobacteria	11.0	61	60	Mid_vagina	Buccal_mucosa	Intertype	#18cde4	#1996f3	#cccccc
38	Proteobacteria	Fusobacteria	10.0	60	33	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
39	Fusobacteria	Proteobacteria	10.0	33	60	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
40	Spirochaetes	Bacteroidetes	3.0	33	60	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc
41	Bacteroidetes	Spirochaetes	3.0	60	33	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc
