	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Lactobacillus vaginalis	Lactobacillus johnsonii	4.0	6	4	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	2.0	#b2f396	#2adddd
1	Lactobacillus johnsonii	Lactobacillus vaginalis	4.0	4	6	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	3.0	2.0	#b2f396	#2adddd
2	Nocardia otitidiscaviarum	Mycobacterium chelonae	2.0	2	4	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	2.0	4.0	#4df3ce	#d4dd80
3	Mycobacterium chelonae	Nocardia otitidiscaviarum	2.0	4	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	2.0	4.0	#4df3ce	#d4dd80
4	Peptoniphilus grossensis	[Eubacterium] rectale	2.0	2	2	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	4.0	0.0	#ff964f	#8000ff
5	[Eubacterium] rectale	Peptoniphilus grossensis	2.0	2	2	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	4.0	0.0	#ff964f	#8000ff
6	Porphyromonas asaccharolytica	Levyella massiliensis	2.0	2	2	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	1.0	3.0	#1996f3	#7effb5
7	Levyella massiliensis	Porphyromonas asaccharolytica	2.0	2	2	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	1.0	3.0	#1996f3	#7effb5
8	Prevotella buccalis	Dialister micraerophilus	3.0	3	4	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	0.0	1.0	#8000ff	#2c7ef7
9	Dialister micraerophilus	Prevotella buccalis	3.0	4	3	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	0.0	1.0	#8000ff	#2c7ef7
10	Pseudomonas mandelii	Peptoniphilus sp. BV3AC2	2.0	2	2	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	5.0	5.0	#ff0000	#ff8143
11	Peptoniphilus sp. BV3AC2	Pseudomonas mandelii	2.0	2	2	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	5.0	5.0	#ff0000	#ff8143
