TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Selenomonas sp. oral taxon 137	Supragingival_plaque	#ff8646	4	23.0	6.0	#ff0000	#0ac0e8
Selenomonas sp. oral taxon 138	Attached	#622ffe	6	0.0	13.0	#8000ff	#acf59a
Selenomonas sp. oral taxon 149	Saliva	#cbe486	6	0.0	13.0	#8000ff	#acf59a
Selenomonas sp. oral taxon 478	Saliva	#cbe486	4	23.0	6.0	#ff0000	#0ac0e8
Selenomonas sp. oral taxon 892	Supragingival_plaque	#ff8646	6	0.0	13.0	#8000ff	#acf59a
Selenomonas sputigena	Subgingival_plaque	#ffac5c	7	0.0	13.0	#8000ff	#acf59a
Simonsiella muelleri	Keratinized_gingiva	#17cbe4	2	6.0	1.0	#04b9ea	#6a22fe
Sneathia amnii	L_Retroauricular_crease	#34e4d9	2	11.0	14.0	#72febb	#c4e88a
Staphylococcus epidermidis	L_Retroauricular_crease	#34e4d9	2	6.0	1.0	#04b9ea	#6a22fe
Stomatobaculum longum	Tongue_dorsum	#ff2f18	2	3.0	3.0	#3e65fa	#3c68f9
Streptobacillus moniliformis	Attached	#622ffe	2	11.0	14.0	#72febb	#c4e88a
Streptococcus agalactiae	Posterior_fornix	#8efeac	5	16.0	0.0	#e2d176	#8000ff
Streptococcus anginosus	Buccal_mucosa_NA	#2686f5	4	16.0	5.0	#e2d176	#0ea5ef
Streptococcus canis	Attached	#622ffe	1	9.0	20.0	#46efd1	#ff4a26
Streptococcus constellatus	Palatine_Tonsils	#70febc	2	6.0	1.0	#04b9ea	#6a22fe
Streptococcus cristatus	Keratinized_gingiva	#17cbe4	6	14.0	0.0	#b6f193	#8000ff
Streptococcus dentisani	Hard_palate	#08acee	4	16.0	5.0	#e2d176	#0ea5ef
Streptococcus gordonii	Keratinized_gingiva	#17cbe4	6	14.0	0.0	#b6f193	#8000ff
Streptococcus infantis	Tongue_dorsum	#ff2f18	6	14.0	0.0	#b6f193	#8000ff
Streptococcus intermedius	Subgingival_plaque	#ffac5c	2	3.0	3.0	#3e65fa	#3c68f9
Streptococcus macacae	Attached	#622ffe	2	8.0	4.0	#30e1da	#2489f5
Streptococcus massiliensis	Palatine_Tonsils	#70febc	6	5.0	17.0	#11a0f1	#ffa759
Streptococcus mutans	Subgingival_plaque	#ffac5c	6	14.0	0.0	#b6f193	#8000ff
Streptococcus oligofermentans	Keratinized_gingiva	#17cbe4	4	16.0	5.0	#e2d176	#0ea5ef
Streptococcus parasanguinis	Tongue_dorsum	#ff2f18	8	14.0	0.0	#b6f193	#8000ff
Streptococcus plurextorum	Attached	#622ffe	2	8.0	4.0	#30e1da	#2489f5
Streptococcus pseudoporcinus	L_Retroauricular_crease	#34e4d9	2	8.0	4.0	#30e1da	#2489f5
Streptococcus sinensis	Buccal_mucosa	#445cfb	1	7.0	16.0	#1acfe3	#f2c26b
Streptococcus sobrinus	Buccal_mucosa	#445cfb	2	10.0	3.0	#5df9c7	#3c68f9
Streptococcus sp. 2_1_36FAA	Buccal_mucosa	#445cfb	3	16.0	5.0	#e2d176	#0ea5ef
Streptococcus sp. 263_SSPC	Tongue_dorsum	#ff2f18	6	14.0	0.0	#b6f193	#8000ff
Streptococcus sp. 400_SSPC	Palatine_Tonsils	#70febc	2	4.0	3.0	#2884f6	#3c68f9
Streptococcus sp. AS14	Attached	#622ffe	2	6.0	1.0	#04b9ea	#6a22fe
Streptococcus sp. AS20	Attached	#622ffe	2	10.0	3.0	#5df9c7	#3c68f9
Streptococcus sp. C300	Attached	#622ffe	4	1.0	21.0	#6a22fe	#ff2613
Streptococcus sp. CCH8-G7	Buccal_mucosa	#445cfb	1	2.0	15.0	#5444fd	#dbd87b
Streptococcus sp. CCH8-H5	Attached	#622ffe	3	1.0	21.0	#6a22fe	#ff2613
Streptococcus sp. CM6	Buccal_mucosa_NA	#2686f5	4	1.0	21.0	#6a22fe	#ff2613
