TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Streptococcus sp. 400_SSPC	Palatine_Tonsils	#70febc	6	22.0	3.0	#cbe486	#4e4dfc
Streptococcus sp. ACS2	Tongue_dorsum	#ff2f18	4	13.0	29.0	#42edd3	#ff1c0e
Streptococcus sp. AS14	Attached	#622ffe	2	26.0	13.0	#ffac5c	#5df9c7
Streptococcus sp. CCH5-D3	Tongue_dorsum	#ff2f18	8	33.0	3.0	#ff190d	#4e4dfc
Streptococcus sp. CCH8-H5	Attached	#622ffe	1	31.0	23.0	#ff4724	#ffac5c
Streptococcus sp. CM6	Buccal_mucosa_NA	#2686f5	2	26.0	13.0	#ffac5c	#5df9c7
Streptococcus sp. F0441	Buccal_mucosa	#445cfb	1	12.0	20.0	#34e4d9	#d4dd80
Streptococcus sp. F0442	Palatine_Tonsils	#70febc	10	24.0	21.0	#e8cb72	#e4cf74
Streptococcus sp. I-G2	Tongue_dorsum	#ff2f18	3	14.0	3.0	#52f5cb	#4e4dfc
Streptococcus sp. I-P16	Tongue_dorsum	#ff2f18	2	28.0	0.0	#ff8646	#8000ff
Streptococcus sp. M334	Buccal_mucosa	#445cfb	6	22.0	3.0	#cbe486	#4e4dfc
Streptococcus sp. oral taxon 431	Hard_palate	#08acee	10	15.0	22.0	#60fac5	#f6be68
Streptococcus sp. SK643	Buccal_mucosa_NA	#2686f5	2	28.0	0.0	#ff8646	#8000ff
Streptococcus sp. SR4	Tongue_dorsum	#ff2f18	2	6.0	4.0	#2686f5	#3c68f9
Streptococcus suis	Buccal_mucosa_NA	#2686f5	10	24.0	21.0	#e8cb72	#e4cf74
Streptococcus vestibularis	Buccal_mucosa_NA	#2686f5	2	6.0	4.0	#2686f5	#3c68f9
Sutterella wadsworthensis	Stool	#e8cb72	2	7.0	4.0	#1898f2	#3c68f9
Treponema pedis	Subgingival_plaque	#ffac5c	6	32.0	14.0	#ff2f18	#6efebe
Treponema phagedenis	Subgingival_plaque	#ffac5c	3	16.0	1.0	#70febc	#7019ff
Treponema putidum	Subgingival_plaque	#ffac5c	6	17.0	5.0	#7effb5	#2c7ef7
Treponema vincentii	Subgingival_plaque	#ffac5c	10	27.0	9.0	#ff9b52	#18cde4
Varibaculum cambriense	R_Retroauricular_crease	#acf59a	2	30.0	17.0	#ff5c2f	#a0faa1
Veillonella montpellierensis	Keratinized_gingiva	#17cbe4	6	30.0	27.0	#ff5c2f	#ff5029
Veillonella sp. 3_1_44	Attached	#622ffe	10	31.0	18.0	#ff4724	#b2f396
Veillonella sp. AS16	Tongue_dorsum	#ff2f18	10	31.0	18.0	#ff4724	#b2f396
Actinomyces massiliensis	Supragingival_plaque	#ff8646	5	4.0	2.0	#445cfb	#5e35fe
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides coprophilus	Stool	#e8cb72	1	5.0	10.0	#3670f8	#2adddd
Bacteroides pyogenes	Stool	#e8cb72	2	23.0	11.0	#d9da7d	#3ae8d6
Bulleidia extructa	Throat	#ff5c2f	12	21.0	14.0	#bbee91	#6efebe
Aggregatibacter segnis	Supragingival_plaque	#ff8646	5	22.0	3.0	#cbe486	#4e4dfc
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	10	31.0	18.0	#ff4724	#b2f396
Brochothrix thermosphacta	Saliva	#cbe486	2	26.0	13.0	#ffac5c	#5df9c7
Campylobacter ureolyticus	R_Retroauricular_crease	#acf59a	2	2.0	16.0	#622ffe	#90feab
Atopobium rimae	Subgingival_plaque	#ffac5c	10	27.0	9.0	#ff9b52	#18cde4
candidate division SR1 bacterium RAAC1_SR1_1	Attached	#622ffe	2	30.0	17.0	#ff5c2f	#a0faa1
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	8	0.0	8.0	#8000ff	#08bee9
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	4	25.0	5.0	#f6be68	#2c7ef7
Dialister micraerophilus	Saliva	#cbe486	4	25.0	5.0	#f6be68	#2c7ef7
Actinobacillus minor	Buccal_mucosa_NA	#2686f5	2	28.0	0.0	#ff8646	#8000ff
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	8	20.0	24.0	#acf59a	#ff964f
Actinomyces dentalis	Subgingival_plaque	#ffac5c	3	16.0	1.0	#70febc	#7019ff
Corynebacterium durum	Supragingival_plaque	#ff8646	10	24.0	21.0	#e8cb72	#e4cf74
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	3	27.0	6.0	#ff9b52	#1996f3
Campylobacter sp. 10_1_50	Attached	#622ffe	6	11.0	15.0	#24d8df	#7effb5
Fusobacterium sp. CM21	Palatine_Tonsils	#70febc	6	32.0	14.0	#ff2f18	#6efebe
Gardnerella vaginalis	Vaginal_introitus	#ff0000	1	31.0	23.0	#ff4724	#ffac5c
Chlamydia trachomatis	Keratinized_gingiva	#17cbe4	1	1.0	19.0	#7216ff	#c2ea8c
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	8	9.0	7.0	#07bbea	#09a9ee
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	10	20.0	26.0	#acf59a	#ff6835
Prevotella corporis	R_Retroauricular_crease	#acf59a	6	8.0	30.0	#08acee	#ff0000
Actinomyces meyeri	Subgingival_plaque	#ffac5c	9	33.0	3.0	#ff190d	#4e4dfc
Bacteroides sp. 4_3_47FAA	Stool	#e8cb72	1	29.0	12.0	#ff733b	#4df3ce
Leuconostoc carnosum	Saliva	#cbe486	1	10.0	28.0	#17cbe4	#ff351b
Fusobacterium sp. oral taxon 370	Tongue_dorsum	#ff2f18	10	15.0	22.0	#60fac5	#f6be68
Kingella denitrificans	Supragingival_plaque	#ff8646	3	15.0	25.0	#60fac5	#ff8143
Kingella oralis	Supragingival_plaque	#ff8646	5	15.0	25.0	#60fac5	#ff8143
Prevotella brevis	Keratinized_gingiva	#17cbe4	4	13.0	29.0	#42edd3	#ff1c0e
Faecalibacterium prausnitzii	Stool	#e8cb72	3	34.0	14.0	#ff0000	#6efebe
Prevotella loescheii	Subgingival_plaque	#ffac5c	3	19.0	14.0	#9cfba4	#6efebe
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	5	34.0	14.0	#ff0000	#6efebe
Prevotella dentasini	Saliva	#cbe486	3	34.0	14.0	#ff0000	#6efebe
Clostridium sp. M62/1	Stool	#e8cb72	1	12.0	20.0	#34e4d9	#d4dd80
Leptotrichia sp. oral taxon 879	Subgingival_plaque	#ffac5c	6	30.0	27.0	#ff5c2f	#ff5029
