TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Mogibacterium timidum	Palatine_Tonsils	#70febc	6	0.0	1.0	#8000ff	#425ffa
Morococcus cerebrosus	Palatine_Tonsils	#70febc	4	4.0	0.0	#7effb5	#8000ff
Mycoplasma salivarium	Subgingival_plaque	#ffac5c	15	6.0	0.0	#feb562	#8000ff
Neisseria bacilliformis	Throat	#ff5c2f	6	7.0	3.0	#ff6232	#3febd5
Neisseria cinerea	Keratinized_gingiva	#17cbe4	4	4.0	0.0	#7effb5	#8000ff
Neisseria elongata	Supragingival_plaque	#ff8646	15	4.0	0.0	#7effb5	#8000ff
Neisseria flavescens	Throat	#ff5c2f	6	4.0	0.0	#7effb5	#8000ff
Neisseria gonorrhoeae	Keratinized_gingiva	#17cbe4	6	4.0	0.0	#7effb5	#8000ff
Neisseria lactamica	Keratinized_gingiva	#17cbe4	15	4.0	0.0	#7effb5	#8000ff
Neisseria macacae	Saliva	#cbe486	10	4.0	0.0	#7effb5	#8000ff
Neisseria meningitidis	Throat	#ff5c2f	19	4.0	0.0	#7effb5	#8000ff
Neisseria mucosa	Throat	#ff5c2f	8	4.0	0.0	#7effb5	#8000ff
Neisseria sicca	Buccal_mucosa	#445cfb	15	4.0	0.0	#7effb5	#8000ff
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	4	4.0	0.0	#7effb5	#8000ff
Neisseria sp. HMSC06F02	Saliva	#cbe486	8	4.0	0.0	#7effb5	#8000ff
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	15	4.0	0.0	#7effb5	#8000ff
Neisseria sp. oral taxon 020	Throat	#ff5c2f	12	2.0	1.0	#01b3ec	#425ffa
Neisseria subflava	Tongue_dorsum	#ff2f18	2	4.0	0.0	#7effb5	#8000ff
Olsenella profusa	Subgingival_plaque	#ffac5c	4	6.0	0.0	#feb562	#8000ff
Olsenella sp. SIT9	Subgingival_plaque	#ffac5c	3	6.0	0.0	#feb562	#8000ff
Olsenella uli	Palatine_Tonsils	#70febc	8	8.0	2.0	#ff0000	#01b3ec
Oribacterium sinus	Throat	#ff5c2f	6	3.0	3.0	#3febd5	#3febd5
Oribacterium sp. oral taxon 078	Subgingival_plaque	#ffac5c	19	6.0	5.0	#feb562	#beec8e
Oscillibacter sp. ER4	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Ottowia sp. oral taxon 894	Supragingival_plaque	#ff8646	11	2.0	1.0	#01b3ec	#425ffa
Parabacteroides johnsonii	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Parabacteroides merdae	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Paraprevotella clara	Stool	#e8cb72	19	1.0	7.0	#425ffa	#ff6232
Parasutterella excrementihominis	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Parvimonas micra	Subgingival_plaque	#ffac5c	14	0.0	1.0	#8000ff	#425ffa
Parvimonas sp. oral taxon 110	Subgingival_plaque	#ffac5c	12	0.0	1.0	#8000ff	#425ffa
Parvimonas sp. oral taxon 393	Palatine_Tonsils	#70febc	12	0.0	1.0	#8000ff	#425ffa
Pasteurella multocida	Keratinized_gingiva	#17cbe4	2	4.0	0.0	#7effb5	#8000ff
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	2	4.0	0.0	#7effb5	#8000ff
Peptostreptococcaceae bacterium ACC19a	Throat	#ff5c2f	6	2.0	1.0	#01b3ec	#425ffa
Peptostreptococcaceae bacterium AS15	Subgingival_plaque	#ffac5c	19	4.0	0.0	#7effb5	#8000ff
Peptostreptococcaceae bacterium CM2	Hard_palate	#08acee	2	3.0	3.0	#3febd5	#3febd5
Peptostreptococcaceae bacterium oral taxon 113	Palatine_Tonsils	#70febc	10	0.0	1.0	#8000ff	#425ffa
Peptostreptococcus stomatis	Throat	#ff5c2f	11	0.0	1.0	#8000ff	#425ffa
Porphyrobacter donghaensis	Saliva	#cbe486	13	4.0	0.0	#7effb5	#8000ff
Porphyromonadaceae bacterium COT-184 OH4590	Subgingival_plaque	#ffac5c	7	2.0	1.0	#01b3ec	#425ffa
Porphyromonas catoniae	Subgingival_plaque	#ffac5c	19	4.0	0.0	#7effb5	#8000ff
Porphyromonas endodontalis	Saliva	#cbe486	19	0.0	1.0	#8000ff	#425ffa
Porphyromonas gulae	R_Retroauricular_crease	#acf59a	2	2.0	1.0	#01b3ec	#425ffa
Porphyromonas macacae	Attached	#622ffe	8	0.0	1.0	#8000ff	#425ffa
Porphyromonas somerae	Palatine_Tonsils	#70febc	15	3.0	3.0	#3febd5	#3febd5
Porphyromonas sp. COT-239 OH1446	R_Retroauricular_crease	#acf59a	2	3.0	3.0	#3febd5	#3febd5
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	12	3.0	3.0	#3febd5	#3febd5
Porphyromonas sp. oral taxon 278	Saliva	#cbe486	15	4.0	0.0	#7effb5	#8000ff
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	15	3.0	3.0	#3febd5	#3febd5
Porphyromonas uenonis	Posterior_fornix	#8efeac	4	0.0	1.0	#8000ff	#425ffa
Prevotella amnii	L_Retroauricular_crease	#34e4d9	11	8.0	2.0	#ff0000	#01b3ec
Prevotella aurantiaca	Tongue_dorsum	#ff2f18	12	6.0	0.0	#feb562	#8000ff
Prevotella baroniae	Palatine_Tonsils	#70febc	15	0.0	1.0	#8000ff	#425ffa
Prevotella bergensis	Stool	#e8cb72	2	3.0	3.0	#3febd5	#3febd5
Prevotella bivia	Saliva	#cbe486	12	6.0	0.0	#feb562	#8000ff
Prevotella buccae	Saliva	#cbe486	10	6.0	0.0	#feb562	#8000ff
Prevotella conceptionensis	Subgingival_plaque	#ffac5c	19	6.0	0.0	#feb562	#8000ff
Prevotella dentalis	Saliva	#cbe486	4	0.0	1.0	#8000ff	#425ffa
Prevotella dentasini	Saliva	#cbe486	3	6.0	0.0	#feb562	#8000ff
Prevotella denticola	Posterior_fornix	#8efeac	19	6.0	0.0	#feb562	#8000ff
Prevotella disiens	Palatine_Tonsils	#70febc	6	0.0	1.0	#8000ff	#425ffa
Prevotella enoeca	Subgingival_plaque	#ffac5c	7	0.0	1.0	#8000ff	#425ffa
Prevotella falsenii	Palatine_Tonsils	#70febc	11	2.0	1.0	#01b3ec	#425ffa
Prevotella fusca	Palatine_Tonsils	#70febc	8	0.0	1.0	#8000ff	#425ffa
Prevotella histicola	Palatine_Tonsils	#70febc	17	6.0	2.0	#feb562	#01b3ec
Prevotella intermedia	Palatine_Tonsils	#70febc	19	2.0	1.0	#01b3ec	#425ffa
Prevotella loescheii	Subgingival_plaque	#ffac5c	19	4.0	0.0	#7effb5	#8000ff
Prevotella maculosa	Subgingival_plaque	#ffac5c	19	8.0	2.0	#ff0000	#01b3ec
Prevotella melaninogenica	Palatine_Tonsils	#70febc	14	3.0	3.0	#3febd5	#3febd5
Prevotella micans	Subgingival_plaque	#ffac5c	15	8.0	2.0	#ff0000	#01b3ec
Prevotella multiformis	Subgingival_plaque	#ffac5c	10	3.0	3.0	#3febd5	#3febd5
Prevotella multisaccharivorax	Subgingival_plaque	#ffac5c	4	6.0	0.0	#feb562	#8000ff
Prevotella nanceiensis	Hard_palate	#08acee	11	3.0	3.0	#3febd5	#3febd5
Prevotella nigrescens	Subgingival_plaque	#ffac5c	19	6.0	0.0	#feb562	#8000ff
Prevotella oralis	Subgingival_plaque	#ffac5c	15	8.0	2.0	#ff0000	#01b3ec
Prevotella oris	Subgingival_plaque	#ffac5c	19	6.0	5.0	#feb562	#beec8e
Prevotella oulorum	Subgingival_plaque	#ffac5c	19	8.0	2.0	#ff0000	#01b3ec
Prevotella pallens	Throat	#ff5c2f	15	0.0	1.0	#8000ff	#425ffa
Prevotella pleuritidis	Subgingival_plaque	#ffac5c	17	8.0	2.0	#ff0000	#01b3ec
Prevotella saccharolytica	Subgingival_plaque	#ffac5c	19	4.0	0.0	#7effb5	#8000ff
