TAXA	Abiotrophia defectiva	Actinobaculum sp. oral taxon 183	Actinomyces massiliensis	Actinomyces oris	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 175	Aerococcus christensenii	Aggregatibacter aphrophilus	Campylobacter concisus	Capnocytophaga gingivalis	Capnocytophaga sp. oral taxon 329	Capnocytophaga sputigena	Cardiobacterium valvarum	Comamonas testosteroni	Corynebacterium durum	Corynebacterium matruchotii	Corynebacterium pyruviciproducens	Cupriavidus basilensis	Dialister micraerophilus	Facklamia ignava	Gardnerella vaginalis	Haemophilus parainfluenzae	Herbaspirillum huttiense	Herbaspirillum sp. B39	Herbaspirillum sp. GW103	Kingella oralis	Lactobacillus coleohominis	Lactobacillus crispatus	Lactobacillus gasseri	Lactobacillus helveticus	Lactobacillus iners	Lactobacillus jensenii	Lactobacillus kefiranofaciens	Lactobacillus oris	Lactobacillus reuteri	Lactobacillus ultunensis	Lactobacillus vaginalis	Lautropia mirabilis	Lawsonella clevelandensis	Mycobacterium abscessus	Mycobacterium chelonae	Neisseria sp. oral taxon 014	Nocardia otitidiscaviarum	Ottowia sp. oral taxon 894	Peptoniphilus harei	Peptoniphilus sp. BV3AC2	Porphyromonas catoniae	Prevotella bergensis	Prevotella bivia	Prevotella buccalis	Prevotella disiens	Prevotella timonensis	Propionibacterium propionicum	Pseudomonas fluorescens	Pseudomonas frederiksbergensis	Pseudomonas mandelii	Pseudomonas orientalis	Pseudomonas sp. Ag1	Pseudomonas sp. DSM 29167	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. FH1	Pseudomonas sp. NBRC 111132	Pseudomonas sp. NBRC 111134	Pseudomonas sp. Root9	Pseudomonas synxantha	Rothia aeria	Rothia dentocariosa	Rothia mucilaginosa	Sphingobium yanoikuyae	Sphingopyxis macrogoltabida	Sphingopyxis sp. H050	Sphingopyxis sp. H115	Sphingopyxis sp. LC81	Sphingopyxis sp. Root1497	Stenotrophomonas maltophilia	Streptococcus pneumoniae	Streptococcus sanguinis	Ureaplasma parvum	Veillonella parvula
Capnocytophaga sp. oral taxon 329	0.0	0.0	0.960019671983118	0.9878783399072132	0.0	0.0	0.9878783399072132	0.9878783399072132	0.0	0.9990545968106336	0.0	0.0	0.0	0.0	0.9878783399072132	0.9960759583774849	0.9878783399072132	0.0	0.9083380924184186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9974924564918217	0.0	0.0	0.0	0.0	0.9900930321743068	0.0	0.0	0.0	0.0	0.0	0.0	0.9878783399072132	0.0	0.0	0.9878783399072132	0.0	0.9878783399072132	0.0	0.0	0.0	0.0	0.0	0.9878783399072132	0.9878783399072132	0.9083380924184185	0.9736308939876068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9878783399072132	0.968946205204512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9597599188661682	0.0	0.9878783399072132
Capnocytophaga sputigena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cardiobacterium valvarum	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comamonas testosteroni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.999666043271478	0.0	0.9981149841863164	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9983550624591067	0.0	0.0	0.0	0.0	0.0	0.9428090415820631	0.0	0.0	0.9622504486493761	0.9878783399072132	0.0	0.0	0.0	0.0	0.9045340337332909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9962725072187499	0.0	0.9045340337332909	0.0	1.0	1.0	1.0	0.0	0.9995837668914376	0.0	0.0	1.0	0.0	0.0	0.0	0.9918365981341756	0.0	1.0	0.0	0.0	0.0	0.9801960588196067	1.0	0.0	1.0	0.0
Corynebacterium durum	0.0	0.9961164901835045	0.0	1.0	1.0	0.9045340337332909	1.0	1.0	0.0	0.980196058819607	0.9878783399072132	0.0	0.0	0.0	0.0	0.9977401101057178	1.0	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9953073415382055	0.0	0.0	0.0	0.0	0.9998852355536474	0.0	0.0	0.0	0.0	0.0	0.9901475429766742	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.9622504486493764	1.0	1.0	0.9622504486493764	0.9972413740548081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.995584967399958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Corynebacterium matruchotii	0.0	0.987949511256943	0.9810272331952532	0.9977401101057178	0.9977401101057178	0.8738394138269332	0.0	0.9977401101057178	0.0	0.9912867865586934	0.9960759583774849	0.0	0.0	0.0	0.9977401101057178	0.0	0.9977401101057178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9977401101057178	0.9992261189983109	0.0	0.0	0.0	0.0	0.9986333076457055	0.0	0.0	0.0	0.0	0.0	0.9785012526594963	0.9977401101057178	0.0	0.0	0.9977401101057178	0.0	0.9977401101057178	0.0	0.0	0.9977401101057178	0.0	0.9600758685847053	0.9977401101057178	0.9977401101057178	0.9417887091830919	0.9900003112418906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9977401101057178	0.9870281657551795	0.8738394138269332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9311403589959124	0.0	0.9977401101057178
Corynebacterium pyruviciproducens	0.0	0.9961164901835045	0.9918365981341755	1.0	0.0	0.0	1.0	1.0	0.0	0.980196058819607	0.9878783399072132	0.0	0.0	0.0	1.0	0.9977401101057178	0.0	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9953073415382055	0.0	0.0	0.0	0.0	0.9998852355536474	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.9622504486493764	0.9972413740548081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.995584967399958	0.9045340337332909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9045340337332909	0.0	1.0
Cupriavidus basilensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999666043271478	0.0	0.9981149841863164	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9983550624591067	0.0	0.9045340337332909	0.0	0.0	0.0	0.9428090415820631	0.0	0.0	0.9622504486493761	0.9878783399072132	0.0	0.0	0.0	0.0	0.9045340337332909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9962725072187499	0.0	0.0	0.0	1.0	1.0	0.0	0.9045340337332909	0.9995837668914376	0.0	0.9801960588196067	1.0	0.0	0.0	0.0	0.9918365981341756	0.0	1.0	0.0	0.0	0.0	0.9801960588196067	1.0	0.0	1.0	0.0
Dialister micraerophilus	0.0	0.9824763780757721	0.9891004919611719	0.9622504486493764	0.9622504486493764	0.9864400504156212	0.9622504486493764	0.9622504486493764	0.0	0.0	0.9083380924184186	0.0	0.0	0.0	0.9622504486493764	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9622504486493764	0.9327505463059611	0.0	0.0	0.0	0.0	0.9580582103787387	0.0	0.0	0.0	0.0	0.0	0.9908807141567179	0.0	0.0	0.0	0.9622504486493764	0.0	0.9622504486493764	0.0	0.0	0.9622504486493764	0.0	0.9259259259259263	0.9622504486493764	0.9622504486493764	1.0000000000000002	0.9797979797979799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9622504486493764	0.9835488037238294	0.9864400504156212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9622504486493764
Facklamia ignava	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella vaginalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999666043271478	0.0	0.0	0.0	0.999666043271478	0.0	0.0	0.0	0.0	0.9962770854857511	0.999666043271478	0.0	0.0	0.0	0.0	0.0	0.0	0.9993790459628914	0.0	0.0	0.0	0.0	0.0	0.9343222692673643	0.0	0.0	0.9552567580689424	0.9862799040808191	0.0	0.0	0.0	0.0	0.9007474422887969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.993825024010873	0.0	0.0	0.0	0.999666043271478	0.999666043271478	0.0	0.0	0.9985426824810248	0.9146855071598035	0.9847235566212637	0.999666043271478	0.0	0.0	0.0	0.9946315012102275	0.0	0.999666043271478	0.0	0.0	0.0	0.9750138748797227	0.999666043271478	0.0	0.0	0.0
Haemophilus parainfluenzae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0
Herbaspirillum huttiense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981149841863164	0.0	0.0	0.0	0.9981149841863164	0.0	0.0	0.9962770854857511	0.0	0.0	0.9981149841863164	0.0	0.0	0.0	0.0	0.0	0.0	0.9929689259524963	0.0	0.9028289727756885	0.0	0.0	0.0	0.961489045360471	0.0	0.0	0.9771398364036773	0.9860161736144925	0.0	0.0	0.0	0.0	0.9028289727756886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9996885436146367	0.0	0.9289979285083172	0.0	0.9981149841863164	0.9981149841863164	0.9981149841863164	0.9289979285083172	0.9994700761197417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981149841863164	0.0	0.0	0.0	0.9905017696954042	0.9981149841863164	0.0	0.9981149841863164	0.0
Herbaspirillum sp. B39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.999666043271478	0.0	0.9981149841863164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9983550624591067	0.0	0.0	0.0	0.0	0.0	0.9428090415820631	0.0	0.0	0.9622504486493761	0.9878783399072132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9962725072187499	0.0	0.0	0.0	1.0	1.0	1.0	0.9045340337332909	0.9995837668914376	0.9045340337332909	0.0	1.0	0.0	0.0	0.0	0.9918365981341756	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Herbaspirillum sp. GW103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kingella oralis	0.0	0.0	0.9918365981341755	0.0	1.0	0.0	1.0	1.0	0.0	0.980196058819607	0.0	0.0	0.0	0.0	1.0	0.9977401101057178	1.0	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9953073415382055	0.0	0.0	0.0	0.0	0.9998852355536474	0.0	0.0	0.0	0.0	0.0	0.9901475429766742	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.9622504486493764	1.0	1.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.995584967399958	0.9045340337332909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9045340337332909	0.0	1.0
Lactobacillus coleohominis	0.0	0.9833596476440837	0.9754765293767034	0.9953073415382055	0.9953073415382055	0.0	0.9953073415382055	0.9953073415382055	0.0	0.9937751471574845	0.9974924564918217	0.0	0.0	0.0	0.9953073415382055	0.9992261189983109	0.9953073415382055	0.0	0.9327505463059611	0.0	0.0	0.0	0.0	0.0	0.0	0.9953073415382055	0.0	0.0	0.0	0.0	0.0	0.9966354245054527	0.0	0.0	0.0	0.0	0.0	0.9726467563124732	0.9953073415382055	0.0	0.0	0.9953073415382055	0.0	0.0	0.0	0.0	0.9953073415382055	0.0	0.9660630658168883	0.9953073415382055	0.9953073415382055	0.9327505463059609	0.9857477364369813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9953073415382055	0.982296392159312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9394323802913858	0.0	0.9953073415382055
Lactobacillus crispatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9908673886137319	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus gasseri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus helveticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0
