	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] bolteae	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
1	[Clostridium] asparagiforme	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
2	[Clostridium] clostridioforme	16	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
3	[Bacteroides] pectinophilus	12	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
6	[Clostridium] leptum	17	Anterior_nares	Stool	#8000ff	1.0	2.0	#ff0000	#7effb5
8	[Clostridium] saccharogumia	2	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
9	[Clostridium] citroniae	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
10	[Clostridium] scindens	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
11	[Clostridium] aminophilum	1	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
15	[Clostridium] innocuum	1	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
17	[Clostridium] methylpentosum	5	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
20	[Clostridium] spiroforme	9	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
24	[Clostridium] symbiosum	10	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
32	[Eubacterium] cellulosolvens	1	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
38	[Eubacterium] eligens	16	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
44	[Eubacterium] hallii	12	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
50	[Eubacterium] siraeum	13	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
54	[Haemophilus] ducreyi	2	Buccal_mucosa	Buccal_mucosa	#1996f3	1.0	0.0	#ff0000	#8000ff
55	[Actinobacillus] muris	2	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
56	[Haemophilus] parasuis	6	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
60	[Mannheimia] succiniciproducens	2	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
66	[Ruminococcus] gnavus	12	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
68	[Ruminococcus] torques	3	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
73	[Eubacterium] rectale	26	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
74	Abiotrophia defectiva	27	Buccal_mucosa	Buccal_mucosa	#1996f3	0.0	3.0	#8000ff	#feb562
76	Acetivibrio ethanolgignens	13	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
77	[Clostridium] glycyrrhizinilyticum	4	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
82	Acidaminococcus intestini	2	Stool	Stool	#b2f396	1.0	1.0	#ff0000	#01b3ec
84	Acidaminococcus sp. BV3L6	2	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
88	Acidaminococcus sp. HPA0509	2	Stool	Stool	#b2f396	0.0	1.0	#8000ff	#01b3ec
