	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
386	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
387	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
388	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
389	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
390	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
391	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
392	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
393	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
394	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
395	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
396	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
397	Kytococcus	1	Tongue_dorsum	#ff0000	7.0	0.0	#ffa558	#8000ff
398	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
399	Lachnoanaerobaculum	2	Tongue_dorsum	#ff0000	8.0	0.0	#ff592d	#8000ff
400	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
401	Lautropia	2	Supragingival_plaque	#ff964f	7.0	0.0	#ffa558	#8000ff
402	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
403	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
404	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
405	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
406	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
407	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
408	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
409	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
410	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
411	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
412	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
413	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
414	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
415	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
416	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
417	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
418	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
419	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
