TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Roseburia faecis	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Roseburia intestinalis	Stool	#e8cb72	3	19.0	8.0	#ff2914	#30e1da
Roseburia inulinivorans	Stool	#e8cb72	3	19.0	8.0	#ff2914	#30e1da
Rothia aeria	Supragingival_plaque	#ff8646	8	12.0	2.0	#b2f396	#5444fd
Ruminococcus bicirculans	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Ruminococcus faecis	Stool	#e8cb72	4	5.0	12.0	#01b3ec	#8bfeae
Scardovia wiggsiae	Buccal_mucosa	#445cfb	4	5.0	12.0	#01b3ec	#8bfeae
Selenomonas sp. oral taxon 137	Supragingival_plaque	#ff8646	2	11.0	13.0	#99fca6	#a0faa1
Selenomonas sp. oral taxon 138	Attached	#622ffe	8	15.0	5.0	#feb562	#11a0f1
Selenomonas sp. oral taxon 149	Saliva	#cbe486	9	15.0	5.0	#feb562	#11a0f1
Selenomonas sp. oral taxon 478	Saliva	#cbe486	8	15.0	5.0	#feb562	#11a0f1
Serratia grimesii	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Serratia liquefaciens	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Serratia marcescens	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Serratia plymuthica	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Serratia proteamaculans	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Serratia sp. S4	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Shuttleworthia sp. MSX8B	Subgingival_plaque	#ffac5c	4	14.0	0.0	#e4cf74	#8000ff
Simonsiella muelleri	Keratinized_gingiva	#17cbe4	8	12.0	2.0	#b2f396	#5444fd
Staphylococcus aureus	Anterior_nares	#8000ff	2	20.0	3.0	#ff0000	#3e65fa
Streptococcus anginosus	Buccal_mucosa_NA	#2686f5	11	3.0	20.0	#3473f8	#ff6835
Streptococcus australis	Tongue_dorsum	#ff2f18	8	12.0	2.0	#b2f396	#5444fd
Streptococcus constellatus	Palatine_Tonsils	#70febc	8	12.0	2.0	#b2f396	#5444fd
Streptococcus cristatus	Keratinized_gingiva	#17cbe4	9	15.0	5.0	#feb562	#11a0f1
Streptococcus dentisani	Hard_palate	#08acee	1	6.0	7.0	#18cde4	#1acfe3
Streptococcus gordonii	Keratinized_gingiva	#17cbe4	6	16.0	0.0	#ff964f	#8000ff
Streptococcus intermedius	Subgingival_plaque	#ffac5c	8	2.0	22.0	#4e4dfc	#ff2613
Streptococcus mutans	Subgingival_plaque	#ffac5c	10	10.0	6.0	#7effb5	#04b9ea
Streptococcus oligofermentans	Keratinized_gingiva	#17cbe4	11	8.0	1.0	#4df3ce	#6a22fe
Streptococcus sp. 1171_SSPC	Palatine_Tonsils	#70febc	8	12.0	2.0	#b2f396	#5444fd
Streptococcus sp. 400_SSPC	Palatine_Tonsils	#70febc	8	12.0	2.0	#b2f396	#5444fd
Streptococcus sp. AS20	Attached	#622ffe	4	13.0	0.0	#cbe486	#8000ff
Streptococcus sp. CCH8-H5	Attached	#622ffe	1	0.0	14.0	#8000ff	#b6f193
Streptococcus sp. I-G2	Tongue_dorsum	#ff2f18	7	12.0	0.0	#b2f396	#8000ff
Streptococcus sp. I-P16	Tongue_dorsum	#ff2f18	3	19.0	8.0	#ff2914	#30e1da
Streptococcus sp. M143	Keratinized_gingiva	#17cbe4	1	6.0	7.0	#18cde4	#1acfe3
Streptococcus sp. M334	Buccal_mucosa	#445cfb	11	8.0	1.0	#4df3ce	#6a22fe
Streptococcus sp. oral taxon 056	Keratinized_gingiva	#17cbe4	5	4.0	0.0	#1996f3	#8000ff
Streptococcus sp. oral taxon 058	Buccal_mucosa_NA	#2686f5	1	9.0	11.0	#64fbc3	#72febb
Streptococcus sp. SK140	Hard_palate	#08acee	8	15.0	5.0	#feb562	#11a0f1
Streptococcus sp. SK643	Buccal_mucosa_NA	#2686f5	9	12.0	2.0	#b2f396	#5444fd
Streptococcus sp. SR1	Hard_palate	#08acee	4	13.0	0.0	#cbe486	#8000ff
Streptococcus vestibularis	Buccal_mucosa_NA	#2686f5	1	2.0	23.0	#4e4dfc	#ff0000
Sutterellaceae bacterium ND3	Anterior_nares	#8000ff	2	7.0	9.0	#32e3da	#46efd1
Treponema pedis	Subgingival_plaque	#ffac5c	1	9.0	11.0	#64fbc3	#72febb
Treponema phagedenis	Subgingival_plaque	#ffac5c	1	6.0	7.0	#18cde4	#1acfe3
Treponema succinifaciens	Subgingival_plaque	#ffac5c	2	18.0	10.0	#ff5029	#5df9c7
Veillonella montpellierensis	Keratinized_gingiva	#17cbe4	8	15.0	5.0	#feb562	#11a0f1
Veillonella seminalis	Keratinized_gingiva	#17cbe4	3	5.0	12.0	#01b3ec	#8bfeae
Xenorhabdus bovienii	Saliva	#cbe486	1	0.0	14.0	#8000ff	#b6f193
Xylanimonas cellulosilytica	Throat	#ff5c2f	10	1.0	17.0	#6826fe	#f9bb66
Actinomyces dentalis	Subgingival_plaque	#ffac5c	7	12.0	2.0	#b2f396	#5444fd
Actinomyces israelii	Subgingival_plaque	#ffac5c	4	9.0	4.0	#64fbc3	#2884f6
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	10	10.0	6.0	#7effb5	#04b9ea
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	6	16.0	0.0	#ff964f	#8000ff
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	8	15.0	5.0	#feb562	#11a0f1
Alistipes putredinis	Stool	#e8cb72	4	19.0	8.0	#ff2914	#30e1da
Alistipes shahii	Stool	#e8cb72	2	7.0	9.0	#32e3da	#46efd1
Bacteroides coprocola	Stool	#e8cb72	2	18.0	10.0	#ff5029	#5df9c7
Bacteroides pyogenes	Stool	#e8cb72	5	5.0	12.0	#01b3ec	#8bfeae
Actinomyces timonensis	Subgingival_plaque	#ffac5c	1	6.0	7.0	#18cde4	#1acfe3
Actinobacillus minor	Buccal_mucosa_NA	#2686f5	3	14.0	0.0	#e4cf74	#8000ff
Brochothrix thermosphacta	Saliva	#cbe486	2	11.0	13.0	#99fca6	#a0faa1
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	10	7.0	15.0	#32e3da	#cce385
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	9	11.0	16.0	#99fca6	#e2d176
Actinomyces georgiae	Subgingival_plaque	#ffac5c	2	20.0	3.0	#ff0000	#3e65fa
Bacteroides plebeius	Stool	#e8cb72	1	9.0	11.0	#64fbc3	#72febb
Lactobacillus brevis	Anterior_nares	#8000ff	4	17.0	18.0	#ff763d	#ffa256
Porphyromonas macacae	Attached	#622ffe	1	3.0	21.0	#3473f8	#ff4724
Prevotella corporis	R_Retroauricular_crease	#acf59a	9	2.0	22.0	#4e4dfc	#ff2613
Prevotella dentalis	Saliva	#cbe486	9	2.0	22.0	#4e4dfc	#ff2613
Kytococcus sedentarius	Throat	#ff5c2f	10	1.0	17.0	#6826fe	#f9bb66
Paraprevotella clara	Stool	#e8cb72	11	7.0	19.0	#32e3da	#ff8646
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	1	0.0	14.0	#8000ff	#b6f193
Porphyromonas gingivalis	Keratinized_gingiva	#17cbe4	11	3.0	20.0	#3473f8	#ff6835
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	11	8.0	1.0	#4df3ce	#6a22fe
Streptococcus sp. CCH5-D3	Tongue_dorsum	#ff2f18	1	2.0	23.0	#4e4dfc	#ff0000
