TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Streptococcus sp. CCH8-H5	Attached	#622ffe	2	34.0	2.0	#ff914c	#6a22fe
Streptococcus sp. HPH0090	Palatine_Tonsils	#70febc	9	38.0	41.0	#ff4d27	#ff4724
Streptococcus sp. I-P16	Tongue_dorsum	#ff2f18	4	34.0	2.0	#ff914c	#6a22fe
Streptococcus thermophilus	Anterior_nares	#8000ff	263	19.0	29.0	#66fcc2	#c8e688
Streptococcus urinalis	Saliva	#cbe486	2	3.0	27.0	#5c38fd	#b2f396
Treponema medium	Subgingival_plaque	#ffac5c	132	38.0	43.0	#ff4d27	#ff2613
Treponema putidum	Subgingival_plaque	#ffac5c	29	38.0	44.0	#ff4d27	#ff1309
Treponema sp. OMZ 838	Subgingival_plaque	#ffac5c	140	38.0	43.0	#ff4d27	#ff2613
Treponema vincentii	Subgingival_plaque	#ffac5c	130	38.0	43.0	#ff4d27	#ff2613
Trueperella pyogenes	Tongue_dorsum	#ff2f18	6	9.0	4.0	#149df1	#5444fd
Tyzzerella nexilis	Stool	#e8cb72	1	5.0	16.0	#445cfb	#34e4d9
Veillonella sp. 6_1_27	Buccal_mucosa	#445cfb	240	38.0	45.0	#ff4d27	#ff0000
Veillonella sp. OK1	Tongue_dorsum	#ff2f18	2	34.0	2.0	#ff914c	#6a22fe
Vitreoscilla stercoraria	Tongue_dorsum	#ff2f18	1	20.0	30.0	#72febb	#d4dd80
Xanthomonas campestris	Anterior_nares	#8000ff	1	15.0	16.0	#37e6d8	#34e4d9
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	3	6.0	2.0	#386df9	#6a22fe
Actinomyces dentalis	Subgingival_plaque	#ffac5c	218	18.0	3.0	#5af8c8	#5e35fe
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	6	9.0	4.0	#149df1	#5444fd
Alistipes finegoldii	Stool	#e8cb72	4	30.0	7.0	#ecc86f	#3176f8
Acidovorax avenae	Supragingival_plaque	#ff8646	2	16.0	1.0	#42edd3	#7610ff
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	3	42.0	10.0	#ff0000	#10a2f0
Alistipes shahii	Stool	#e8cb72	6	37.0	8.0	#ff5f30	#2686f5
Bacteroides dorei	Stool	#e8cb72	4	10.0	13.0	#08acee	#12c8e6
Bacteroides nordii	Stool	#e8cb72	2	11.0	14.0	#04b9ea	#1fd3e1
bacterium LF-3	Stool	#e8cb72	1	21.0	11.0	#7effb5	#04b0ed
Acetivibrio ethanolgignens	Stool	#e8cb72	2	33.0	0.0	#ffa055	#8000ff
Bacteroides sp. D2	Stool	#e8cb72	1	5.0	16.0	#445cfb	#34e4d9
Bacteroides ovatus	Stool	#e8cb72	13	20.0	15.0	#72febb	#2adddd
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	262	2.0	21.0	#6826fe	#6efebe
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	259	23.0	23.0	#96fca7	#84ffb2
