TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	4	15.0	15.0	#44eed2	#5af8c8
Haemophilus sputorum	Saliva	#cbe486	11	24.0	23.0	#b9ef92	#cee184
Isoptericola variabilis	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff
Janibacter hoylei	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe
Johnsonella ignava	Subgingival_plaque	#ffac5c	6	26.0	4.0	#d4dd80	#4659fb
Kingella denitrificans	Supragingival_plaque	#ff8646	4	15.0	15.0	#44eed2	#5af8c8
Kingella sp. Sch538	Keratinized_gingiva	#17cbe4	1	22.0	11.0	#9efaa2	#20d5e1
Kytococcus sedentarius	Throat	#ff5c2f	12	9.0	8.0	#0ca7ef	#0ca7ef
Lachnoanaerobaculum sp. ICM7	Tongue_dorsum	#ff2f18	14	33.0	25.0	#ff793e	#ecc86f
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff
Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff2f18	13	17.0	0.0	#5efac6	#8000ff
Lachnospiraceae bacterium MC2017	Throat	#ff5c2f	2	13.0	17.0	#2adddd	#76ffb9
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	13	17.0	0.0	#5efac6	#8000ff
Lactobacillus salivarius	Posterior_fornix	#8efeac	2	25.0	5.0	#c6e789	#386df9
Lactococcus lactis	Anterior_nares	#8000ff	2	36.0	2.0	#ff3e1f	#642cfe
Lautropia mirabilis	Supragingival_plaque	#ff8646	12	10.0	3.0	#02b7eb	#5641fd
Leptotrichia buccalis	Supragingival_plaque	#ff8646	8	16.0	20.0	#50f4cc	#a2f9a0
Leptotrichia goodfellowii	Subgingival_plaque	#ffac5c	8	24.0	23.0	#b9ef92	#cee184
Leptotrichia trevisanii	Palatine_Tonsils	#70febc	13	39.0	13.0	#ff0000	#3dead5
Leucobacter chironomi	Tongue_dorsum	#ff2f18	2	25.0	5.0	#c6e789	#386df9
