TAXA	Actinobaculum massiliense	Actinobaculum sp. oral taxon 183	Actinomyces massiliensis	Actinomyces naeslundii	Actinomyces neuii	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 448	Aerococcus christensenii	Alistipes putredinis	Anaerococcus hydrogenalis	Anaerococcus prevotii	Anaerococcus provenciensis	Anaerococcus senegalensis	Arcanobacterium haemolyticum	Atopobium vaginae	Bacteroides coprocola	Bacteroides dorei	Bacteroides gallinarum	Bacteroides massiliensis	Bacteroides plebeius	Bacteroides sp. 2_2_4	Bacteroides stercoris	Bacteroides uniformis	Barnesiella intestinihominis	Blautia obeum	Bradyrhizobium japonicum	Burkholderiales bacterium 1_1_47	Campylobacter hominis	Campylobacter ureolyticus	Capnocytophaga gingivalis	Comamonas testosteroni	Corynebacterium aurimucosum	Corynebacterium diphtheriae	Corynebacterium matruchotii	Corynebacterium pyruviciproducens	Cupriavidus basilensis	Dialister invisus	Dialister micraerophilus	[Eubacterium] rectale	Faecalibacterium prausnitzii	Finegoldia magna	Herbaspirillum chlorophenolicum	Herbaspirillum huttiense	Herbaspirillum rubrisubalbicans	Herbaspirillum seropedicae	Herbaspirillum sp. B39	Lachnospiraceae bacterium TF01-11	Lactobacillus acidophilus	Lactobacillus amylovorus	Lactobacillus coleohominis	Lactobacillus crispatus	Lactobacillus gasseri	Lactobacillus helveticus	Lactobacillus iners	Lactobacillus jensenii	Lactobacillus kefiranofaciens	Lactobacillus kitasatonis	Lactobacillus oris	Lactobacillus reuteri	Lactobacillus vaginalis	Lactococcus lactis	Lautropia mirabilis	Lawsonella clevelandensis	Levyella massiliensis	Limnohabitans sp. Rim47	Mobiluncus curtisii	Mycobacterium abscessus	Mycobacterium chelonae	Nocardia otitidiscaviarum	Oscillibacter sp. ER4	Parabacteroides merdae	Peptoniphilus grossensis	Peptoniphilus harei	Peptoniphilus sp. BV3AC2	Peptoniphilus sp. BV3C26	Peptoniphilus timonensis	Peptostreptococcus anaerobius	Porphyromonas uenonis	Prevotella bivia	Prevotella buccalis	Prevotella disiens	Prevotella oris	Prevotella sp. 109	Prevotella sp. C561	Prevotella sp. oral taxon 473	Prevotella sp. S7-1-8	Prevotella timonensis	Propionibacterium humerusii	Propionibacterium propionicum	Pseudomonas aeruginosa	Pseudomonas extremaustralis	Pseudomonas fluorescens	Pseudomonas frederiksbergensis	Pseudomonas libanensis	Pseudomonas mandelii	Pseudomonas orientalis	Pseudomonas putida	Pseudomonas sp. Ag1	Pseudomonas sp. DSM 28142	Pseudomonas sp. DSM 29164	Pseudomonas sp. DSM 29167	Pseudomonas sp. ES3-33	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. FH1	Pseudomonas sp. NBRC 111132	Pseudomonas sp. NBRC 111134	Pseudomonas sp. Root9	Pseudomonas synxantha	Pseudomonas tolaasii	Roseburia intestinalis	Roseburia inulinivorans	Rothia dentocariosa	Rothia mucilaginosa	Ruminococcus bicirculans	Salinicoccus roseus	Sphingobium yanoikuyae	Sphingomonas sp. MEA3-1	Sphingopyxis fribergensis	Sphingopyxis macrogoltabida	Sphingopyxis sp. 113P3	Sphingopyxis sp. H050	Sphingopyxis sp. H115	Sphingopyxis sp. LC81	Sphingopyxis sp. Root1497	Stenotrophomonas maltophilia	Sutterellaceae bacterium ND3	Sutterella wadsworthensis	Tissierellia bacterium S5-A11	Ureaplasma parvum	Varibaculum cambriense	Veillonella dispar
Actinobaculum massiliense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9438798074485387	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum sp. oral taxon 183	0.0	0.0	0.0	0.9850365626224085	0.0	0.0	0.0	0.0	0.0	0.9850365626224085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9850365626224085	0.0	0.9850365626224085	0.0	0.0	0.9672867022534919	0.9306656831867102	0.9850365626224085	0.0	0.9700478117050829	0.0	0.0	0.979764647221055	0.9850365626224085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.960435464070237	0.0	0.0	0.0	0.0	0.0	0.9867817527099316	0.9850365626224085	0.0	0.0	0.0	0.0	0.9986822513126801	0.9953173068837359	0.961424932414253	0.9157484263009923	0.0	0.0	0.9850365626224085	0.9931020117365793	0.0	0.9850365626224085	0.0	0.9157484263009923	0.9850365626224085	0.9528015444353077	0.0	0.9842427116706582	0.0	0.0	0.0	0.0	0.9405940594059405	0.9880971548203445	0.0	0.0	0.0	0.0	0.9879372823805689	0.99775574805929	0.0	0.9850365626224085	0.9850365626224085	0.0	0.9157484263009923	0.9850365626224085	0.0	0.99775574805929	0.0	0.9617196189230157	0.9980583291418228	0.9863687232767075	0.9992796685541032	0.0	0.99775574805929	0.0	0.0	0.0	0.0	0.9850365626224085	0.0	0.0	0.0	0.0	0.9850365626224085	0.9771071235928814	0.9850365626224085	0.0	0.0	0.9850365626224085	0.0	0.9968592704582597	0.9771071235928814	0.0	0.9850365626224085	0.9928073464432404	0.9157484263009923	0.9850365626224085
Actinomyces massiliensis	0.0	0.0	0.0	0.9258200997725512	0.0	0.0	0.0	0.0	0.0	0.9258200997725512	0.9869275424396533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9258200997725512	0.0	0.9258200997725512	0.0	0.0	0.9091372900969896	0.9827076298239904	0.9258200997725512	0.0	0.0	0.0	0.0	0.9358190749891755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9258200997725512	0.0	0.0	1.0	0.0	0.0	0.8942721104281388	0.9604598502436762	0.989159571394798	0.0	0.0	0.9258200997725512	0.0	0.0	0.9258200997725512	0.0	0.989159571394798	0.9258200997725512	0.9683296637314884	1.0	0.0	0.0	0.0	0.0	0.0	0.9771071235928814	0.0	0.9456108576893003	0.0	1.0	0.0	0.0	0.0	0.0	0.9258200997725512	0.9258200997725512	0.0	0.989159571394798	0.9258200997725512	0.0	0.0	0.0	0.9590210286470982	0.8783100656536799	0.9213246736078018	0.0	0.9959100033104784	0.0	0.0	0.0	0.0	0.0	0.9258200997725512	0.0	0.0	0.0	0.0	0.9258200997725512	0.0	0.9258200997725512	0.989159571394798	0.8783100656536795	0.9258200997725512	0.0	0.8862870966920833	0.0	0.0	0.0	0.9044122355729414	0.989159571394798	0.9258200997725512
Actinomyces naeslundii	0.0	0.9850365626224085	0.9258200997725512	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.9819805060619659	0.9797958971132714	1.0	0.0	0.9847835588179368	0.0	0.0	0.9994936384816955	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9750251924794778	0.0	0.0	0.0	0.0	0.0	0.9938837346736189	1.0	0.0	0.0	0.9258200997725512	0.0	0.9925833339709303	0.997083124559609	0.9944453461410923	0.9712858623572642	0.0	0.0	1.0	0.9973666315057157	0.0	1.0	0.0	0.9712858623572642	1.0	0.9908673886137243	0.9258200997725512	0.978231976089037	0.0	0.0	0.0	0.0	0.9850365626224085	0.999283296742492	0.9428090415820632	0.0	0.9258200997725512	0.0	0.999375585327815	0.9712858623572642	0.0	1.0	1.0	0.0	0.9712858623572642	1.0	0.0	0.9712858623572642	0.0	0.9941885287682286	0.9938586931957762	0.9994899934500774	0.9908673886137243	0.9561828874675149	0.9712858623572642	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.9258200997725512	1.0	0.9712858623572642	0.0	1.0	0.0	0.9955914553877286	0.9258200997725512	0.0	1.0	0.9985852386219168	0.9712858623572642	1.0
Actinomyces neuii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9438798074485387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.9999999999999997	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces sp. oral taxon 171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.996683241277643	0.0	0.0	0.9999813674967429	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Actinomyces sp. oral taxon 448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9438798074485387	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcus christensenii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.990804280226215	0.0	0.9814175272839751	0.0	0.0	0.9915615569803117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes putredinis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.9130693203383486	0.0	0.996683241277643	0.0	0.0	0.9999813674967429	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9198241455585492	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Anaerococcus hydrogenalis	0.0	0.9850365626224085	0.9258200997725512	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.9819805060619659	0.9797958971132714	1.0	0.0	0.9847835588179368	0.0	0.0	0.9994936384816955	1.0	0.0	0.0	0.0	0.8911873405929068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9750251924794778	0.0	0.0	0.0	0.0	0.0	0.9938837346736189	1.0	0.0	0.0	0.0	0.0	0.9925833339709303	0.997083124559609	0.9944453461410923	0.9712858623572642	0.0	0.0	1.0	0.9973666315057157	0.9191450300180577	0.0	0.0	0.9712858623572642	1.0	0.9908673886137243	0.9258200997725512	0.978231976089037	0.0	0.0	0.0	0.0	0.9850365626224085	0.999283296742492	0.9428090415820632	0.0	0.9258200997725512	0.0	0.999375585327815	0.9712858623572642	0.0	1.0	1.0	0.0	0.9712858623572642	1.0	0.0	0.9712858623572642	0.0	0.9941885287682286	0.9938586931957762	0.9994899934500774	0.9908673886137243	0.9561828874675149	0.9712858623572642	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.9258200997725512	1.0	0.9712858623572642	0.0	1.0	0.0	0.9955914553877286	0.0	0.0	1.0	0.9985852386219168	0.9712858623572642	1.0
