TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Staphylococcus sp. OJ82	Anterior_nares	#8000ff	2	15.0	122.0	#4062fa	#ff160b
Staphylococcus sp. ZWU0021	Anterior_nares	#8000ff	2	15.0	122.0	#4062fa	#ff160b
Staphylococcus vitulinus	Anterior_nares	#8000ff	2	49.0	7.0	#54f6cb	#642cfe
Stenotrophomonas chelatiphaga	Anterior_nares	#8000ff	2	28.0	23.0	#06aeed	#2489f5
Streptococcus infantarius	Anterior_nares	#8000ff	3	9.0	58.0	#5a3bfd	#6dfdbf
Streptococcus lutetiensis	Anterior_nares	#8000ff	1	117.0	43.0	#ff0000	#2fe0db
Streptococcus pyogenes	Buccal_mucosa_NA	#2686f5	1	62.0	115.0	#8efeac	#ff4121
Streptococcus sp. 2_1_36FAA	Buccal_mucosa	#445cfb	3	94.0	50.0	#ff964f	#4df3ce
Streptococcus sp. AS20	Attached	#622ffe	3	71.0	31.0	#b4f295	#01b3ec
Streptococcus sp. CM6	Buccal_mucosa_NA	#2686f5	1	11.0	124.0	#5247fc	#ff0905
Streptococcus sp. CM7	Buccal_mucosa	#445cfb	2	79.0	90.0	#d9da7d	#eec66d
Streptococcus sp. F0441	Buccal_mucosa	#445cfb	4	28.0	23.0	#06aeed	#2489f5
Streptococcus sp. HSISS3	Buccal_mucosa_NA	#2686f5	1	24.0	48.0	#1898f2	#42edd3
Streptococcus sp. oral taxon 056	Keratinized_gingiva	#17cbe4	1	57.0	76.0	#78ffb8	#b6f193
Streptococcus sp. SK140	Hard_palate	#08acee	1	26.0	93.0	#10a2f0	#fbb965
Streptococcus sp. SR4	Tongue_dorsum	#ff2f18	1	26.0	93.0	#10a2f0	#fbb965
Streptococcus urinalis	Saliva	#cbe486	3	105.0	72.0	#ff532a	#a4f89f
Streptomyces bottropensis	Anterior_nares	#8000ff	1	106.0	37.0	#ff4a26	#17cbe4
Streptomyces sp. NRRL F-5630	Anterior_nares	#8000ff	1	35.0	39.0	#18cde4	#1fd3e1
Synechococcus sp. BL107	Anterior_nares	#8000ff	1	8.0	103.0	#5e35fe	#ff8646
Tannerella sp. 6_1_58FAA_CT1	Stool	#e8cb72	4	10.0	78.0	#5641fd	#beec8e
Tessaracoccus sp. SIT7	Anterior_nares	#8000ff	1	4.0	27.0	#7019ff	#11a0f1
Tetragenococcus muriaticus	Anterior_nares	#8000ff	1	107.0	102.0	#ff4422	#ff8c49
Thauera sp. SWB20	Anterior_nares	#8000ff	1	97.0	8.0	#ff8444	#6032fe
Thermanaerovibrio acidaminovorans	Anterior_nares	#8000ff	1	105.0	63.0	#ff532a	#80ffb4
Thermoactinomyces daqus	Anterior_nares	#8000ff	2	112.0	11.0	#ff2211	#5444fd
Thermobispora bispora	Anterior_nares	#8000ff	1	52.0	62.0	#62fbc4	#7dffb6
Thermocrinis ruber	Buccal_mucosa	#445cfb	2	37.0	20.0	#20d5e1	#3079f7
Thermomonas fusca	Anterior_nares	#8000ff	2	10.0	120.0	#5641fd	#ff2211
Thermosinus carboxydivorans	Anterior_nares	#8000ff	2	79.0	90.0	#d9da7d	#eec66d
Timonella senegalensis	Anterior_nares	#8000ff	1	85.0	53.0	#f2c26b	#58f8c9
Treponema endosymbiont of Eucomonympha sp.	R_Retroauricular_crease	#acf59a	3	81.0	107.0	#e0d377	#ff703a
Treponema pedis	Subgingival_plaque	#ffac5c	3	28.0	23.0	#06aeed	#2489f5
Tuberibacillus calidus	Anterior_nares	#8000ff	1	107.0	18.0	#ff4422	#386df9
Ureaplasma parvum	Vaginal_introitus	#ff0000	2	14.0	105.0	#445cfb	#ff7b40
Veillonella seminalis	Keratinized_gingiva	#17cbe4	1	54.0	0.0	#6afdc0	#8000ff
Vibrio cholerae	Buccal_mucosa	#445cfb	3	62.0	121.0	#8efeac	#ff1c0e
Weeksella sp. FF8	Anterior_nares	#8000ff	1	53.0	34.0	#66fcc2	#0ac0e8
Williamsia sp. Leaf354	Anterior_nares	#8000ff	1	4.0	27.0	#7019ff	#11a0f1
Xanthobacter autotrophicus	Anterior_nares	#8000ff	3	12.0	42.0	#4c50fc	#2adddd
