TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Limnohabitans sp. 103DPR2	R_Retroauricular_crease	#acf59a	2	32.0	0.0	#64fbc3	#8000ff
Limnohabitans sp. Rim28	R_Retroauricular_crease	#acf59a	2	32.0	0.0	#64fbc3	#8000ff
Listeria monocytogenes	L_Retroauricular_crease	#34e4d9	2	19.0	24.0	#08bee9	#2ddedc
Marinilabilia salmonicolor	L_Retroauricular_crease	#34e4d9	2	32.0	0.0	#64fbc3	#8000ff
Marmoricola sp. Leaf446	L_Retroauricular_crease	#34e4d9	1	15.0	30.0	#169bf2	#56f7ca
Massilia alkalitolerans	R_Retroauricular_crease	#acf59a	2	27.0	5.0	#40ecd4	#5e35fe
Massilia sp. LC238	R_Retroauricular_crease	#acf59a	3	27.0	5.0	#40ecd4	#5e35fe
Massilia sp. Leaf139	R_Retroauricular_crease	#acf59a	2	27.0	5.0	#40ecd4	#5e35fe
Megasphaera genomosp. type_1	L_Retroauricular_crease	#34e4d9	3	18.0	15.0	#00b5eb	#169bf2
Megasphaera sp. UPII 135-E	L_Retroauricular_crease	#34e4d9	5	34.0	62.0	#74feba	#ff6533
Megasphaera sp. UPII 199-6	Posterior_fornix	#8efeac	3	18.0	15.0	#00b5eb	#169bf2
Meiothermus ruber	R_Retroauricular_crease	#acf59a	1	2.0	4.0	#7216ff	#642cfe
Mesorhizobium sp. UASWS1009	R_Retroauricular_crease	#acf59a	2	27.0	5.0	#40ecd4	#5e35fe
Methylobacillus glycogenes	R_Retroauricular_crease	#acf59a	2	48.0	19.0	#d9da7d	#08bee9
Methylobacterium extorquens	Anterior_nares	#8000ff	1	5.0	16.0	#5e35fe	#0ea5ef
Methylobacterium populi	Anterior_nares	#8000ff	1	25.0	13.0	#32e3da	#2489f5
Methylobacterium sp. AMS5	R_Retroauricular_crease	#acf59a	3	66.0	1.0	#ff381c	#7a09ff
Methylobacterium sp. GXS13	R_Retroauricular_crease	#acf59a	3	12.0	20.0	#2981f6	#0fc4e7
Methylobacterium sp. Leaf85	R_Retroauricular_crease	#acf59a	1	53.0	3.0	#fcb763	#6c1fff
Methylobacterium sp. MB200	L_Retroauricular_crease	#34e4d9	2	3.0	0.0	#6c1fff	#8000ff
Microbacterium paraoxydans	R_Retroauricular_crease	#acf59a	5	66.0	1.0	#ff381c	#7a09ff
Microbacterium sp. Ag1	R_Retroauricular_crease	#acf59a	1	59.0	8.0	#ff8444	#4856fb
Microbacterium sp. KROCY2	L_Retroauricular_crease	#34e4d9	3	28.0	11.0	#48f1d0	#3176f8
Microbacterium sp. Leaf203	Anterior_nares	#8000ff	1	62.0	4.0	#ff6533	#642cfe
Microbacterium sp. TS-1	Anterior_nares	#8000ff	3	46.0	51.0	#cbe486	#eec66d
Microbacterium testaceum	R_Retroauricular_crease	#acf59a	2	46.0	51.0	#cbe486	#eec66d
Micrococcus sp. 28	L_Retroauricular_crease	#34e4d9	1	41.0	18.0	#a6f89d	#00b5eb
Micrococcus sp. A1	L_Retroauricular_crease	#34e4d9	2	28.0	11.0	#48f1d0	#3176f8
Micrococcus sp. MS-ASIII-49	L_Retroauricular_crease	#34e4d9	2	28.0	11.0	#48f1d0	#3176f8
Microcoleus sp. PCC 7113	Anterior_nares	#8000ff	1	64.0	12.0	#ff5029	#2981f6
Microlunatus phosphovorus	R_Retroauricular_crease	#acf59a	3	27.0	5.0	#40ecd4	#5e35fe
Moraxella boevrei	Anterior_nares	#8000ff	3	66.0	1.0	#ff381c	#7a09ff
Moraxella bovoculi	Anterior_nares	#8000ff	1	37.0	57.0	#88ffaf	#ff964f
Moraxella caprae	Anterior_nares	#8000ff	5	37.0	37.0	#88ffaf	#88ffaf
Mycobacterium avium	L_Retroauricular_crease	#34e4d9	2	48.0	19.0	#d9da7d	#08bee9
