TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Senegalimassilia	Stool	#e8cb72	1	3.0	19.0	#2adddd	#ff0000	Mixed	#cccccc
Shewanella	L_Retroauricular_crease	#34e4d9	9	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Simonsiella	Keratinized_gingiva	#17cbe4	2	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Sinorhizobium	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Slackia	Palatine_Tonsils	#70febc	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Sneathia	L_Retroauricular_crease	#34e4d9	4	1.0	11.0	#4856fb	#a6f89d	Mixed	#cccccc
Solobacterium	Palatine_Tonsils	#70febc	7	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Sphingobacterium	L_Retroauricular_crease	#34e4d9	12	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Sphingobium	Vaginal_introitus	#ff0000	9	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Sphingomonas	Anterior_nares	#8000ff	14	6.0	4.0	#d4dd80	#169bf2	Mixed	#cccccc
Sphingopyxis	Vaginal_introitus	#ff0000	9	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Staphylococcus	L_Retroauricular_crease	#34e4d9	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Stenotrophomonas	Anterior_nares	#8000ff	11	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Stigmatella	L_Retroauricular_crease	#34e4d9	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Stomatobaculum	Tongue_dorsum	#ff2f18	7	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Streptococcus	Buccal_mucosa_NA	#2686f5	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Streptomyces	R_Retroauricular_crease	#acf59a	15	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Subdoligranulum	Stool	#e8cb72	4	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Sutterella	Stool	#e8cb72	11	6.0	0.0	#d4dd80	#8000ff	Mixed	#cccccc
Synechocystis	Anterior_nares	#8000ff	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Tannerella	Subgingival_plaque	#ffac5c	6	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Tepidiphilus	Anterior_nares	#8000ff	3	1.0	11.0	#4856fb	#a6f89d	Mixed	#cccccc
Tetrasphaera	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Thermus	L_Retroauricular_crease	#34e4d9	13	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Tolumonas	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Treponema	Subgingival_plaque	#ffac5c	18	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Trueperella	Tongue_dorsum	#ff2f18	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Turicella	Anterior_nares	#8000ff	3	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Tyzzerella	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Variovorax	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Veillonella	Attached	#622ffe	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Verminephrobacter	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Vibrio	Anterior_nares	#8000ff	1	5.0	9.0	#9bfba5	#70febc	Mixed	#cccccc
Vogesella	L_Retroauricular_crease	#34e4d9	2	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Weissella	Anterior_nares	#8000ff	6	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Williamsia	L_Retroauricular_crease	#34e4d9	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Xanthomonas	Anterior_nares	#8000ff	14	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Xylanimonas	Throat	#ff5c2f	2	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Acetobacter	L_Retroauricular_crease	#34e4d9	2	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Acidovorax	L_Retroauricular_crease	#34e4d9	15	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Acetivibrio	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Achromobacter	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Agrobacterium	R_Retroauricular_crease	#acf59a	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Alkanindiges	Anterior_nares	#8000ff	4	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Actinomycetospora	L_Retroauricular_crease	#34e4d9	3	1.0	6.0	#4856fb	#20d5e1	Mixed	#cccccc
Aliterella	Anterior_nares	#8000ff	1	5.0	9.0	#9bfba5	#70febc	Mixed	#cccccc
Anaerococcus	L_Retroauricular_crease	#34e4d9	23	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Aureimonas	R_Retroauricular_crease	#acf59a	1	0.0	12.0	#8000ff	#c2ea8c	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	3	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	17	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Caloramator	R_Retroauricular_crease	#acf59a	5	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Deinococcus	Anterior_nares	#8000ff	3	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Crocosphaera	L_Retroauricular_crease	#34e4d9	20	1.0	14.0	#4856fb	#f6be68	Mixed	#cccccc
Arthrobacter	Anterior_nares	#8000ff	3	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	15	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Afipia	Anterior_nares	#8000ff	3	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Abiotrophia	Buccal_mucosa	#445cfb	20	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Aggregatibacter	Saliva	#cbe486	18	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	2	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Catonella	Subgingival_plaque	#ffac5c	12	6.0	0.0	#d4dd80	#8000ff	Mixed	#cccccc
Acinetobacter	Anterior_nares	#8000ff	22	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	7	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Bordetella	L_Retroauricular_crease	#34e4d9	1	5.0	13.0	#9bfba5	#dcd67a	Mixed	#cccccc
Actinomyces	Tongue_dorsum	#ff2f18	22	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Eremococcus	Anterior_nares	#8000ff	1	3.0	16.0	#2adddd	#ff7b40	Mixed	#cccccc
Idiomarina	R_Retroauricular_crease	#acf59a	1	8.0	17.0	#ff592d	#ff532a	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	2	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Eggerthia	Subgingival_plaque	#ffac5c	2	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Gluconobacter	R_Retroauricular_crease	#acf59a	2	7.0	5.0	#ffa558	#07bbea	Mixed	#cccccc
Alloprevotella	Keratinized_gingiva	#17cbe4	18	7.0	4.0	#ffa558	#169bf2	Mixed	#cccccc
Curtobacterium	L_Retroauricular_crease	#34e4d9	3	1.0	6.0	#4856fb	#20d5e1	Mixed	#cccccc
Adlercreutzia	Stool	#e8cb72	3	2.0	7.0	#10a2f0	#3ae8d6	Mixed	#cccccc
Bradyrhizobium	Anterior_nares	#8000ff	6	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Arcobacter	L_Retroauricular_crease	#34e4d9	4	1.0	11.0	#4856fb	#a6f89d	Mixed	#cccccc
Elizabethkingia	Anterior_nares	#8000ff	1	3.0	15.0	#2adddd	#ff9d53	Mixed	#cccccc
Exiguobacterium	L_Retroauricular_crease	#34e4d9	3	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Kocuria	Anterior_nares	#8000ff	13	9.0	4.0	#ff0000	#169bf2	Mixed	#cccccc
Helcobacillus	R_Retroauricular_crease	#acf59a	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Oscillatoria	R_Retroauricular_crease	#acf59a	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Oxalobacter	Stool	#e8cb72	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Lachnospira	Stool	#e8cb72	1	3.0	18.0	#2adddd	#ff2c16	Mixed	#cccccc
Calothrix	Anterior_nares	#8000ff	2	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Filifactor	Palatine_Tonsils	#70febc	2	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Pediococcus	L_Retroauricular_crease	#34e4d9	2	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Aquabacterium	L_Retroauricular_crease	#34e4d9	2	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
Aestuariimicrobium	L_Retroauricular_crease	#34e4d9	2	1.0	6.0	#4856fb	#20d5e1	Mixed	#cccccc
Burkholderia	Posterior_fornix	#8efeac	2	1.0	6.0	#4856fb	#20d5e1	Mixed	#cccccc
Propionicicella	R_Retroauricular_crease	#acf59a	1	3.0	19.0	#2adddd	#ff0000	Mixed	#cccccc
Methylobacterium	Anterior_nares	#8000ff	7	1.0	10.0	#4856fb	#8cfead	Mixed	#cccccc
