	TAXA	sample_type	sample_color	frequency
3497	Nocardia otitidiscaviarum	Mid_vagina	#18cde4	2
3508	Nosocomiicoccus massiliensis	Posterior_fornix	#4df3ce	1
3514	Novosphingobium subterraneum	Throat	#ff5029	1
3519	Odoribacter laneus	Buccal_mucosa	#1996f3	6
3524	Odoribacter splanchnicus	Stool	#b2f396	18
3545	Olsenella profusa	Buccal_mucosa	#1996f3	1
3547	Olsenella sp. SIT9	Buccal_mucosa	#1996f3	1
3549	Olsenella uli	Throat	#ff5029	4
3553	Oribacterium asaccharolyticum	Saliva	#7effb5	10
3567	Oribacterium parvum	Tongue_dorsum	#ff0000	13
3570	Oribacterium sinus	Saliva	#7effb5	20
3583	Oribacterium sp. oral taxon 078	Subgingival_plaque	#e4cf74	17
3593	Oribacterium sp. oral taxon 108	Saliva	#7effb5	10
3609	Oscillibacter ruminantium	Stool	#b2f396	2
3615	Oscillibacter sp. 1-3	Stool	#b2f396	10
3625	Oscillibacter sp. ER4	Stool	#b2f396	16
3637	Oscillibacter valericigenes	Stool	#b2f396	1
3639	Oscillospiraceae bacterium VE202-24	Stool	#b2f396	17
3670	Ottowia sp. oral taxon 894	Subgingival_plaque	#e4cf74	12
3673	Oxalobacter formigenes	Stool	#b2f396	4
3688	Paenibacillus sophorae	Anterior_nares	#8000ff	2
3705	Parabacteroides distasonis	Stool	#b2f396	15
3729	Parabacteroides goldsteinii	Stool	#b2f396	14
3742	Parabacteroides gordonii	Stool	#b2f396	5
3764	Parabacteroides johnsonii	Stool	#b2f396	12
3794	Parabacteroides merdae	Stool	#b2f396	22
3815	Parabacteroides sp. 2_1_7	Stool	#b2f396	2
3837	Parabacteroides sp. 20_3	Stool	#b2f396	11
3853	Parabacteroides sp. D13	Stool	#b2f396	13
3873	Parabacteroides sp. D26	Stool	#b2f396	13
3892	Parabacteroides sp. HGS0025	Stool	#b2f396	1
3901	Paracoccus sp. 228	Buccal_mucosa	#1996f3	1
3903	Paracoccus sp. PAMC 22219	Posterior_fornix	#4df3ce	1
3905	Paracoccus sp. S4493	Buccal_mucosa	#1996f3	1
3907	Paracoccus versutus	Buccal_mucosa	#1996f3	2
3913	Paracoccus yeei	Anterior_nares	#8000ff	3
3922	Paraprevotella clara	Stool	#b2f396	23
3923	Paraprevotella xylaniphila	Stool	#b2f396	6
3924	Parasutterella excrementihominis	Stool	#b2f396	11
3951	Parvimonas micra	Throat	#ff5029	17
3962	Parvimonas sp. oral taxon 110	Subgingival_plaque	#e4cf74	12
3980	Parvimonas sp. oral taxon 393	Throat	#ff5029	6
3982	Pasteurella bettyae	Buccal_mucosa	#1996f3	7
3994	Pasteurella dagmatis	Buccal_mucosa	#1996f3	1
3998	Pasteurella multocida	Attached	#4e4dfc	11
4008	Pedobacter agri	Anterior_nares	#8000ff	1
4014	Peptoclostridium difficile	Stool	#b2f396	15
4037	Peptoniphilaceae bacterium SIT14	Posterior_fornix	#4df3ce	1
4039	Peptoniphilus grossensis	Posterior_fornix	#4df3ce	2
4052	Peptoniphilus harei	Anterior_nares	#8000ff	5
4054	Peptoniphilus lacrimalis	Tongue_dorsum	#ff0000	18
4080	Peptoniphilus rhinitidis	Anterior_nares	#8000ff	5
4084	Peptoniphilus sp. BV3AC2	Posterior_fornix	#4df3ce	3
4104	Peptoniphilus sp. BV3C26	Posterior_fornix	#4df3ce	1
4105	Peptostreptococcaceae bacterium ACC19a	Throat	#ff5029	3
4113	Peptostreptococcaceae bacterium AS15	Subgingival_plaque	#e4cf74	11
4120	Peptostreptococcaceae bacterium CM5	Subgingival_plaque	#e4cf74	2
4125	Peptostreptococcaceae bacterium OBRC8	Tongue_dorsum	#ff0000	6
4126	Peptostreptococcaceae bacterium oral taxon 113	Throat	#ff5029	4
4143	Peptostreptococcaceae bacterium VA2	Stool	#b2f396	1
4152	Peptostreptococcus anaerobius	Tongue_dorsum	#ff0000	6
4153	Peptostreptococcus sp. MV1	Throat	#ff5029	11
4154	Peptostreptococcus stomatis	Throat	#ff5029	15
4159	Phascolarctobacterium succinatutens	Stool	#b2f396	6
4174	Photobacterium iliopiscarium	Anterior_nares	#8000ff	1
4176	Porphyrobacter donghaensis	Buccal_mucosa	#1996f3	12
4181	Porphyromonadaceae bacterium COT-184 OH4590	Subgingival_plaque	#e4cf74	3
4187	Porphyromonas asaccharolytica	Posterior_fornix	#4df3ce	3
4239	Porphyromonas bennonis	Posterior_fornix	#4df3ce	4
4248	Porphyromonas cangingivalis	Tongue_dorsum	#ff0000	1
4251	Porphyromonas canoris	Attached	#4e4dfc	2
4262	Porphyromonas catoniae	Supragingival_plaque	#ff964f	25
4270	Porphyromonas crevioricanis	Stool	#b2f396	2
4294	Porphyromonas endodontalis	Subgingival_plaque	#e4cf74	21
4307	Porphyromonas gingivalis	Attached	#4e4dfc	15
4333	Porphyromonas gulae	Attached	#4e4dfc	8
4338	Porphyromonas macacae	Throat	#ff5029	3
4350	Porphyromonas somerae	Tongue_dorsum	#ff0000	24
4361	Porphyromonas sp. COT-239 OH1446	Tongue_dorsum	#ff0000	1
4365	Porphyromonas sp. KLE 1280	Tongue_dorsum	#ff0000	20
4382	Porphyromonas sp. oral taxon 278	Subgingival_plaque	#e4cf74	23
4396	Porphyromonas sp. oral taxon 279	Tongue_dorsum	#ff0000	22
4415	Porphyromonas uenonis	Throat	#ff5029	6
4417	Prevotella albensis	Stool	#b2f396	3
4447	Prevotella amnii	Tongue_dorsum	#ff0000	17
4457	Prevotella aurantiaca	Tongue_dorsum	#ff0000	15
4461	Prevotella baroniae	Saliva	#7effb5	10
4473	Prevotella bergensis	Stool	#b2f396	8
4482	Prevotella bivia	Tongue_dorsum	#ff0000	24
4501	Prevotella brevis	Attached	#4e4dfc	3
4522	Prevotella bryantii	Stool	#b2f396	2
4525	Prevotella buccae	Saliva	#7effb5	5
4532	Prevotella buccalis	Posterior_fornix	#4df3ce	11
4542	Prevotella conceptionensis	Subgingival_plaque	#e4cf74	16
4547	Prevotella copri	Stool	#b2f396	10
4559	Prevotella corporis	Buccal_mucosa	#1996f3	10
4561	Prevotella dentalis	Saliva	#7effb5	2
4572	Prevotella dentasini	Buccal_mucosa	#1996f3	1
4580	Prevotella denticola	Throat	#ff5029	18
4620	Prevotella disiens	Throat	#ff5029	22
4633	Prevotella enoeca	Supragingival_plaque	#ff964f	5
4638	Prevotella falsenii	Throat	#ff5029	5
4649	Prevotella fusca	Tongue_dorsum	#ff0000	16
4654	Prevotella histicola	Saliva	#7effb5	21
4667	Prevotella intermedia	Throat	#ff5029	18
4679	Prevotella loescheii	Supragingival_plaque	#ff964f	18
4692	Prevotella maculosa	Subgingival_plaque	#e4cf74	23
4714	Prevotella marshii	Subgingival_plaque	#e4cf74	7
4722	Prevotella melaninogenica	Tongue_dorsum	#ff0000	21
4726	Prevotella micans	Subgingival_plaque	#e4cf74	12
4749	Prevotella multiformis	Tongue_dorsum	#ff0000	13
4761	Prevotella multisaccharivorax	Stool	#b2f396	1
4765	Prevotella nanceiensis	Tongue_dorsum	#ff0000	21
4769	Prevotella nigrescens	Supragingival_plaque	#ff964f	26
4818	Prevotella oralis	Subgingival_plaque	#e4cf74	10
4823	Prevotella oris	Throat	#ff5029	26
4829	Prevotella oulorum	Subgingival_plaque	#e4cf74	22
4858	Prevotella pallens	Tongue_dorsum	#ff0000	23
4867	Prevotella pleuritidis	Subgingival_plaque	#e4cf74	21
4882	Prevotella saccharolytica	Subgingival_plaque	#e4cf74	21
4891	Prevotella salivae	Saliva	#7effb5	22
4916	Prevotella scopos	Tongue_dorsum	#ff0000	14
4936	Prevotella shahii	Tongue_dorsum	#ff0000	16
4940	Prevotella sp. 109	Stool	#b2f396	5
4951	Prevotella sp. AGR2160	Buccal_mucosa	#1996f3	4
4986	Prevotella sp. BV3P1	Posterior_fornix	#4df3ce	1
4988	Prevotella sp. C561	Tongue_dorsum	#ff0000	18
4998	Prevotella sp. F0091	Throat	#ff5029	20
5038	Prevotella sp. FD3004	Buccal_mucosa	#1996f3	2
5055	Prevotella sp. HJM029	Saliva	#7effb5	14
5069	Prevotella sp. HUN102	Throat	#ff5029	12
5073	Prevotella sp. ICM33	Tongue_dorsum	#ff0000	15
5092	Prevotella sp. MSX73	Throat	#ff5029	1
5101	Prevotella sp. oral taxon 299	Tongue_dorsum	#ff0000	16
5118	Prevotella sp. oral taxon 306	Saliva	#7effb5	14
5128	Prevotella sp. oral taxon 317	Subgingival_plaque	#e4cf74	14
5135	Prevotella sp. oral taxon 472	Supragingival_plaque	#ff964f	14
5149	Prevotella sp. oral taxon 473	Attached	#4e4dfc	25
5174	Prevotella sp. P4-65	Stool	#b2f396	1
5180	Prevotella sp. P4-76	Stool	#b2f396	3
5214	Prevotella sp. P5-119	Stool	#b2f396	1
5221	Prevotella sp. P5-125	Stool	#b2f396	2
5234	Prevotella sp. P5-60	Stool	#b2f396	2
5247	Prevotella sp. S7 MS 2	Attached	#4e4dfc	4
5254	Prevotella sp. S7-1-8	Attached	#4e4dfc	13
5262	Prevotella stercorea	Stool	#b2f396	6
5278	Prevotella timonensis	Anterior_nares	#8000ff	22
5282	Prevotella veroralis	Saliva	#7effb5	20
5288	Propionibacterium acnes	Anterior_nares	#8000ff	6
5302	Propionibacterium avidum	Anterior_nares	#8000ff	3
5307	Propionibacterium freudenreichii	Saliva	#7effb5	1
5309	Propionibacterium granulosum	Anterior_nares	#8000ff	7
5323	Propionibacterium humerusii	Anterior_nares	#8000ff	13
5339	Propionibacterium propionicum	Supragingival_plaque	#ff964f	27
5357	Propionibacterium sp. HGH0353	Anterior_nares	#8000ff	4
5362	Propionibacterium sp. KPL1844	Anterior_nares	#8000ff	6
5375	Propionibacterium sp. oral taxon 192	Supragingival_plaque	#ff964f	5
5383	Proteiniphilum acetatigenes	Buccal_mucosa	#1996f3	1
5392	Pseudoflavonifractor capillosus	Stool	#b2f396	12
5425	Pseudomonas aeruginosa	Throat	#ff5029	4
5437	Pseudomonas fluorescens	Mid_vagina	#18cde4	5
5460	Pseudomonas fragi	Saliva	#7effb5	1
5462	Pseudomonas frederiksbergensis	Posterior_fornix	#4df3ce	1
5469	Pseudomonas libanensis	Posterior_fornix	#4df3ce	1
5476	Pseudomonas mandelii	Mid_vagina	#18cde4	3
5499	Pseudomonas orientalis	Mid_vagina	#18cde4	2
5517	Pseudomonas putida	Buccal_mucosa	#1996f3	2
5540	Pseudomonas sp. 20_BN	Buccal_mucosa	#1996f3	1
