	TAXA	sample_type	sample_color	frequency
8146	Tannerella forsythia	Subgingival_plaque	#e4cf74	16
8151	Tannerella sp. 6_1_58FAA_CT1	Stool	#b2f396	6
8169	Tepidiphilus thermophilus	Anterior_nares	#8000ff	1
8178	Terrisporobacter othiniensis	Stool	#b2f396	1
8188	Thauera sp. 28	Supragingival_plaque	#ff964f	1
8192	Tissierellia bacterium GD9	Stool	#b2f396	2
8209	Tissierellia bacterium S5-A11	Posterior_fornix	#4df3ce	1
8217	Tissierellia bacterium S7-1-4	Posterior_fornix	#4df3ce	3
8262	Treponema denticola	Subgingival_plaque	#e4cf74	13
8283	Treponema lecithinolyticum	Subgingival_plaque	#e4cf74	12
8290	Treponema maltophilum	Subgingival_plaque	#e4cf74	12
8304	Treponema medium	Subgingival_plaque	#e4cf74	13
8324	Treponema pedis	Subgingival_plaque	#e4cf74	3
8334	Treponema phagedenis	Subgingival_plaque	#e4cf74	1
8338	Treponema putidum	Subgingival_plaque	#e4cf74	3
8350	Treponema saccharophilum	Subgingival_plaque	#e4cf74	1
8355	Treponema socranskii	Subgingival_plaque	#e4cf74	20
8381	Treponema sp. OMZ 838	Subgingival_plaque	#e4cf74	15
