TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Porphyromonas	Tongue_dorsum	#ff0000	41	5.0	5.0	#9bfba5	#17cbe4
Prevotella	Throat	#ff5029	55	5.0	0.0	#9bfba5	#8000ff
Propionibacterium	Anterior_nares	#8000ff	37	5.0	5.0	#9bfba5	#17cbe4
Proteiniphilum	Buccal_mucosa	#1996f3	1	5.0	10.0	#9bfba5	#acf59a
Pseudoflavonifractor	Stool	#b2f396	12	1.0	1.0	#4856fb	#622ffe
Pseudomonas	Mid_vagina	#18cde4	17	2.0	9.0	#10a2f0	#8efeac
Psychrobacter	Saliva	#7effb5	5	5.0	4.0	#9bfba5	#08acee
Rheinheimera	Anterior_nares	#8000ff	1	9.0	3.0	#ff0000	#2686f5
Rhodopseudomonas	Posterior_fornix	#4df3ce	1	2.0	9.0	#10a2f0	#8efeac
Riemerella	Buccal_mucosa	#1996f3	4	5.0	5.0	#9bfba5	#17cbe4
Rikenella	Stool	#b2f396	6	1.0	2.0	#4856fb	#445cfb
Risungbinella	Anterior_nares	#8000ff	1	7.0	12.0	#ffa558	#e8cb72
Roseburia	Stool	#b2f396	23	1.0	1.0	#4856fb	#622ffe
Rothia	Buccal_mucosa	#1996f3	37	5.0	0.0	#9bfba5	#8000ff
Ruminiclostridium	Stool	#b2f396	19	4.0	8.0	#62fbc4	#70febc
Ruminococcus	Stool	#b2f396	27	4.0	8.0	#62fbc4	#70febc
Runella	Attached	#4e4dfc	1	5.0	10.0	#9bfba5	#acf59a
Salmonella	Anterior_nares	#8000ff	8	6.0	13.0	#d4dd80	#ffac5c
Sanguibacter	Saliva	#7effb5	17	5.0	4.0	#9bfba5	#08acee
Scardovia	Supragingival_plaque	#ff964f	4	5.0	4.0	#9bfba5	#08acee
Selenomonas	Saliva	#7effb5	26	5.0	5.0	#9bfba5	#17cbe4
Senegalimassilia	Stool	#b2f396	2	4.0	2.0	#62fbc4	#445cfb
Serratia	Saliva	#7effb5	2	5.0	4.0	#9bfba5	#08acee
Shuttleworthia	Subgingival_plaque	#e4cf74	3	7.0	12.0	#ffa558	#e8cb72
Simonsiella	Attached	#4e4dfc	7	5.0	4.0	#9bfba5	#08acee
Sinorhizobium	Stool	#b2f396	2	3.0	16.0	#2adddd	#ff2f18
Slackia	Throat	#ff5029	4	4.0	8.0	#62fbc4	#70febc
Sneathia	Posterior_fornix	#4df3ce	3	7.0	15.0	#ffa558	#ff5c2f
Solobacterium	Tongue_dorsum	#ff0000	23	5.0	0.0	#9bfba5	#8000ff
Sphingobacterium	Anterior_nares	#8000ff	3	4.0	1.0	#62fbc4	#622ffe
Sphingobium	Mid_vagina	#18cde4	7	2.0	9.0	#10a2f0	#8efeac
Sphingomonas	Anterior_nares	#8000ff	6	2.0	9.0	#10a2f0	#8efeac
Stenotrophomonas	Anterior_nares	#8000ff	6	6.0	11.0	#d4dd80	#cbe486
Stomatobaculum	Saliva	#7effb5	22	5.0	4.0	#9bfba5	#08acee
