	source	target	weight	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor
54	Pasteurellales	Bacteroidales	0.000537489922064	Buccal_mucosa	Stool	Intertype	#1996f3	#b2f396	#cccccc
55	Bacteroidales	Pasteurellales	0.000537489922064	Stool	Buccal_mucosa	Intertype	#b2f396	#1996f3	#cccccc
56	Pasteurellales	Burkholderiales	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
57	Burkholderiales	Pasteurellales	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
58	Pasteurellales	Flavobacteriales	0.000268744961032	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc
59	Flavobacteriales	Pasteurellales	0.000268744961032	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc
60	Pasteurellales	Lactobacillales	0.000806234883096	Buccal_mucosa	Posterior_fornix	Intertype	#1996f3	#4df3ce	#cccccc
61	Lactobacillales	Pasteurellales	0.000806234883096	Posterior_fornix	Buccal_mucosa	Intertype	#4df3ce	#1996f3	#cccccc
62	Pasteurellales	Micrococcales	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
63	Micrococcales	Pasteurellales	0.000806234883096	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3
64	Propionibacteriales	Bacillales	0.000268744961032	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc
65	Bacillales	Propionibacteriales	0.000268744961032	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc
66	Propionibacteriales	Corynebacteriales	0.000268744961032	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
67	Corynebacteriales	Propionibacteriales	0.000268744961032	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
68	Spirochaetales	Actinomycetales	0.000268744961032	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
69	Actinomycetales	Spirochaetales	0.000268744961032	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
70	Spirochaetales	Bacteroidales	0.000268744961032	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc
71	Bacteroidales	Spirochaetales	0.000268744961032	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc
72	Spirochaetales	Corynebacteriales	0.000537489922064	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc
73	Corynebacteriales	Spirochaetales	0.000537489922064	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc
74	Spirochaetales	Micrococcales	0.000268744961032	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc
75	Micrococcales	Spirochaetales	0.000268744961032	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc
76	Tissierellales	Corynebacteriales	0.000268744961032	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc
77	Corynebacteriales	Tissierellales	0.000268744961032	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc
78	Veillonellales	Actinomycetales	0.000268744961032	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc
79	Actinomycetales	Veillonellales	0.000268744961032	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc
80	Veillonellales	Bacillales	0.000537489922064	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
81	Bacillales	Veillonellales	0.000537489922064	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
82	Veillonellales	Bacteroidales	0.00107497984413	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
83	Bacteroidales	Veillonellales	0.00107497984413	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
84	Veillonellales	Clostridiales	0.000268744961032	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc
85	Clostridiales	Veillonellales	0.000268744961032	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc
86	Veillonellales	Lactobacillales	0.000806234883096	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc
87	Lactobacillales	Veillonellales	0.000806234883096	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc
88	Veillonellales	Micrococcales	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
89	Micrococcales	Veillonellales	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
90	Veillonellales	Neisseriales	0.000537489922064	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc
91	Neisseriales	Veillonellales	0.000537489922064	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc
92	Veillonellales	Pasteurellales	0.000268744961032	Tongue_dorsum	Buccal_mucosa	Intertype	#ff0000	#1996f3	#cccccc
93	Pasteurellales	Veillonellales	0.000268744961032	Buccal_mucosa	Tongue_dorsum	Intertype	#1996f3	#ff0000	#cccccc
