TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Lachnospiraceae bacterium A4	Stool	#ded579	1	4.0	1.0	#ff0000	#425ffa
Mobiluncus curtisii	Posterior_fornix	#7effb5	11	4.0	1.0	#ff0000	#425ffa
Bacteroides dorei	Stool	#ded579	6	4.0	1.0	#ff0000	#425ffa
Neisseria sp. 83E34	R_Retroauricular_crease	#9efaa2	5	4.0	1.0	#ff0000	#425ffa
Bacteroides sp. D20	Stool	#ded579	1	2.0	0.0	#7effb5	#8000ff
Fusobacterium equinum	Attached	#622ffe	5	2.0	2.0	#7effb5	#01b3ec
[Clostridium] innocuum	Stool	#ded579	2	2.0	6.0	#7effb5	#feb562
Actinomyces sp. SD1	L_Retroauricular_crease	#1fd3e1	2	1.0	1.0	#01b3ec	#425ffa
Cryptobacterium curtum	Saliva	#beec8e	7	2.0	2.0	#7effb5	#01b3ec
Mycoplasma ovipneumoniae	Buccal_mucosa	#425ffa	1	0.0	1.0	#8000ff	#425ffa
Parascardovia denticolens	Anterior_nares	#8000ff	1	1.0	1.0	#01b3ec	#425ffa
Prevotella sp. BV3P1	Palatine_Tonsils	#5efac6	2	2.0	2.0	#7effb5	#01b3ec
Lactobacillus plantarum	Anterior_nares	#8000ff	2	3.0	8.0	#feb562	#ff0000
