source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps	spect_cluster	commun_cluster	spect_color	comm_color
Atopobiaceae	29	Atopobiaceae	Erysipelotrichaceae	4.0	24	41	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	61	16.0	6.0	#ff0000	#d4dd80
Erysipelotrichaceae	30	Erysipelotrichaceae	Clostridiales Family XIII. Incertae Sedis	5.0	41	27	Throat	Tongue_dorsum	Intertype	#ff5029	#ff0000	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Clostridiales Family XIII. Incertae Sedis	31	Clostridiales Family XIII. Incertae Sedis	Erysipelotrichaceae	5.0	27	41	Tongue_dorsum	Throat	Intertype	#ff0000	#ff5029	#cccccc	61	11.0	6.0	#ded579	#d4dd80
Erythrobacteraceae	32	Erythrobacteraceae	Carnobacteriaceae	2.0	13	36	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	61	15.0	1.0	#ff3219	#4856fb
Carnobacteriaceae	33	Carnobacteriaceae	Erythrobacteraceae	2.0	36	13	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	61	15.0	1.0	#ff3219	#4856fb
Erythrobacteraceae	34	Erythrobacteraceae	Cellvibrionaceae	1.0	13	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	15.0	1.0	#ff3219	#4856fb
Cellvibrionaceae	35	Cellvibrionaceae	Erythrobacteraceae	1.0	1	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	61	15.0	1.0	#ff3219	#4856fb
Eubacteriaceae	36	Eubacteriaceae	Eggerthellaceae	7.0	41	19	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	6.0	2.0	#3febd5	#10a2f0
Eggerthellaceae	37	Eggerthellaceae	Eubacteriaceae	7.0	19	41	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61	6.0	2.0	#3febd5	#10a2f0
Flavobacteriaceae	38	Flavobacteriaceae	Actinomycetaceae	6.0	35	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Actinomycetaceae	39	Actinomycetaceae	Flavobacteriaceae	6.0	44	35	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Flavobacteriaceae	40	Flavobacteriaceae	Campylobacteraceae	8.0	35	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Campylobacteraceae	41	Campylobacteraceae	Flavobacteriaceae	8.0	37	35	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61	11.0	1.0	#ded579	#4856fb
Flavobacteriaceae	42	Flavobacteriaceae	Erythrobacteraceae	3.0	35	13	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	61	11.0	1.0	#ded579	#4856fb
Erythrobacteraceae	43	Erythrobacteraceae	Flavobacteriaceae	3.0	13	35	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	61	15.0	1.0	#ff3219	#4856fb
Fusobacteriaceae	44	Fusobacteriaceae	Aerococcaceae	4.0	29	33	Tongue_dorsum	Posterior_fornix	Intertype	#ff0000	#4df3ce	#cccccc	61	5.0	2.0	#1fd3e1	#10a2f0
Aerococcaceae	45	Aerococcaceae	Fusobacteriaceae	4.0	33	29	Posterior_fornix	Tongue_dorsum	Intertype	#4df3ce	#ff0000	#cccccc	61	5.0	2.0	#1fd3e1	#10a2f0
Fusobacteriaceae	46	Fusobacteriaceae	Cellulomonadaceae	4.0	29	6	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	61	5.0	2.0	#1fd3e1	#10a2f0
Cellulomonadaceae	47	Cellulomonadaceae	Fusobacteriaceae	4.0	6	29	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	61	10.0	2.0	#beec8e	#10a2f0
Geodermatophilaceae	48	Geodermatophilaceae	Alcaligenaceae	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	61	0.0	4.0	#8000ff	#62fbc4
