source	Unnamed: 0	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcales	0	Acidaminococcales	Acholeplasmatales	2.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Acholeplasmatales	1	Acholeplasmatales	Acidaminococcales	2.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Alteromonadales	2	Alteromonadales	Actinomycetales	1.0	8	44	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5.0	2.0	#ff8143	#7effb5
Actinomycetales	3	Actinomycetales	Alteromonadales	1.0	44	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacillales	4	Bacillales	Actinomycetales	4.0	53	44	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	5	Actinomycetales	Bacillales	4.0	44	53	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacteroidales	6	Bacteroidales	Acholeplasmatales	2.0	60	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Acholeplasmatales	7	Acholeplasmatales	Bacteroidales	2.0	3	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	8	Bacteroidales	Acidaminococcales	4.0	60	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Acidaminococcales	9	Acidaminococcales	Bacteroidales	4.0	7	60	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#2c7ef7	#8000ff
Bacteroidales	10	Bacteroidales	Actinomycetales	7.0	60	44	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Actinomycetales	11	Actinomycetales	Bacteroidales	7.0	44	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	1.0	1.0	#2c7ef7	#01b3ec
Bacteroidales	12	Bacteroidales	Bacillales	4.0	60	53	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Bacillales	13	Bacillales	Bacteroidales	4.0	53	60	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Burkholderiales	14	Burkholderiales	Acidaminococcales	1.0	54	7	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	6.0	1.0	#ff0000	#01b3ec
Acidaminococcales	15	Acidaminococcales	Burkholderiales	1.0	7	54	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	1.0	0.0	#2c7ef7	#8000ff
Burkholderiales	16	Burkholderiales	Actinomycetales	2.0	54	44	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	6.0	1.0	#ff0000	#01b3ec
