TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Microvirga	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Mitsuokella	Saliva	#7effb5	1	15.0	16.0	#60fac5	#99fca6
Mobiluncus	Posterior_fornix	#4df3ce	2	18.0	11.0	#8efeac	#40ecd4
Modestobacter	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Mogibacterium	Throat	#ff5029	9	10.0	17.0	#17cbe4	#abf69b
Moraxella	Anterior_nares	#8000ff	5	13.0	22.0	#42edd3	#ffb05f
Necropsobacter	Buccal_mucosa	#1996f3	3	7.0	3.0	#1898f2	#4c50fc
Nocardia	Mid_vagina	#18cde4	3	33.0	14.0	#ff190d	#76ffb9
Nosocomiicoccus	Posterior_fornix	#4df3ce	1	23.0	4.0	#d9da7d	#396bf9
Novosphingobium	Throat	#ff5029	1	0.0	5.0	#8000ff	#2981f6
Odoribacter	Stool	#b2f396	20	3.0	1.0	#5444fd	#7019ff
Paenibacillus	Anterior_nares	#8000ff	1	33.0	14.0	#ff190d	#76ffb9
Parabacteroides	Stool	#b2f396	26	4.0	24.0	#445cfb	#ff8444
Paracoccus	Anterior_nares	#8000ff	7	8.0	23.0	#08acee	#ff9b52
Paraprevotella	Stool	#b2f396	27	30.0	7.0	#ff5c2f	#06aeed
Parasutterella	Stool	#b2f396	10	18.0	26.0	#8efeac	#ff532a
Parvimonas	Throat	#ff5029	19	10.0	17.0	#17cbe4	#abf69b
Pasteurella	Buccal_mucosa	#1996f3	14	7.0	3.0	#1898f2	#4c50fc
Pectobacterium	Saliva	#7effb5	1	15.0	16.0	#60fac5	#99fca6
Pedobacter	Anterior_nares	#8000ff	2	32.0	6.0	#ff2f18	#1898f2
Peptoniphilus	Anterior_nares	#8000ff	28	8.0	23.0	#08acee	#ff9b52
Peptostreptococcus	Throat	#ff5029	24	18.0	17.0	#8efeac	#abf69b
Phascolarctobacterium	Stool	#b2f396	6	18.0	26.0	#8efeac	#ff532a
Photobacterium	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Propionibacterium	Anterior_nares	#8000ff	36	16.0	2.0	#70febc	#5e35fe
Proteiniphilum	Buccal_mucosa	#1996f3	1	7.0	3.0	#1898f2	#4c50fc
Pseudoflavonifractor	Stool	#b2f396	11	27.0	0.0	#ff9b52	#8000ff
Pseudomonas	Mid_vagina	#18cde4	16	33.0	14.0	#ff190d	#76ffb9
Psychrobacter	Saliva	#7effb5	5	15.0	16.0	#60fac5	#99fca6
Rheinheimera	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Rhodopseudomonas	Posterior_fornix	#4df3ce	1	33.0	14.0	#ff190d	#76ffb9
Rikenella	Stool	#b2f396	6	12.0	1.0	#34e4d9	#7019ff
Risungbinella	Anterior_nares	#8000ff	1	18.0	10.0	#8efeac	#2fe0db
Roseburia	Stool	#b2f396	23	21.0	0.0	#bbee91	#8000ff
Ruminiclostridium	Stool	#b2f396	18	19.0	20.0	#9cfba4	#ded579
Ruminococcus	Stool	#b2f396	26	11.0	28.0	#24d8df	#ff1c0e
Salmonella	Anterior_nares	#8000ff	6	25.0	2.0	#f6be68	#5e35fe
Sanguibacter	Saliva	#7effb5	16	32.0	19.0	#ff2f18	#cee184
Sanguibacteroides	Stool	#b2f396	2	18.0	26.0	#8efeac	#ff532a
Senegalimassilia	Stool	#b2f396	2	3.0	1.0	#5444fd	#7019ff
Serratia	Saliva	#7effb5	2	15.0	16.0	#60fac5	#99fca6
Shuttleworthia	Subgingival_plaque	#e4cf74	3	18.0	10.0	#8efeac	#2fe0db
Simonsiella	Attached	#4e4dfc	8	26.0	9.0	#ffac5c	#1fd3e1
Sinorhizobium	Stool	#b2f396	2	30.0	7.0	#ff5c2f	#06aeed
Sneathia	Posterior_fornix	#4df3ce	3	18.0	11.0	#8efeac	#40ecd4
Solobacterium	Tongue_dorsum	#ff0000	24	4.0	25.0	#445cfb	#ff6d38
Sphingobacterium	Anterior_nares	#8000ff	3	8.0	23.0	#08acee	#ff9b52
