TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Agrobacterium larrymoorei	R_Retroauricular_crease	#acf59a	1	1.0	1.0	#2c7ef7	#4856fb
Caldimonas manganoxidans	R_Retroauricular_crease	#acf59a	1	5.0	1.0	#ff8143	#4856fb
Clostridiales bacterium SIT13	L_Retroauricular_crease	#34e4d9	1	5.0	1.0	#ff8143	#4856fb
Carnobacterium sp. 1290_CSPC	Anterior_nares	#8000ff	3	5.0	2.0	#ff8143	#10a2f0
Alcanivorax pacificus	Anterior_nares	#8000ff	1	5.0	3.0	#ff8143	#2adddd
Burkholderia diffusa	Anterior_nares	#8000ff	1	2.0	1.0	#2adddd	#4856fb
Comamonas sp. E6	Anterior_nares	#8000ff	1	2.0	1.0	#2adddd	#4856fb
Burkholderia cepacia	Posterior_fornix	#8efeac	2	2.0	1.0	#2adddd	#4856fb
Comamonas granuli	Anterior_nares	#8000ff	4	5.0	3.0	#ff8143	#2adddd
Aquabacterium sp. NJ1	Anterior_nares	#8000ff	1	1.0	1.0	#2c7ef7	#4856fb
Chlorogloeopsis fritschii	Anterior_nares	#8000ff	1	5.0	2.0	#ff8143	#10a2f0
Carnobacterium sp. WN1374	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#2c7ef7	#4856fb
Chelatococcus sambhunathii	Anterior_nares	#8000ff	1	5.0	3.0	#ff8143	#2adddd
Corynebacterium marinum	Anterior_nares	#8000ff	1	5.0	3.0	#ff8143	#2adddd
Aureimonas altamirensis	R_Retroauricular_crease	#acf59a	10	1.0	3.0	#2c7ef7	#2adddd
Bradyrhizobium sp. URHA0002	Anterior_nares	#8000ff	4	1.0	1.0	#2c7ef7	#4856fb
Brevundimonas sp. KM4	R_Retroauricular_crease	#acf59a	4	6.0	1.0	#ff0000	#4856fb
Bacillus flexus	L_Retroauricular_crease	#34e4d9	2	6.0	1.0	#ff0000	#4856fb
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	18	5.0	2.0	#ff8143	#10a2f0
Actinobacillus pleuropneumoniae	Buccal_mucosa_NA	#2686f5	1	1.0	1.0	#2c7ef7	#4856fb
Chryseobacterium hispalense	R_Retroauricular_crease	#acf59a	1	1.0	1.0	#2c7ef7	#4856fb
Dermacoccus nishinomiyaensis	Anterior_nares	#8000ff	1	5.0	2.0	#ff8143	#10a2f0
