TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Corynebacterium vitaeruminis	Throat	#ff5c2f	2	7.0	2.0	#c4e88a	#1996f3
Cryptobacterium curtum	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Dialister invisus	Stool	#e8cb72	2	7.0	2.0	#c4e88a	#1996f3
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Eikenella corrodens	Subgingival_plaque	#ffac5c	4	3.0	4.0	#0ac0e8	#4df3ce
Eubacterium brachy	Palatine_Tonsils	#70febc	2	7.0	2.0	#c4e88a	#1996f3
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Filifactor alocis	Palatine_Tonsils	#70febc	2	7.0	2.0	#c4e88a	#1996f3
Fusobacterium equinum	Attached	#622ffe	2	6.0	9.0	#96fca7	#ff5029
Fusobacterium mortiferum	Buccal_mucosa	#445cfb	2	4.0	4.0	#38e7d7	#4df3ce
Fusobacterium necrophorum	Palatine_Tonsils	#70febc	4	1.0	4.0	#5247fc	#4df3ce
Fusobacterium periodonticum	Throat	#ff5c2f	6	8.0	0.0	#f2c26b	#8000ff
Fusobacterium russii	Attached	#622ffe	4	1.0	4.0	#5247fc	#4df3ce
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	2	7.0	2.0	#c4e88a	#1996f3
Fusobacterium sp. OBRC1	Throat	#ff5c2f	6	9.0	4.0	#ff8c49	#4df3ce
Fusobacterium varium	Attached	#622ffe	2	4.0	4.0	#38e7d7	#4df3ce
Gallibacterium anatis	Keratinized_gingiva	#17cbe4	2	10.0	1.0	#ff4a26	#4e4dfc
Gemella bergeri	Keratinized_gingiva	#17cbe4	6	1.0	4.0	#5247fc	#4df3ce
Gemella haemolysans	Buccal_mucosa	#445cfb	10	2.0	0.0	#2489f5	#8000ff
Gemella morbillorum	Attached	#622ffe	10	8.0	0.0	#f2c26b	#8000ff
Gemella sanguinis	Tongue_dorsum	#ff2f18	10	2.0	0.0	#2489f5	#8000ff
Geobacillus stearothermophilus	Attached	#622ffe	2	5.0	3.0	#66fcc2	#18cde4
Granulicatella elegans	Keratinized_gingiva	#17cbe4	10	2.0	0.0	#2489f5	#8000ff
Haemophilus haemolyticus	Keratinized_gingiva	#17cbe4	10	2.0	0.0	#2489f5	#8000ff
Haemophilus influenzae	Attached	#622ffe	10	11.0	0.0	#ff0000	#8000ff
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	6	9.0	4.0	#ff8c49	#4df3ce
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	10	0.0	4.0	#8000ff	#4df3ce
Haemophilus sp. oral taxon 851	Keratinized_gingiva	#17cbe4	8	11.0	0.0	#ff0000	#8000ff
Haemophilus sputorum	Saliva	#cbe486	10	2.0	0.0	#2489f5	#8000ff
Hallella seregens	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Helcococcus kunzii	Attached	#622ffe	2	5.0	3.0	#66fcc2	#18cde4
Histophilus somni	Buccal_mucosa	#445cfb	2	5.0	3.0	#66fcc2	#18cde4
Isoptericola variabilis	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Kingella denitrificans	Supragingival_plaque	#ff8646	2	10.0	1.0	#ff4a26	#4e4dfc
Kingella kingae	Keratinized_gingiva	#17cbe4	2	10.0	1.0	#ff4a26	#4e4dfc
Kingella oralis	Supragingival_plaque	#ff8646	4	0.0	4.0	#8000ff	#4df3ce
Kingella sp. Sch538	Keratinized_gingiva	#17cbe4	6	9.0	4.0	#ff8c49	#4df3ce
Kytococcus sedentarius	Throat	#ff5c2f	2	7.0	2.0	#c4e88a	#1996f3
Lachnoanaerobaculum saburreum	Attached	#622ffe	6	7.0	2.0	#c4e88a	#1996f3
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Lachnoanaerobaculum sp. OBRC5-5	Tongue_dorsum	#ff2f18	2	11.0	5.0	#ff0000	#7effb5
Lachnospiraceae bacterium 28-4	Attached	#622ffe	2	7.0	2.0	#c4e88a	#1996f3
Lachnospiraceae bacterium oral taxon 082	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Lachnospiraceae bacterium oral taxon 500	Supragingival_plaque	#ff8646	2	7.0	2.0	#c4e88a	#1996f3
Lactobacillus floricola	Attached	#622ffe	2	5.0	3.0	#66fcc2	#18cde4
Lactobacillus kunkeei	Attached	#622ffe	2	5.0	3.0	#66fcc2	#18cde4
Lactococcus lactis	Anterior_nares	#8000ff	2	10.0	1.0	#ff4a26	#4e4dfc
Lautropia mirabilis	Supragingival_plaque	#ff8646	4	10.0	1.0	#ff4a26	#4e4dfc
Leptotrichia buccalis	Supragingival_plaque	#ff8646	3	7.0	2.0	#c4e88a	#1996f3
Leptotrichia goodfellowii	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Leptotrichia hofstadii	Supragingival_plaque	#ff8646	4	8.0	0.0	#f2c26b	#8000ff
Leptotrichia sp. oral taxon 212	Supragingival_plaque	#ff8646	6	8.0	0.0	#f2c26b	#8000ff
Leptotrichia sp. oral taxon 215	Throat	#ff5c2f	8	7.0	2.0	#c4e88a	#1996f3
Leptotrichia sp. oral taxon 225	Supragingival_plaque	#ff8646	2	6.0	8.0	#96fca7	#ff964f
Leptotrichia sp. oral taxon 879	Subgingival_plaque	#ffac5c	4	7.0	2.0	#c4e88a	#1996f3
Leptotrichia trevisanii	Palatine_Tonsils	#70febc	4	8.0	0.0	#f2c26b	#8000ff
Leptotrichia wadei	Tongue_dorsum	#ff2f18	8	8.0	0.0	#f2c26b	#8000ff
Megasphaera micronuciformis	Saliva	#cbe486	4	7.0	2.0	#c4e88a	#1996f3
Megasphaera sp. UPII 135-E	L_Retroauricular_crease	#34e4d9	2	4.0	4.0	#38e7d7	#4df3ce
Mogibacterium sp. CM50	Subgingival_plaque	#ffac5c	2	6.0	7.0	#96fca7	#e4cf74
Morococcus cerebrosus	Palatine_Tonsils	#70febc	2	10.0	1.0	#ff4a26	#4e4dfc
Mycoplasma hyosynoviae	Attached	#622ffe	2	5.0	3.0	#66fcc2	#18cde4
Mycoplasma salivarium	Subgingival_plaque	#ffac5c	2	11.0	5.0	#ff0000	#7effb5
Neisseria cinerea	Keratinized_gingiva	#17cbe4	8	9.0	4.0	#ff8c49	#4df3ce
Neisseria elongata	Supragingival_plaque	#ff8646	2	10.0	1.0	#ff4a26	#4e4dfc
Neisseria macacae	Saliva	#cbe486	2	10.0	1.0	#ff4a26	#4e4dfc
Neisseria meningitidis	Throat	#ff5c2f	10	9.0	4.0	#ff8c49	#4df3ce
Neisseria mucosa	Throat	#ff5c2f	2	10.0	1.0	#ff4a26	#4e4dfc
Neisseria sicca	Buccal_mucosa	#445cfb	7	2.0	0.0	#2489f5	#8000ff
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	2	10.0	1.0	#ff4a26	#4e4dfc
Neisseria sp. HMSC06F02	Saliva	#cbe486	2	10.0	1.0	#ff4a26	#4e4dfc
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	6	1.0	4.0	#5247fc	#4df3ce
Oribacterium asaccharolyticum	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Oribacterium parvum	Throat	#ff5c2f	3	7.0	2.0	#c4e88a	#1996f3
Oribacterium sinus	Throat	#ff5c2f	3	7.0	2.0	#c4e88a	#1996f3
Oribacterium sp. oral taxon 078	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Oribacterium sp. oral taxon 108	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Ottowia sp. oral taxon 894	Supragingival_plaque	#ff8646	2	10.0	1.0	#ff4a26	#4e4dfc
Parabacteroides merdae	Stool	#e8cb72	2	10.0	1.0	#ff4a26	#4e4dfc
Paracoccus versutus	Buccal_mucosa	#445cfb	2	10.0	1.0	#ff4a26	#4e4dfc
