	Holdouts
0	1101
1	250
2	1582
3	1528
4	335
5	790
6	485
7	1041
8	1654
9	1279
10	1355
11	1568
12	44
13	190
14	422
15	72
16	177
17	818
18	1237
19	1473
20	88
21	1584
22	1020
23	956
24	1498
25	1589
26	1211
27	1166
28	1323
29	1163
30	1590
31	1133
32	123
33	703
34	195
35	966
36	661
37	589
38	976
39	813
40	610
41	1492
42	15
43	1154
44	1320
45	521
46	22
47	209
48	538
49	1545
50	688
51	1026
52	1097
53	1581
54	545
55	46
56	1284
57	853
58	813
59	196
60	357
61	1019
62	1650
63	1319
64	1416
65	294
66	1372
67	988
68	1236
69	378
70	1525
71	1097
72	875
73	1047
74	1646
75	1302
76	954
77	140
78	788
79	1520
80	845
81	1479
82	643
83	1130
84	1114
85	24
86	500
87	580
88	123
89	1164
90	903
91	1217
92	793
93	1652
94	134
95	1197
96	501
97	1387
98	1457
99	1562
