	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	[Haemophilus] ducreyi	[Actinobacillus] muris	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
1	[Actinobacillus] muris	[Haemophilus] ducreyi	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
2	[Mannheimia] succiniciproducens	[Actinobacillus] muris	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
3	[Actinobacillus] muris	[Mannheimia] succiniciproducens	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
4	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
5	[Haemophilus] ducreyi	[Mannheimia] succiniciproducens	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
6	Acidovorax ebreus	Acidovorax delafieldii	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
7	Acidovorax delafieldii	Acidovorax ebreus	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
8	Acidovorax sp. JS42	Acidovorax delafieldii	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
9	Acidovorax delafieldii	Acidovorax sp. JS42	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
10	Acidovorax sp. JS42	Acidovorax ebreus	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
11	Acidovorax ebreus	Acidovorax sp. JS42	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
12	Actinobacillus pleuropneumoniae	[Actinobacillus] muris	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
13	[Actinobacillus] muris	Actinobacillus pleuropneumoniae	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
14	Actinobacillus pleuropneumoniae	[Haemophilus] ducreyi	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
15	[Haemophilus] ducreyi	Actinobacillus pleuropneumoniae	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
16	Actinobacillus pleuropneumoniae	[Mannheimia] succiniciproducens	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
17	[Mannheimia] succiniciproducens	Actinobacillus pleuropneumoniae	2.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	8
18	Actinomyces dentalis	Acidovorax delafieldii	1.0	3	1	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
19	Acidovorax delafieldii	Actinomyces dentalis	1.0	1	3	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
20	Actinomyces dentalis	Acidovorax ebreus	1.0	3	1	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
21	Acidovorax ebreus	Actinomyces dentalis	1.0	1	3	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
22	Actinomyces dentalis	Acidovorax sp. JS42	1.0	3	1	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
23	Acidovorax sp. JS42	Actinomyces dentalis	1.0	1	3	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
24	Actinomyces johnsonii	Actinobacillus minor	4.0	7	6	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
25	Actinobacillus minor	Actinomyces johnsonii	4.0	6	7	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
