	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
37	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. Root9	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
38	Pseudomonas sp. Root9	Pseudomonas sp. FH1	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
39	Pseudomonas sp. FH1	Pseudomonas sp. Root9	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
40	Pseudomonas sp. Root9	Pseudomonas sp. NBRC 111132	2.0	2	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
41	Pseudomonas sp. NBRC 111132	Pseudomonas sp. Root9	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
42	Sphingobium yanoikuyae	Pseudomonas fluorescens	2.0	2	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
43	Pseudomonas fluorescens	Sphingobium yanoikuyae	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
44	Sphingobium yanoikuyae	Pseudomonas sp. Ag1	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
45	Pseudomonas sp. Ag1	Sphingobium yanoikuyae	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
46	Sphingobium yanoikuyae	Pseudomonas sp. Eur1 9.41	2.0	2	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
47	Pseudomonas sp. Eur1 9.41	Sphingobium yanoikuyae	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
48	Sphingobium yanoikuyae	Pseudomonas sp. FH1	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
49	Pseudomonas sp. FH1	Sphingobium yanoikuyae	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
50	Sphingobium yanoikuyae	Pseudomonas sp. NBRC 111132	2.0	2	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
51	Pseudomonas sp. NBRC 111132	Sphingobium yanoikuyae	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
52	Sphingobium yanoikuyae	Pseudomonas sp. Root9	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
53	Pseudomonas sp. Root9	Sphingobium yanoikuyae	2.0	2	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
