	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
52	Capnocytophaga sp. oral taxon 323	Actinomyces massiliensis	5.0	7	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
53	Actinomyces massiliensis	Capnocytophaga sp. oral taxon 323	5.0	8	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
54	Capnocytophaga sp. oral taxon 323	Actinomyces sp. oral taxon 849	5.0	7	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
55	Actinomyces sp. oral taxon 849	Capnocytophaga sp. oral taxon 323	5.0	8	7	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
56	Capnocytophaga sp. oral taxon 323	Campylobacter gracilis	6.0	7	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
57	Campylobacter gracilis	Capnocytophaga sp. oral taxon 323	6.0	8	7	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
58	Capnocytophaga sp. oral taxon 324	Actinomyces massiliensis	5.0	6	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
59	Actinomyces massiliensis	Capnocytophaga sp. oral taxon 324	5.0	8	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
60	Capnocytophaga sp. oral taxon 324	Actinomyces sp. oral taxon 178	3.0	6	4	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
61	Actinomyces sp. oral taxon 178	Capnocytophaga sp. oral taxon 324	3.0	4	6	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
62	Capnocytophaga sp. oral taxon 324	Anaeroglobus geminatus	4.0	6	4	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	8
