TAXA	Abiotrophia	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Alistipes	Alloprevotella	Anaeroglobus	Atopobium	Avibacterium	Bacteroides	Bifidobacterium	Blautia	Brochothrix	Bulleidia	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Centipeda	Chryseobacterium	Clostridium	Corynebacterium	Cryptobacterium	Dialister	Eggerthia	Eikenella	Escherichia	Eubacterium	Faecalibacterium	Filifactor	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Granulicatella	Haemophilus	Hallella	Isoptericola	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Leuconostoc	Mannheimia	Megasphaera	Mitsuokella	Mobiluncus	Morococcus	Mycoplasma	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Pasteurella	Pectobacterium	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Sanguibacter	Scardovia	Selenomonas	Serratia	Simonsiella	Slackia	Solobacterium	Stomatobaculum	Tannerella	Treponema	Trueperella	Veillonella	Vibrio	Xenorhabdus	Xylanimonas
Abiotrophia	0.0	0.8518895280323658	0.9571304507655977	0.0	0.0	0.8995488394033175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.857556411190167	0.0	0.0	0.0	0.0	0.8159569869856776	0.0	0.0	0.0	0.0	0.0	0.8288789289037879	0.0	0.8528750601049073	0.0	0.0	0.0	0.8159569869856776	0.0	0.0	0.8302697708338572	0.9489691085402377	0.0	0.0	0.8644655876337408	0.0	0.0	0.0	0.0	0.0	0.8456401201380046	0.0	0.0	0.0	0.0	0.0	0.0	0.94304145478121	0.0	0.9339875868124762	0.0	0.0	0.0	0.0	0.0	0.0	0.9202131394448969	0.8750148932099417	0.9254512495791092	0.0	0.9561144069429741	0.0	0.0	0.8620528951696638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9244248384245967	0.0	0.0	0.0	0.0	0.911950241499077	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.8518895280323658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8154797605590246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8182286168902122	0.0	0.0	0.0	0.8212073334045125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8622386598984535	0.0	0.0	0.0	0.0	0.8504396120346227	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.9571304507655977	0.0	0.0	0.0	0.0	0.9689538042264624	0.8546547739343034	0.0	0.0	0.0	0.0	0.8776626784752379	0.0	0.0	0.0	0.0	0.0	0.0	0.8722754346054833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8358643439703074	0.850690843762161	0.0	0.0	0.0	0.0	0.0	0.9369781102555358	0.9992960316583686	0.8000000000000003	0.0	0.8947251276869959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9065968278232488	0.0	0.8874318376225171	0.0	0.0	0.0	0.8000000000000003	0.0	0.8739125530383434	0.9550718099505199	0.0	0.9503288904374104	0.0	0.9359367786508259	0.0	0.0	0.8381163549234937	0.0	0.0	0.0	0.0	0.0	0.0	0.8664002254439633	0.0	0.8356578380810946	0.0	0.0	0.0	0.0	0.9139136469460648	0.0	0.0	0.0	0.0	0.8543185405582149	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9954990938494453	0.8458991625399573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9863537589976235	0.0	0.0	0.0	0.9139829860157396	0.0	0.0	0.0	0.0	0.0	0.9729830783318838	0.0	0.9139662365689195	0.0	0.0	0.0	0.9139829860157396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9038691988284847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8902444176509212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9143769660172257	0.9741624306768151	0.0	0.977383718262604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9446027841819241	0.8342930256192089	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9853772848652385	0.0	0.0	0.919280269851249	0.0	0.9180154634903436	0.0	0.0	0.0	0.0	0.0	0.9378323887498308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.919280269851249	0.0	0.0	0.0	0.0	0.0	0.919280269851249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8183422718130187	0.9297532292792441	0.8128402511533104	0.0	0.0	0.0	0.919280269851249	0.0	0.0	0.919280269851249	0.919280269851249	0.0	0.0	0.0	0.0	0.9042162962932944	0.8553730124930038	0.0	0.0	0.0	0.0	0.0	0.0	0.8737508631336919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9176780012256487	0.919280269851249	0.0	0.0	0.8325779542332412	0.0	0.9684788511787913	0.0	0.8586129268982603	0.919280269851249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8822757426526624
Aggregatibacter	0.8995488394033175	0.0	0.9689538042264624	0.0	0.0	0.0	0.9386931234827084	0.0	0.0	0.0	0.0	0.9576151032205589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9388673175109745	0.0	0.0	0.0	0.0	0.0	0.9503861906633992	0.9767425826075222	0.883928134376845	0.0	0.8655066454461935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8764345497595115	0.0	0.0	0.8672299758820802	0.0	0.0	0.883928134376845	0.0	0.9612920232915761	0.8703732331309968	0.0	0.9689652607649988	0.0	0.8746431404100634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9552707685395714	0.0	0.9222119483054634	0.0	0.0	0.0	0.0	0.844092870892603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.8546547739343034	0.0	0.0	0.9386931234827084	0.0	0.0	0.0	0.0	0.0	0.9863309487514484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8106434833777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8790560714216806	0.0	0.0	0.0	0.0	0.0	0.8291868048451689	0.8691163347108048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9652341781316802	0.0	0.0	0.0	0.0	0.9802977652851276	0.0	0.0	0.9100315103865798	0.0	0.0	0.8352558796330151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9178132823527934	0.0	0.8672415951255463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.9954990938494453	0.0	0.0	0.0	0.0	0.8668377212529084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.971450106298732	0.0	0.0	0.0	0.9177714418893741	0.0	0.0	0.0	0.0	0.0	0.9626100547261414	0.0	0.8871861095750903	0.0	0.0	0.0	0.9177714418893741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8773156758334727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8696736210189224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.909742796613649	0.9566173195735208	0.0	0.9814955419509761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9254797279460784	0.0	0.0	0.0	0.0	0.0	0.0
Anaeroglobus	0.0	0.0	0.0	0.8458991625399573	0.0	0.0	0.0	0.8668377212529084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8028905999758633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8784344506890289	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.0	0.9853772848652385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.900812018713448	0.0	0.9004174736830406	0.0	0.0	0.0	0.0	0.0	0.9630307061137261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.900812018713448	0.0	0.0	0.0	0.0	0.0	0.900812018713448	0.0	0.0	0.0	0.0	0.8105293383811408	0.0	0.0	0.8856536452163875	0.964057087805451	0.0	0.0	0.0	0.0	0.900812018713448	0.0	0.0	0.900812018713448	0.900812018713448	0.0	0.0	0.0	0.0	0.8799409532251488	0.8838283999210499	0.0	0.0	0.0	0.0	0.0	0.0	0.8569685069097838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9002501232317781	0.900812018713448	0.0	0.0	0.0	0.0	0.970525628622235	0.0	0.896560607398556	0.900812018713448	0.0	0.0	0.0	0.8236207291398104	0.0	0.0	0.0	0.0	0.0	0.0	0.9181352682922662
