TAXA	Abiotrophia	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Akkermansia	Alistipes	Alloprevotella	Anaeroglobus	Atopobium	Bacteroides	Barnesiella	Brochothrix	Bulleidia	Butyricimonas	Campylobacter	Capnocytophaga	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chlamydia	Clostridium	Corynebacterium	Dialister	Eggerthia	Eikenella	Eubacterium	Faecalibacterium	Filifactor	Finegoldia	Fusobacterium	Gemella	Gordonibacter	Granulicatella	Haemophilus	Isoptericola	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lactococcus	Lautropia	Leptotrichia	Leuconostoc	Mannheimia	Megasphaera	Mogibacterium	Morococcus	Mycoplasma	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Parabacteroides	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Pseudomonas	Pseudoramibacter	Psychrobacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Selenomonas	Simonsiella	Slackia	Solobacterium	Stomatobaculum	Sutterella	Tannerella	Treponema	Trueperella	Varibaculum	Veillonella	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.904944313169347	0.953554889833837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9423424553930126	0.0	0.9162420128538113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8041943476478624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9063500381548117	0.9680415399049631	0.0	0.0	0.0	0.9596159176088488	0.0	0.0	0.0	0.0	0.8381706388151967	0.0	0.0	0.0	0.0	0.9633867886762202	0.0	0.0	0.9633867886762202	0.0	0.9633867886762202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9179742669416929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.8852934865509083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8454527262055339	0.0	0.0	0.9704403764515626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9052060501957758	0.0	0.0	0.0	0.0	0.9312613203592919	0.0	0.0	0.0	0.0	0.0	0.9434680999214939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.0	0.0	0.8402061558684624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8265637254366205	0.0	0.0	0.8350714900902414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8555980383028863	0.0	0.8075109742049938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9129051590153732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9320347053704585	0.0	0.0	0.0	0.0	0.0	0.8429058468498374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8726014851135298	0.0	0.0	0.930335792248355	0.0	0.0	0.0	0.0	0.0	0.0	0.8829020565992793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9358530082081113	0.0	0.0	0.0	0.0	0.0	0.0	0.9379027154479942
Aggregatibacter	0.0	0.8852934865509083	0.8402061558684624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.871940687472292	0.0	0.0	0.9331850749690405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8852934865509083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9769118722740351	0.0	0.8760065889715725	0.0	0.0	0.8505287009021845	0.0	0.0	0.0	0.0	0.0	0.9098033966438439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	0.0	0.0	0.0	0.0	0.0	0.0	0.9990413801918697	0.8431195576232376	0.0	0.0	0.9994204922357071	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9759067480288028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8677218312746252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9907860384425764	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9943767126843694	0.0	1.0	0.9761870601839533	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.0	0.0	0.0	0.9990413801918697	0.0	0.8424867509367308	0.0	0.0	0.999339126672427	0.9990413801918697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990413801918697	0.0	0.9829031937732343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8668900159392174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9898362513205057	0.0	0.9990413801918697	0.0	0.0	0.9990413801918697	0.9990413801918697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9934234834708464	0.0	0.9990413801918697	0.9752512679316202	0.0	0.0	0.0	0.0	0.0	0.0	0.9990413801918697	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.8431195576232376	0.8424867509367308	0.0	0.0	0.0	0.8476636222496446	0.8431195576232376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8431195576232376	0.0	0.8640037770985463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8422306737300678	0.0	0.8431195576232376	0.0	0.0	0.8431195576232376	0.8431195576232376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8734814027247825	0.0	0.8431195576232376	0.0	0.0	0.8015990561740862	0.0	0.0	0.0	0.0	0.8431195576232376	0.0	0.0	0.0	0.0	0.0	0.0
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8103294811030506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8336864716716061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.9320347053704585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8265355742233039	0.0	0.0	0.0	0.0	0.8523765593432749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8608524853404848	0.0	0.0	0.0	0.0	0.0	0.0	0.9422723936499906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8265355742233039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.857728853993947	0.0	0.8357380393263695	0.0	0.8567538238844478	0.0	0.0	0.832571201178698
