TAXA	Acinetobacter	Actinobaculum	Actinomyces	Alistipes	Alloprevotella	Anaerococcus	Atopobium	Bacteroides	Barnesiella	Bradyrhizobium	Campylobacter	Capnocytophaga	Comamonas	Corynebacterium	Cupriavidus	Dialister	Eubacterium	Faecalibacterium	Finegoldia	Haemophilus	Herbaspirillum	Lactococcus	Lautropia	Lawsonella	Levyella	Limnohabitans	Mobiluncus	Mycobacterium	Nocardia	Oscillibacter	Parabacteroides	Peptoniphilus	Peptostreptococcus	Prevotella	Propionibacterium	Pseudomonas	Rothia	Sphingobium	Sphingomonas	Sphingopyxis	Stenotrophomonas	Streptococcus	Sutterella	Ureaplasma	Varibaculum	Veillonella
Capnocytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.985900603509299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comamonas	0.0	0.9850365626224085	0.9819805060619659	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9850365626224085	0.0	0.0	0.9948003114064994	0.9258200997725512	0.9798501839458538	0.0	0.0	0.9994936384816955	0.0	0.0	1.0	0.0	0.0	0.9258200997725512	0.0	0.9925833339709303	0.9990779158942759	0.9712858623572642	0.0	0.0	0.9964383892031151	0.9712858623572642	0.9990248656871403	1.0	0.9992452629866213	0.0	0.0	0.0	0.9974149030430578	0.9955914553877286	0.0	0.0	0.9985852386219168	0.9712858623572642	1.0
Corynebacterium	0.0	0.9867993257019454	0.9928888495079417	0.0	0.0	0.0	0.9948003114064994	0.0	0.0	0.0	0.973030032785174	0.0	0.9948003114064994	0.0	0.0	0.982324549754433	0.0	0.0	0.991862654523725	0.0	0.0	0.9948003114064994	0.0	0.0	0.9059076625181612	0.0	0.9922783845331395	0.992167951925441	0.9567315228131033	0.0	0.0	0.9912572198766496	0.9567315228131033	0.9958667848807977	0.9948003114064992	0.9956343861808074	0.0	0.0	0.0	0.9893581778763487	0.9941615297897561	0.0	0.0	0.9955170536877442	0.9567315228131033	0.9948003114064994
Cupriavidus	0.0	0.0	0.9091372900969896	0.0	0.0	0.9819805060619655	0.9258200997725512	0.0	0.0	0.0	0.9771071235928814	0.0	0.9258200997725512	0.0	0.0	0.9549105211188456	0.0	0.0	0.9358190749891755	0.0	0.0	0.9258200997725512	0.0	0.0	1.0	0.0	0.0	0.9411938967522788	0.989159571394798	0.0	0.0	0.0	0.989159571394798	0.9345518560426627	0.0	0.0	0.0	0.0	0.0	0.9505863757867166	0.8862870966920833	0.0	0.0	0.0	0.989159571394798	0.9258200997725512
Dialister	0.0	0.0	0.9790743721187978	0.0	0.0	0.0	0.9798501839458538	0.0	0.0	0.0	0.986959420772469	0.0	0.9798501839458538	0.982324549754433	0.9549105211188456	0.0	0.0	0.0	0.9814531410773881	0.0	0.0	0.9798501839458538	0.0	0.0	0.9549105211188456	0.0	0.9572263892829049	0.9843702069764115	0.9817687771335547	0.0	0.0	0.963513492386233	0.9817687771335547	0.9853347951100924	0.9798501839458537	0.9848935631922263	0.0	0.0	0.0	0.9863944255317857	0.9636819224695024	0.0	0.0	0.9717467860668101	0.9817687771335547	0.9798501839458538
Eubacterium	0.0	0.0	0.0	0.9284766908852591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Faecalibacterium	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.9284441834736225	0.9191450300180577	0.9191450300180577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.0	0.0	0.0	0.9301093743618876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Finegoldia	0.0	0.979764647221055	0.978522535079069	0.0	0.0	0.0	0.9994936384816955	0.0	0.0	0.0	0.9893109088048915	0.0	0.9994936384816955	0.991862654523725	0.9358190749891755	0.9814531410773881	0.0	0.0	0.0	0.0	0.0	0.9994936384816955	0.0	0.0	0.0	0.0	0.9887139381661042	0.9997610806090563	0.9773831403961888	0.0	0.0	0.9943847259236742	0.9773831403961888	0.9986601912365469	0.9994936384816953	0.9989421397004917	0.0	0.0	0.0	0.9988999553570445	0.9924896391187548	0.0	0.0	0.9966069204662062	0.9773831403961888	0.9994936384816955
Haemophilus	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Herbaspirillum	0.0	0.0	0.9438525105940321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9965348191325822	0.0	0.0	0.0	0.0	0.0	0.0	0.9275911909085919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactococcus	0.0	0.9850365626224085	0.9819805060619659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9850365626224085	0.0	1.0	0.9948003114064994	0.9258200997725512	0.9798501839458538	0.0	0.0	0.9994936384816955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9925833339709303	0.9990779158942759	0.9712858623572642	0.0	0.0	0.9964383892031151	0.9712858623572642	0.9990248656871403	1.0	0.9992452629866213	0.0	0.0	0.0	0.9974149030430578	0.9955914553877286	0.0	0.0	0.9985852386219168	0.9712858623572642	1.0
Lautropia	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.9910982348686419	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Lawsonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.944911182523068	0.0	0.0	0.0	0.0	0.0	0.0	0.9994237971287661	0.945562620851067	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Levyella	0.0	0.0	0.0	0.0	0.0	0.9819805060619655	0.9258200997725512	0.0	0.0	0.0	0.9771071235928814	0.0	0.9258200997725512	0.9059076625181612	1.0	0.9549105211188456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9411938967522788	0.989159571394798	0.0	0.0	0.0	0.989159571394798	0.9345518560426627	0.9258200997725512	0.9343494922084461	0.0	0.0	0.0	0.9505863757867166	0.0	0.0	0.0	0.0	0.989159571394798	0.9258200997725512
Limnohabitans	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.9910982348686419	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobiluncus	0.0	0.9986822513126801	0.9746974846014475	0.0	0.0	0.0	0.9925833339709303	0.0	0.0	0.0	0.9567794995093506	0.0	0.9925833339709303	0.9922783845331395	0.0	0.9572263892829049	0.0	0.0	0.9887139381661042	0.0	0.0	0.9925833339709303	0.0	0.0	0.0	0.0	0.0	0.9864487829253057	0.9351596947124812	0.0	0.0	0.9983204647498376	0.9351596947124812	0.9885166336789037	0.9925833339709303	0.9888661122120945	0.0	0.0	0.0	0.9812819620811106	0.9996098801316651	0.0	0.0	0.9976432767016219	0.9351596947124812	0.9925833339709303
Mycobacterium	0.0	0.9767288153421678	0.9810750374451951	0.0	0.0	0.0	0.9990779158942759	0.0	0.0	0.0	0.9915277367867463	0.0	0.9990779158942759	0.992167951925441	0.9411938967522788	0.9843702069764115	0.0	0.0	0.9997610806090563	0.0	0.0	0.9990779158942759	0.0	0.0	0.9411938967522788	0.0	0.9864487829253057	0.0	0.9806048893656959	0.0	0.0	0.9922448537113013	0.9806048893656959	0.9991980926678998	0.9990779158942757	0.9993721214319953	0.0	0.0	0.0	0.9995803270804469	0.9906464183700667	0.0	0.0	0.9953814740130327	0.9806048893656959	0.9990779158942759
Nocardia	0.0	0.9157484263009923	0.9537837826484191	0.0	0.0	0.9615239476408229	0.9712858623572642	0.0	0.0	0.0	0.9977557480592902	0.0	0.9712858623572642	0.9567315228131033	0.989159571394798	0.9817687771335547	0.0	0.0	0.9773831403961888	0.0	0.0	0.9712858623572642	0.0	0.0	0.989159571394798	0.0	0.9351596947124812	0.9806048893656959	0.0	0.0	0.0	0.949679772890349	0.9999999999999998	0.9764033452364421	0.971285862357264	0.9763615917611828	0.0	0.0	0.0	0.9858710235401071	0.9446884305640602	0.9224409883013097	0.0	0.9572607021369213	0.9999999999999998	0.9712858623572642
Oscillibacter	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.9910982348686419	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Parabacteroides	0.0	0.0	0.9449111825230682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9965348191325822	0.0	0.0	0.944911182523068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9332565252573826	0.9097176522946839	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptoniphilus	0.0	0.9946737133428647	0.9716880523441809	0.0	0.0	0.0	0.9964383892031151	0.0	0.0	0.0	0.9683827781884278	0.0	0.9964383892031151	0.9912572198766496	0.0	0.963513492386233	0.0	0.0	0.9943847259236742	0.0	0.0	0.9964383892031151	0.0	0.0	0.0	0.0	0.9983204647498376	0.9922448537113013	0.949679772890349	0.0	0.0	0.0	0.949679772890349	0.9922262763508087	0.996438389203115	0.9927377678775372	0.0	0.0	0.0	0.9883816399839604	0.9991997207223102	0.0	0.0	0.9990844900239464	0.949679772890349	0.9964383892031151
Peptostreptococcus	0.0	0.0	0.9537837826484191	0.0	0.0	0.9615239476408229	0.9712858623572642	0.0	0.0	0.0	0.9977557480592902	0.0	0.9712858623572642	0.9567315228131033	0.989159571394798	0.9817687771335547	0.0	0.0	0.9773831403961888	0.0	0.0	0.9712858623572642	0.0	0.0	0.989159571394798	0.0	0.9351596947124812	0.9806048893656959	0.9999999999999998	0.0	0.0	0.949679772890349	0.0	0.9764033452364421	0.971285862357264	0.9763615917611828	0.0	0.0	0.0	0.9858710235401071	0.9446884305640602	0.9224409883013097	0.0	0.9572607021369213	0.9999999999999998	0.9712858623572642
Prevotella	0.0	0.9796828231543868	0.9878356025035561	0.0	0.0	0.0	0.9990248656871403	0.0	0.0	0.0	0.9884692161871614	0.0	0.9990248656871403	0.9958667848807977	0.9345518560426627	0.9853347951100924	0.0	0.0	0.9986601912365469	0.0	0.0	0.9990248656871403	0.0	0.0	0.9345518560426627	0.0	0.9885166336789037	0.9991980926678998	0.9764033452364421	0.0	0.0	0.9922262763508087	0.9764033452364421	0.0	0.9990248656871402	0.9999823639440761	0.0	0.0	0.0	0.9982739849321393	0.9922297050460719	0.0	0.0	0.9962560335056994	0.9764033452364421	0.9990248656871403
Propionibacterium	0.0	0.9850365626224084	0.9819805060619657	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9850365626224082	0.0	1.0	0.9948003114064992	0.0	0.9798501839458537	0.0	0.0	0.9994936384816953	0.0	0.0	1.0	0.0	0.0	0.9258200997725512	0.0	0.9925833339709303	0.9990779158942757	0.971285862357264	0.0	0.0	0.996438389203115	0.971285862357264	0.9990248656871402	0.0	0.9992452629866213	0.0	0.0	0.0	0.9974149030430577	0.9955914553877285	0.0	0.0	0.9985852386219168	0.971285862357264	1.0
Pseudomonas	0.0	0.9800852396857997	0.9869489912912934	0.0	0.0	0.0	0.9992452629866213	0.0	0.0	0.0	0.9885009984523325	0.0	0.9992452629866213	0.9956343861808074	0.0	0.9848935631922263	0.0	0.0	0.9989421397004917	0.0	0.0	0.9992452629866213	0.0	0.0	0.9343494922084461	0.0	0.9888661122120945	0.9993721214319953	0.9763615917611828	0.0	0.0	0.9927377678775372	0.9763615917611828	0.9999823639440761	0.9992452629866213	0.0	0.0	0.0	0.0	0.9984165465252288	0.9925499860943057	0.0	0.0	0.9965332956273767	0.9763615917611828	0.9992452629866213
Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.985900603509299	0.0	0.0	0.0	0.0	0.0	0.9301093743618876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9275911909085919	0.0	0.0	0.9994237971287661	0.0	0.0	0.0	0.0	0.0	0.0	0.9332565252573826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9433332612731562	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.945562620851067	0.0	0.0	0.0	0.0	0.0	0.0	0.9097176522946839	0.0	0.0	0.0	0.0	0.0	0.0	0.9433332612731562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingopyxis	0.0	0.9701058180102758	0.9794419912439685	0.0	0.0	0.0	0.9974149030430578	0.0	0.0	0.0	0.994874477193517	0.0	0.9974149030430578	0.9893581778763487	0.9505863757867166	0.9863944255317857	0.0	0.0	0.9988999553570445	0.0	0.0	0.9974149030430578	0.0	0.0	0.9505863757867166	0.0	0.9812819620811106	0.9995803270804469	0.9858710235401071	0.0	0.0	0.9883816399839604	0.9858710235401071	0.9982739849321393	0.9974149030430577	0.9984165465252288	0.0	0.0	0.0	0.0	0.9862778154328395	0.0	0.0	0.9921828125192835	0.9858710235401071	0.9974149030430578
Stenotrophomonas	0.0	0.9968592704582597	0.9776514011926107	0.0	0.0	0.0	0.9955914553877286	0.0	0.0	0.0	0.9645286995244784	0.0	0.9955914553877286	0.9941615297897561	0.8862870966920833	0.9636819224695024	0.0	0.0	0.9924896391187548	0.0	0.0	0.9955914553877286	0.0	0.0	0.0	0.0	0.9996098801316651	0.9906464183700667	0.9446884305640602	0.0	0.0	0.9991997207223102	0.9446884305640602	0.9922297050460719	0.9955914553877285	0.9925499860943057	0.0	0.0	0.0	0.9862778154328395	0.0	0.0	0.0	0.9991704708361642	0.9446884305640602	0.9955914553877286
Streptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9224409883013097	0.0	0.0	0.0	0.9224409883013097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sutterella	0.0	0.0	0.0	0.9191450300180577	0.0	0.0	0.0	0.9910982348686419	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ureaplasma	0.0	0.9928073464432404	0.9805912379679589	0.0	0.0	0.0	0.9985852386219168	0.0	0.0	0.0	0.9744785954319807	0.0	0.9985852386219168	0.9955170536877442	0.0	0.9717467860668101	0.0	0.0	0.9966069204662062	0.0	0.0	0.9985852386219168	0.0	0.0	0.0	0.0	0.9976432767016219	0.9953814740130327	0.9572607021369213	0.0	0.0	0.9990844900239464	0.9572607021369213	0.9962560335056994	0.9985852386219168	0.9965332956273767	0.0	0.0	0.0	0.9921828125192835	0.9991704708361642	0.0	0.0	0.0	0.9572607021369213	0.9985852386219168
Varibaculum	0.0	0.0	0.9537837826484191	0.0	0.0	0.9615239476408229	0.9712858623572642	0.0	0.0	0.0	0.9977557480592902	0.0	0.9712858623572642	0.9567315228131033	0.989159571394798	0.9817687771335547	0.0	0.0	0.9773831403961888	0.0	0.0	0.9712858623572642	0.0	0.0	0.989159571394798	0.0	0.9351596947124812	0.9806048893656959	0.9999999999999998	0.0	0.0	0.949679772890349	0.9999999999999998	0.9764033452364421	0.971285862357264	0.9763615917611828	0.0	0.0	0.0	0.9858710235401071	0.9446884305640602	0.0	0.0	0.9572607021369213	0.0	0.9712858623572642
Veillonella	0.0	0.9850365626224085	0.9819805060619659	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9850365626224085	0.0	1.0	0.9948003114064994	0.9258200997725512	0.9798501839458538	0.0	0.0	0.9994936384816955	0.0	0.0	1.0	0.0	0.0	0.9258200997725512	0.0	0.9925833339709303	0.9990779158942759	0.9712858623572642	0.0	0.0	0.9964383892031151	0.9712858623572642	0.9990248656871403	1.0	0.9992452629866213	0.0	0.0	0.0	0.9974149030430578	0.9955914553877286	0.0	0.0	0.9985852386219168	0.9712858623572642	0.0
