TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Parabacteroides	Stool	#e8cb72	28	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Paraburkholderia	L_Retroauricular_crease	#34e4d9	4	10.0	1.0	#acf59a	#5e35fe	Mixed	#cccccc
Paracoccus	R_Retroauricular_crease	#acf59a	4	17.0	6.0	#ff0000	#4df3ce	Mixed	#cccccc
Paraprevotella	Stool	#e8cb72	9	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Parasutterella	Stool	#e8cb72	1	6.0	3.0	#34e4d9	#1996f3	Mixed	#cccccc
Parvimonas	Subgingival_plaque	#ffac5c	3	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Pediococcus	L_Retroauricular_crease	#34e4d9	1	9.0	6.0	#8efeac	#4df3ce	Mixed	#cccccc
Pedobacter	Anterior_nares	#8000ff	1	6.0	3.0	#34e4d9	#1996f3	Mixed	#cccccc
Peptoclostridium	L_Retroauricular_crease	#34e4d9	1	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Peptostreptococcus	Throat	#ff5c2f	16	2.0	9.0	#445cfb	#b2f396	Mixed	#cccccc
Phascolarctobacterium	Stool	#e8cb72	2	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Planomicrobium	Anterior_nares	#8000ff	1	11.0	6.0	#cbe486	#4df3ce	Mixed	#cccccc
Porphyromonas	Saliva	#cbe486	43	2.0	9.0	#445cfb	#b2f396	Mixed	#cccccc
Propionibacterium	R_Retroauricular_crease	#acf59a	42	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Pseudobutyrivibrio	Stool	#e8cb72	1	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Pseudochrobactrum	Anterior_nares	#8000ff	1	9.0	6.0	#8efeac	#4df3ce	Mixed	#cccccc
Pseudoflavonifractor	Stool	#e8cb72	1	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Pseudomonas	Vaginal_introitus	#ff0000	43	8.0	1.0	#70febc	#5e35fe	Mixed	#cccccc
Rheinheimera	Anterior_nares	#8000ff	1	11.0	6.0	#cbe486	#4df3ce	Mixed	#cccccc
Rhodopseudomonas	Anterior_nares	#8000ff	8	17.0	10.0	#ff0000	#d4dd80	Mixed	#cccccc
Rickettsiella	Anterior_nares	#8000ff	1	11.0	6.0	#cbe486	#4df3ce	Mixed	#cccccc
Roseburia	Stool	#e8cb72	31	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Rothia	Hard_palate	#08acee	36	15.0	14.0	#ff5c2f	#ff351b	Mixed	#cccccc
Ruminiclostridium	L_Retroauricular_crease	#34e4d9	5	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
