	Holdouts
0	1138
1	689
2	84
3	1265
4	1112
5	1184
6	1046
7	1231
8	573
9	284
10	771
11	321
12	102
13	525
14	348
15	102
16	1526
17	838
18	1046
19	308
20	1359
21	1442
22	1548
23	1273
24	961
25	1351
26	1145
27	449
28	1278
29	724
30	1382
31	933
32	484
33	63
34	570
35	508
36	797
37	1035
38	1105
39	1475
40	1568
41	452
42	670
43	123
44	512
45	1381
46	1444
47	786
48	122
49	834
50	1319
51	1659
52	1621
53	190
54	1503
55	847
56	55
57	1342
58	1539
59	594
60	737
61	1517
62	1565
63	554
64	406
65	174
66	1188
67	534
68	1569
69	877
70	320
71	75
72	1050
73	1196
74	1325
75	1417
76	345
77	117
78	1652
79	1018
80	676
81	261
82	277
83	251
84	400
85	652
86	801
87	979
88	13
89	590
90	1084
91	972
92	1146
93	1255
94	714
95	20
96	865
97	710
98	1604
99	1270
100	1420
101	219
102	1339
103	233
104	333
105	64
106	1573
107	670
108	1655
109	851
110	825
111	577
112	148
113	833
114	626
115	336
116	1059
117	395
118	1247
119	1098
120	1636
121	972
122	1088
123	563
124	1020
125	492
126	997
127	339
128	1117
129	590
130	58
131	1308
132	1542
133	456
134	613
135	1505
136	671
137	608
138	210
139	192
140	1638
141	1288
142	728
143	1187
144	807
145	1102
146	1579
147	1044
148	1530
149	711
150	529
151	635
152	731
153	1301
154	862
155	213
156	1138
157	53
158	1487
159	95
160	634
161	517
162	345
163	428
164	921
165	1480
166	751
167	1451
168	296
169	194
170	52
171	1625
172	1537
173	1439
174	573
175	990
176	306
177	1043
178	1485
179	1083
180	748
181	115
182	1433
183	500
184	921
185	1085
186	1405
187	1183
188	1358
189	522
190	997
191	706
192	421
193	161
194	834
195	740
196	1357
197	510
198	933
199	15
200	472
201	577
202	96
203	988
204	170
205	1467
206	782
207	922
208	1213
209	771
210	572
211	116
212	1027
213	1467
214	182
215	64
216	912
217	1463
218	1532
219	1112
220	905
221	557
222	955
223	1601
224	1504
225	1287
226	1542
227	160
228	354
229	292
230	281
231	726
232	526
233	1528
234	818
235	1231
236	504
237	755
238	780
239	276
240	461
241	734
242	556
243	899
244	179
245	805
246	1423
247	535
248	530
249	1315
250	826
251	1602
252	1150
253	627
254	463
255	1331
256	519
257	490
258	195
259	932
260	810
261	1271
262	456
263	327
264	815
265	1230
266	1319
267	1641
268	401
269	685
270	1164
271	687
272	1309
273	728
274	418
275	713
276	208
277	879
278	76
279	308
280	54
281	700
282	538
283	388
284	404
285	555
286	1469
287	686
288	1286
289	1200
290	1149
291	925
292	1403
293	909
294	198
295	1349
296	1184
297	655
298	1153
299	1635
