TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Phascolarctobacterium	Stool	#e8cb72	1	15.0	18.0	#9bfba5	#b2f396	Mixed	#cccccc
Phenylobacterium	R_Retroauricular_crease	#acf59a	3	8.0	4.0	#17cbe4	#3c68f9	Mixed	#cccccc
Photobacterium	L_Retroauricular_crease	#34e4d9	2	6.0	8.0	#10a2f0	#08bee9	Mixed	#cccccc
Polynucleobacter	R_Retroauricular_crease	#acf59a	4	27.0	10.0	#ff0000	#2adddd	Mixed	#cccccc
Pontibacter	R_Retroauricular_crease	#acf59a	3	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Porphyrobacter	Saliva	#cbe486	1	19.0	11.0	#e6cd73	#3ae8d6	Mixed	#cccccc
Propionicicella	R_Retroauricular_crease	#acf59a	1	6.0	28.0	#10a2f0	#ff351b	Mixed	#cccccc
Proteiniclasticum	R_Retroauricular_crease	#acf59a	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Pseudoflavonifractor	Stool	#e8cb72	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Pseudoxanthomonas	R_Retroauricular_crease	#acf59a	1	6.0	17.0	#10a2f0	#a0faa1	Mixed	#cccccc
Raoultella	Anterior_nares	#8000ff	1	5.0	7.0	#218cf4	#09a9ee	Mixed	#cccccc
Rheinheimera	Anterior_nares	#8000ff	9	22.0	15.0	#ff8e4a	#7effb5	Mixed	#cccccc
Rhodobacter	Anterior_nares	#8000ff	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Rickettsiella	Anterior_nares	#8000ff	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Rikenella	Stool	#e8cb72	1	25.0	1.0	#ff3b1e	#7019ff	Mixed	#cccccc
Roseomonas	R_Retroauricular_crease	#acf59a	4	8.0	4.0	#17cbe4	#3c68f9	Mixed	#cccccc
Rouxiella	L_Retroauricular_crease	#34e4d9	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Rubellimicrobium	R_Retroauricular_crease	#acf59a	3	6.0	8.0	#10a2f0	#08bee9	Mixed	#cccccc
Rubrobacter	R_Retroauricular_crease	#acf59a	4	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Rudanella	R_Retroauricular_crease	#acf59a	1	14.0	26.0	#88ffaf	#ff6835	Mixed	#cccccc
Sandarakinorhabdus	R_Retroauricular_crease	#acf59a	1	23.0	14.0	#ff733b	#6efebe	Mixed	#cccccc
Sediminibacterium	R_Retroauricular_crease	#acf59a	1	23.0	29.0	#ff733b	#ff1c0e	Mixed	#cccccc
Selenomonas	Supragingival_plaque	#ff8646	23	26.0	2.0	#ff1f10	#5e35fe	Mixed	#cccccc
Serratia	Saliva	#cbe486	5	22.0	15.0	#ff8e4a	#7effb5	Mixed	#cccccc
Shinella	R_Retroauricular_crease	#acf59a	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Simonsiella	Keratinized_gingiva	#17cbe4	3	12.0	13.0	#62fbc4	#5df9c7	Mixed	#cccccc
Sneathia	L_Retroauricular_crease	#34e4d9	3	12.0	27.0	#62fbc4	#ff5029	Mixed	#cccccc
Sphaerobacter	R_Retroauricular_crease	#acf59a	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Sphaerotilus	R_Retroauricular_crease	#acf59a	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Subdoligranulum	Stool	#e8cb72	3	3.0	25.0	#4856fb	#ff8143	Mixed	#cccccc
Tatumella	R_Retroauricular_crease	#acf59a	3	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Thermus	L_Retroauricular_crease	#34e4d9	14	7.0	30.0	#04b9ea	#ff0000	Mixed	#cccccc
Treponema	Subgingival_plaque	#ffac5c	29	26.0	2.0	#ff1f10	#5e35fe	Mixed	#cccccc
Turicella	Anterior_nares	#8000ff	3	12.0	13.0	#62fbc4	#5df9c7	Mixed	#cccccc
Ureaplasma	Vaginal_introitus	#ff0000	1	11.0	1.0	#4ef3cd	#7019ff	Mixed	#cccccc
Ureibacillus	R_Retroauricular_crease	#acf59a	2	16.0	24.0	#aef498	#ff964f	Mixed	#cccccc
Weeksella	Buccal_mucosa	#445cfb	1	2.0	5.0	#5c38fd	#2c7ef7	Mixed	#cccccc
Xanthomonas	Anterior_nares	#8000ff	28	26.0	2.0	#ff1f10	#5e35fe	Mixed	#cccccc
Aeromonas	L_Retroauricular_crease	#34e4d9	3	8.0	4.0	#17cbe4	#3c68f9	Mixed	#cccccc
Acetivibrio	Stool	#e8cb72	3	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Actinobacillus	Attached	#622ffe	3	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Alicycliphilus	L_Retroauricular_crease	#34e4d9	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Adlercreutzia	Stool	#e8cb72	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Acidithiobacillus	Buccal_mucosa	#445cfb	1	25.0	1.0	#ff3b1e	#7019ff	Mixed	#cccccc
Blastococcus	Anterior_nares	#8000ff	1	23.0	14.0	#ff733b	#6efebe	Mixed	#cccccc
