	source	target	weight	edge_sample	edcolor
766	Pseudoflavonifractor	Coprococcus	6.0	Stool	#b2f396
767	Coprococcus	Pseudoflavonifractor	6.0	Stool	#b2f396
768	Pseudoflavonifractor	Dielma	3.0	Stool	#b2f396
769	Dielma	Pseudoflavonifractor	3.0	Stool	#b2f396
770	Pseudoflavonifractor	Gordonibacter	3.0	Stool	#b2f396
771	Gordonibacter	Pseudoflavonifractor	3.0	Stool	#b2f396
772	Pseudoflavonifractor	Holdemania	5.0	Stool	#b2f396
773	Holdemania	Pseudoflavonifractor	5.0	Stool	#b2f396
774	Pseudoflavonifractor	Hungatella	3.0	Stool	#b2f396
775	Hungatella	Pseudoflavonifractor	3.0	Stool	#b2f396
776	Pseudoflavonifractor	Lachnoclostridium	7.0	Stool	#b2f396
777	Lachnoclostridium	Pseudoflavonifractor	7.0	Stool	#b2f396
778	Pseudoflavonifractor	Odoribacter	4.0	Stool	#b2f396
779	Odoribacter	Pseudoflavonifractor	4.0	Stool	#b2f396
780	Pseudoflavonifractor	Oxalobacter	3.0	Stool	#b2f396
781	Oxalobacter	Pseudoflavonifractor	3.0	Stool	#b2f396
782	Pseudomonas	Bosea	1.0	Intertype	#cccccc
783	Bosea	Pseudomonas	1.0	Intertype	#cccccc
784	Pseudomonas	Fenollaria	1.0	Intertype	#cccccc
785	Fenollaria	Pseudomonas	1.0	Intertype	#cccccc
786	Psychrobacter	Brochothrix	2.0	Saliva	#7effb5
787	Brochothrix	Psychrobacter	2.0	Saliva	#7effb5
788	Psychrobacter	Mitsuokella	1.0	Saliva	#7effb5
789	Mitsuokella	Psychrobacter	1.0	Saliva	#7effb5
790	Psychrobacter	Pectobacterium	1.0	Saliva	#7effb5
791	Pectobacterium	Psychrobacter	1.0	Saliva	#7effb5
792	Rheinheimera	Acidovorax	1.0	Anterior_nares	#8000ff
793	Acidovorax	Rheinheimera	1.0	Anterior_nares	#8000ff
794	Rheinheimera	Aliterella	1.0	Anterior_nares	#8000ff
795	Aliterella	Rheinheimera	1.0	Anterior_nares	#8000ff
796	Rheinheimera	Arthrobacter	1.0	Anterior_nares	#8000ff
797	Arthrobacter	Rheinheimera	1.0	Anterior_nares	#8000ff
798	Rheinheimera	Azohydromonas	1.0	Anterior_nares	#8000ff
799	Azohydromonas	Rheinheimera	1.0	Anterior_nares	#8000ff
800	Rheinheimera	Delftia	1.0	Anterior_nares	#8000ff
801	Delftia	Rheinheimera	1.0	Anterior_nares	#8000ff
802	Rheinheimera	Microvirga	1.0	Anterior_nares	#8000ff
803	Microvirga	Rheinheimera	1.0	Anterior_nares	#8000ff
804	Rheinheimera	Modestobacter	1.0	Anterior_nares	#8000ff
805	Modestobacter	Rheinheimera	1.0	Anterior_nares	#8000ff
806	Rheinheimera	Mycobacterium	1.0	Intertype	#cccccc
807	Mycobacterium	Rheinheimera	1.0	Intertype	#cccccc
808	Rheinheimera	Photobacterium	1.0	Anterior_nares	#8000ff
