	TAXA	sample_type	sample_color	frequency
0	Acidaminococcus	Stool	#b2f396	2
1	Aliterella	Anterior_nares	#8000ff	1
2	Anaerotruncus	Stool	#b2f396	13
3	Arthrobacter	Anterior_nares	#8000ff	1
5	Atopobacter	Anterior_nares	#8000ff	1
6	Aureimonas	Anterior_nares	#8000ff	1
7	Avibacterium	Buccal_mucosa	#1996f3	3
8	Azohydromonas	Anterior_nares	#8000ff	1
11	Bacillus	Anterior_nares	#8000ff	17
12	Basfia	Buccal_mucosa	#1996f3	2
14	Bibersteinia	Buccal_mucosa	#1996f3	2
16	Bifidobacterium	Stool	#b2f396	22
17	Blautia	Stool	#b2f396	19
18	Bradyrhizobium	Throat	#ff5029	1
19	Brevibacterium	Posterior_fornix	#4df3ce	1
20	Burkholderia	Posterior_fornix	#4df3ce	1
22	Butyricimonas	Stool	#b2f396	11
25	Calothrix	Anterior_nares	#8000ff	2
27	Catenibacterium	Stool	#b2f396	7
28	Cellulomonas	Stool	#b2f396	6
29	Citrobacter	Throat	#ff5029	1
31	Clostridium	Stool	#b2f396	29
32	Collinsella	Stool	#b2f396	11
33	Conchiformibius	Throat	#ff5029	2
36	Coprobacter	Stool	#b2f396	5
37	Coprococcus	Stool	#b2f396	18
40	Crocosphaera	Anterior_nares	#8000ff	1
42	Dechloromonas	Buccal_mucosa	#1996f3	2
43	Dehalobacter	Buccal_mucosa	#1996f3	2
47	Delftia	Anterior_nares	#8000ff	1
51	Desulfotomaculum	Stool	#b2f396	1
52	Desulfovibrio	Stool	#b2f396	4
54	Dolosigranulum	Anterior_nares	#8000ff	5
55	Dorea	Stool	#b2f396	17
58	Echinicola	Buccal_mucosa	#1996f3	2
63	Eggerthella	Stool	#b2f396	3
65	Elizabethkingia	Buccal_mucosa	#1996f3	1
67	Enhydrobacter	Posterior_fornix	#4df3ce	2
68	Enterorhabdus	Stool	#b2f396	1
70	Erysipelatoclostridium	Stool	#b2f396	10
73	Escherichia	Stool	#b2f396	8
76	Eubacterium	Subgingival_plaque	#e4cf74	41
78	Exiguobacterium	Anterior_nares	#8000ff	2
81	Facklamia	Posterior_fornix	#4df3ce	3
84	Faecalibacterium	Stool	#b2f396	29
85	Faecalicoccus	Stool	#b2f396	1
89	Faecalitalea	Stool	#b2f396	4
91	Fenollaria	Posterior_fornix	#4df3ce	1
93	Filifactor	Throat	#ff5029	11
94	Flavobacterium	Throat	#ff5029	1
98	Flavonifractor	Stool	#b2f396	15
99	Gallibacterium	Attached	#4e4dfc	5
106	Gardnerella	Posterior_fornix	#4df3ce	13
107	Gordonibacter	Stool	#b2f396	6
113	Granulicatella	Attached	#4e4dfc	29
115	Gulbenkiania	Anterior_nares	#8000ff	1
119	Haemophilus	Buccal_mucosa	#1996f3	41
124	Hallella	Stool	#b2f396	1
128	Helicobacter	Anterior_nares	#8000ff	1
133	Herbaspirillum	Mid_vagina	#18cde4	3
136	Holdemania	Stool	#b2f396	12
140	Hungatella	Stool	#b2f396	15
145	Isoptericola	Tongue_dorsum	#ff0000	11
146	Janibacter	Throat	#ff5029	1
151	Kandleria	Stool	#b2f396	1
153	Klebsiella	Anterior_nares	#8000ff	1
154	Kocuria	Anterior_nares	#8000ff	4
160	Lachnoclostridium	Stool	#b2f396	17
161	Lachnospira	Stool	#b2f396	3
162	Lawsonella	Anterior_nares	#8000ff	8
163	Lelliottia	Anterior_nares	#8000ff	1
164	Leucobacter	Anterior_nares	#8000ff	3
171	Leuconostoc	Saliva	#7effb5	3
172	Levyella	Anterior_nares	#8000ff	6
175	Mageeibacillus	Posterior_fornix	#4df3ce	2
177	Mangrovimonas	Buccal_mucosa	#1996f3	2
185	Mannheimia	Buccal_mucosa	#1996f3	10
192	Marvinbryantia	Stool	#b2f396	5
198	Methylobacterium	Anterior_nares	#8000ff	2
206	Microbacterium	Anterior_nares	#8000ff	1
215	Micrococcus	Anterior_nares	#8000ff	2
225	Microvirga	Anterior_nares	#8000ff	1
230	Mitsuokella	Saliva	#7effb5	1
232	Mobiluncus	Posterior_fornix	#4df3ce	2
235	Modestobacter	Anterior_nares	#8000ff	1
241	Mogibacterium	Throat	#ff5029	9
242	Moraxella	Anterior_nares	#8000ff	5
243	Necropsobacter	Buccal_mucosa	#1996f3	3
250	Nocardia	Mid_vagina	#18cde4	3
254	Nosocomiicoccus	Posterior_fornix	#4df3ce	1
258	Novosphingobium	Throat	#ff5029	1
264	Odoribacter	Stool	#b2f396	21
268	Parabacteroides	Stool	#b2f396	28
269	Paracoccus	Anterior_nares	#8000ff	7
271	Paraprevotella	Stool	#b2f396	29
276	Parasutterella	Stool	#b2f396	11
277	Parvimonas	Throat	#ff5029	20
280	Pasteurella	Buccal_mucosa	#1996f3	15
284	Pectobacterium	Saliva	#7effb5	1
287	Pedobacter	Anterior_nares	#8000ff	2
289	Peptoniphilus	Anterior_nares	#8000ff	30
292	Peptostreptococcus	Throat	#ff5029	24
294	Phascolarctobacterium	Stool	#b2f396	6
295	Photobacterium	Anterior_nares	#8000ff	1
302	Propionibacterium	Anterior_nares	#8000ff	39
311	Proteiniphilum	Buccal_mucosa	#1996f3	1
312	Pseudoflavonifractor	Stool	#b2f396	12
315	Pseudomonas	Mid_vagina	#18cde4	18
321	Psychrobacter	Saliva	#7effb5	5
325	Rheinheimera	Anterior_nares	#8000ff	1
334	Rhodopseudomonas	Posterior_fornix	#4df3ce	1
340	Rikenella	Stool	#b2f396	6
344	Risungbinella	Anterior_nares	#8000ff	1
355	Roseburia	Stool	#b2f396	24
359	Ruminiclostridium	Stool	#b2f396	19
364	Ruminococcus	Stool	#b2f396	28
365	Salmonella	Anterior_nares	#8000ff	8
366	Sanguibacter	Saliva	#7effb5	17
369	Sanguibacteroides	Stool	#b2f396	2
372	Senegalimassilia	Stool	#b2f396	2
376	Serratia	Saliva	#7effb5	2
381	Shuttleworthia	Subgingival_plaque	#e4cf74	3
388	Simonsiella	Attached	#4e4dfc	8
390	Sinorhizobium	Stool	#b2f396	2
396	Sneathia	Posterior_fornix	#4df3ce	3
400	Solobacterium	Tongue_dorsum	#ff0000	24
401	Sphingobacterium	Anterior_nares	#8000ff	3
405	Sphingobium	Mid_vagina	#18cde4	7
415	Sphingomonas	Anterior_nares	#8000ff	6
426	Sphingopyxis	Mid_vagina	#18cde4	5
433	Stenotrophomonas	Anterior_nares	#8000ff	6
444	Stomatobaculum	Saliva	#7effb5	22
447	Streptobacillus	Buccal_mucosa	#1996f3	2
458	Streptococcus	Attached	#4e4dfc	54
459	Streptomyces	Anterior_nares	#8000ff	1
472	Subdoligranulum	Stool	#b2f396	15
477	Tannerella	Subgingival_plaque	#e4cf74	24
478	Tepidiphilus	Anterior_nares	#8000ff	1
491	Terrisporobacter	Stool	#b2f396	1
494	Thauera	Supragingival_plaque	#ff964f	1
495	Treponema	Subgingival_plaque	#e4cf74	33
496	Trueperella	Saliva	#7effb5	12
498	Turicibacter	Stool	#b2f396	1
502	Tyzzerella	Stool	#b2f396	15
506	Vibrio	Anterior_nares	#8000ff	5
520	Xanthomonas	Anterior_nares	#8000ff	2
535	Xenorhabdus	Saliva	#7effb5	1
541	Xylanimonas	Tongue_dorsum	#ff0000	12
543	Acholeplasma	Stool	#b2f396	3
544	Acinetobacter	Anterior_nares	#8000ff	23
545	Acetivibrio	Stool	#b2f396	13
548	Amphibacillus	Anterior_nares	#8000ff	1
549	Arcanobacterium	Anterior_nares	#8000ff	2
550	Actinobacillus	Buccal_mucosa	#1996f3	10
554	Acidovorax	Anterior_nares	#8000ff	11
559	Anaerostipes	Stool	#b2f396	10
560	Adlercreutzia	Stool	#b2f396	6
561	Afipia	Throat	#ff5029	4
562	Aerococcus	Posterior_fornix	#4df3ce	5
567	Alistipes	Stool	#b2f396	29
570	Butyrivibrio	Stool	#b2f396	14
571	Akkermansia	Stool	#b2f396	21
574	Catabacter	Stool	#b2f396	1
579	Barnesiella	Stool	#b2f396	15
585	Alicycliphilus	Buccal_mucosa	#1996f3	1
594	Anaerofustis	Stool	#b2f396	1
610	Bosea	Posterior_fornix	#4df3ce	1
633	Butyricicoccus	Stool	#b2f396	10
636	Bulleidia	Throat	#ff5029	6
641	Bacteroides	Stool	#b2f396	47
643	Alloprevotella	Attached	#4e4dfc	32
649	Atopobium	Saliva	#7effb5	24
657	Alysiella	Attached	#4e4dfc	2
