TAXA	Acetivibrio	Acetobacterium	Acidaminococcus	Acinetobacter	Actinomyces	Actinotignum	Adlercreutzia	Afipia	Aggregatibacter	Akkermansia	Alistipes	Alkaliflexus	Alloprevotella	Anaerococcus	Anaerofustis	Anaeroglobus	Anaerostipes	Anaerotruncus	Anaerovibrio	Anoxybacillus	Atopobium	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Bradyrhizobium	Brevibacillus	Buttiauxella	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus Hamiltonella	Candidatus Soleaferrea	Candidatus Stoquefichus	Capnocytophaga	Catabacter	Catenibacterium	Catonella	Cellulomonas	Cellulosilyticum	Chlamydia	Chryseobacterium	Chthoniobacter	Citrobacter	Cloacibacillus	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Cupriavidus	Dehalobacter	Deinococcus	Desulfitobacterium	Desulfovibrio	Dialister	Dielma	Dorea	Dysgonomonas	Eggerthella	Enterobacter	Enterococcus	Enterorhabdus	Erwinia	Erysipelatoclostridium	Escherichia	Ethanoligenens	Eubacterium	Faecalibacterium	Faecalicoccus	Faecalitalea	Fenollaria	Fermentimonas	Fibrella	Finegoldia	Flavonifractor	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Halalkalibacillus	Hallella	Haloferula	Helicobacter	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Johnsonella	Kandleria	Klebsiella	Kluyvera	Lachnoanaerobaculum	Lachnobacterium	Lachnoclostridium	Lachnospira	Lactobacillus	Lactococcus	Levyella	Mageeibacillus	Marinilabilia	Marinomonas	Marvinbryantia	Megamonas	Megasphaera	Methylobacterium	Mitsuokella	Mobiluncus	Mucinivorans	Mycobacterium	Neisseria	Novosphingobium	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Paenibacillus	Paludibacter	Pantoea	Parabacteroides	Paraprevotella	Parasutterella	Pedobacter	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Phascolarctobacterium	Pontibacillus	Pontibacter	Porphyromonas	Prevotella	Prolixibacter	Propionibacterium	Propionispira	Providencia	Pseudobutyrivibrio	Pseudoflavonifractor	Pyramidobacter	Rikenella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Salmonella	Sanguibacteroides	Selenomonas	Sellimonas	Senegalimassilia	Serratia	Shewanella	Shigella	Sinorhizobium	Slackia	Solobacterium	Sphingomonas	Stomatobaculum	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Synergistes	Tannerella	Terrisporobacter	Treponema	Turicibacter	Tyzzerella	Varibaculum	Veillonella	Verrucomicrobium	Yersinia
Acetivibrio	0.0	0.0	32.0	41.0	22.0	0.0	48.0	0.0	0.0	37.0	100.0	0.0	14.0	0.0	0.0	0.0	33.0	49.0	0.0	0.0	0.0	15.0	61.0	36.0	48.0	65.0	22.0	0.0	0.0	0.0	24.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	71.0	52.0	22.0	22.0	0.0	0.0	0.0	0.0	0.0	29.0	17.0	21.0	76.0	4.0	19.0	0.0	91.0	0.0	0.0	27.0	17.0	0.0	110.0	109.0	0.0	21.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	25.0	0.0	16.0	0.0	0.0	0.0	0.0	14.0	86.0	11.0	0.0	116.0	6.0	0.0	0.0	0.0	21.0	0.0	106.0	34.0	0.0	18.0	10.0	19.0	0.0	0.0	29.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	38.0	92.0	27.0	0.0	0.0	0.0	89.0	12.0	63.0	0.0	125.0	3.0	0.0	0.0	12.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	77.0	83.0	0.0	27.0	23.0	29.0	24.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	7.0	16.0	0.0	0.0	53.0	91.0	0.0	19.0	0.0	22.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	24.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	22.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	17.0	0.0	0.0	8.0	0.0	0.0	10.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	19.0	19.0	0.0	0.0	0.0	35.0	0.0	23.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	8.0	18.0	0.0	0.0	0.0	9.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	41.0	0.0	0.0	0.0	15.0	0.0	30.0	0.0	0.0	27.0	33.0	0.0	0.0	0.0	0.0	0.0	21.0	56.0	0.0	0.0	0.0	9.0	29.0	13.0	30.0	21.0	23.0	0.0	0.0	0.0	18.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	31.0	43.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	12.0	46.0	2.0	21.0	2.0	70.0	0.0	0.0	28.0	17.0	0.0	53.0	44.0	2.0	22.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	48.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	2.0	58.0	25.0	0.0	11.0	10.0	21.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	6.0	33.0	0.0	0.0	0.0	0.0	47.0	4.0	24.0	2.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	30.0	37.0	9.0	0.0	19.0	24.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	37.0	65.0	0.0	11.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	22.0	0.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	10.0	22.0	0.0	0.0	0.0	0.0	0.0	13.0	21.0	0.0	0.0	0.0	0.0	13.0	0.0	21.0	0.0	12.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	23.0	15.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	21.0	0.0	14.0	0.0	33.0	0.0	0.0	13.0	0.0	0.0	20.0	22.0	0.0	13.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	12.0	0.0	0.0	4.0	6.0	0.0	0.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	3.0	10.0	0.0	0.0	0.0	0.0	14.0	0.0	7.0	2.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	29.0	0.0	19.0	15.0	11.0	8.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	17.0	0.0	0.0	31.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
Actinotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia	48.0	0.0	0.0	30.0	15.0	0.0	0.0	0.0	0.0	12.0	42.0	0.0	0.0	0.0	0.0	0.0	18.0	36.0	0.0	0.0	0.0	0.0	35.0	13.0	26.0	25.0	22.0	0.0	0.0	0.0	12.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	25.0	28.0	16.0	35.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	49.0	2.0	18.0	0.0	55.0	0.0	0.0	23.0	4.0	0.0	46.0	46.0	2.0	13.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	32.0	0.0	0.0	57.0	3.0	2.0	0.0	0.0	12.0	0.0	59.0	21.0	4.0	12.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	15.0	25.0	0.0	0.0	0.0	0.0	44.0	0.0	26.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	49.0	0.0	35.0	31.0	0.0	16.0	12.0	13.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	45.0	48.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Akkermansia	37.0	0.0	0.0	27.0	10.0	0.0	12.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	14.0	31.0	0.0	0.0	0.0	0.0	24.0	10.0	16.0	19.0	17.0	0.0	0.0	0.0	12.0	18.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	22.0	2.0	13.0	0.0	46.0	0.0	0.0	21.0	13.0	0.0	40.0	40.0	1.0	13.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	29.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	14.0	2.0	0.0	14.0	13.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	41.0	0.0	17.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	29.0	35.0	0.0	0.0	13.0	13.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	36.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
