TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Agarivorans	Aggregatibacter	Alistipes	Alloprevotella	Alloscardovia	Anaerococcus	Anaeroglobus	Anaerostipes	Arcanobacterium	Atopobium	Avibacterium	Bacteroides	Barnesiella	Basfia	Bergeyella	Bifidobacterium	Blautia	Bulleidia	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chlamydia	Chryseobacterium	Clostridium	Collinsella	Conchiformibius	Coprobacillus	Corynebacterium	Dialister	Eggerthella	Eggerthia	Eikenella	Enterococcus	Escherichia	Eubacterium	Faecalibacterium	Filifactor	Flavobacterium	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Gulbenkiania	Haemophilus	Helcobacillus	Helicobacter	Histophilus	Holdemanella	Isoptericola	Johnsonella	Kingella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Leucobacter	Mannheimia	Megasphaera	Methylibium	Microbacterium	Mitsuokella	Mobiluncus	Mogibacterium	Moraxella	Moritella	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Nitrospira	Odoribacter	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paracoccus	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Scardovia	Sebaldella	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Sutterella	Tannerella	Treponema	Trueperella	Varibaculum	Veillonella	Vibrio	Vitreoscilla	Xylanimonas	Yersinia
Streptococcus	0.0	0.0	10.0	65.0	12.0	93.0	0.0	91.0	20.0	57.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	61.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	11.0	123.0	49.0	0.0	168.0	125.0	16.0	27.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	18.0	0.0	0.0	33.0	0.0	58.0	0.0	84.0	0.0	33.0	120.0	0.0	111.0	0.0	95.0	0.0	0.0	0.0	0.0	126.0	67.0	58.0	0.0	147.0	119.0	0.0	84.0	23.0	9.0	123.0	20.0	24.0	66.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	33.0	0.0	52.0	0.0	75.0	0.0	0.0	0.0	117.0	0.0	4.0	0.0	44.0	56.0	122.0	0.0	116.0	119.0	17.0	56.0	63.0	12.0	0.0	9.0	0.0	0.0	0.0	121.0	0.0	12.0	131.0	0.0	0.0	45.0	0.0	0.0	0.0	124.0	45.0	118.0	0.0	0.0	21.0	59.0	131.0	25.0	39.0	0.0	0.0	145.0	0.0
Sutterella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tannerella	0.0	0.0	0.0	11.0	0.0	14.0	0.0	19.0	10.0	16.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	19.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	20.0	6.0	0.0	16.0	10.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	15.0	0.0	11.0	0.0	0.0	16.0	0.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	16.0	14.0	13.0	0.0	19.0	6.0	0.0	18.0	0.0	0.0	12.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	11.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	9.0	11.0	14.0	0.0	19.0	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	20.0	21.0	0.0	0.0	20.0	20.0	3.0	5.0	0.0	0.0	17.0	0.0
Treponema	0.0	0.0	8.0	31.0	0.0	48.0	0.0	42.0	14.0	31.0	0.0	0.0	0.0	0.0	4.0	51.0	2.0	34.0	0.0	0.0	0.0	16.0	2.0	5.0	0.0	0.0	4.0	53.0	16.0	0.0	51.0	46.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	6.0	17.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	35.0	0.0	46.0	0.0	5.0	51.0	0.0	50.0	0.0	44.0	0.0	0.0	0.0	0.0	44.0	38.0	36.0	0.0	52.0	78.0	18.0	40.0	11.0	0.0	61.0	7.0	15.0	41.0	0.0	0.0	2.0	0.0	23.0	0.0	0.0	15.0	0.0	42.0	0.0	26.0	1.0	2.0	0.0	53.0	0.0	0.0	0.0	23.0	37.0	56.0	0.0	35.0	63.0	0.0	29.0	30.0	0.0	0.0	5.0	0.0	0.0	0.0	43.0	0.0	14.0	53.0	0.0	0.0	20.0	0.0	0.0	0.0	63.0	19.0	55.0	59.0	0.0	20.0	0.0	41.0	7.0	21.0	0.0	0.0	60.0	0.0
Trueperella	9.0	2.0	0.0	47.0	0.0	72.0	0.0	61.0	19.0	52.0	0.0	0.0	4.0	0.0	4.0	88.0	0.0	47.0	0.0	0.0	0.0	28.0	0.0	2.0	0.0	0.0	0.0	94.0	29.0	5.0	133.0	82.0	0.0	27.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	12.0	0.0	2.0	24.0	0.0	48.0	0.0	72.0	4.0	28.0	102.0	3.0	76.0	0.0	71.0	0.0	0.0	0.0	0.0	83.0	53.0	43.0	0.0	105.0	75.0	0.0	65.0	16.0	0.0	95.0	11.0	15.0	53.0	0.0	0.0	0.0	2.0	67.0	1.0	0.0	27.0	9.0	39.0	0.0	48.0	0.0	0.0	4.0	75.0	0.0	0.0	0.0	26.0	42.0	93.0	0.0	79.0	77.0	11.0	46.0	41.0	3.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	6.0	112.0	0.0	0.0	49.0	0.0	0.0	0.0	99.0	32.0	103.0	131.0	0.0	20.0	41.0	0.0	22.0	39.0	0.0	0.0	120.0	0.0
Varibaculum	0.0	0.0	0.0	7.0	0.0	14.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	24.0	14.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	14.0	0.0	11.0	25.0	0.0	14.0	0.0	12.0	0.0	0.0	0.0	0.0	19.0	0.0	4.0	0.0	22.0	19.0	0.0	5.0	0.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	10.0	0.0	6.0	0.0	9.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	13.0	15.0	0.0	16.0	15.0	0.0	12.0	10.0	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	20.0	25.0	0.0	3.0	7.0	22.0	0.0	3.0	0.0	0.0	24.0	0.0
Veillonella	0.0	0.0	0.0	0.0	0.0	69.0	0.0	16.0	0.0	15.0	0.0	0.0	13.0	0.0	0.0	45.0	0.0	13.0	0.0	0.0	0.0	10.0	0.0	11.0	0.0	0.0	0.0	28.0	11.0	9.0	46.0	63.0	49.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	14.0	12.0	0.0	51.0	0.0	0.0	40.0	11.0	28.0	0.0	42.0	0.0	0.0	0.0	0.0	12.0	15.0	19.0	0.0	18.0	44.0	25.0	0.0	0.0	0.0	28.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	5.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	22.0	17.0	12.0	15.0	48.0	5.0	28.0	79.0	0.0	4.0	0.0	0.0	0.0	14.0	42.0	0.0	33.0	31.0	13.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	30.0	39.0	0.0	5.0	21.0	39.0	3.0	0.0	0.0	0.0	41.0	0.0
Vibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vitreoscilla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xylanimonas	9.0	0.0	0.0	56.0	13.0	93.0	0.0	79.0	17.0	47.0	0.0	0.0	4.0	0.0	0.0	112.0	2.0	50.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	103.0	35.0	0.0	144.0	107.0	20.0	25.0	0.0	0.0	77.0	0.0	0.0	0.0	10.0	34.0	0.0	2.0	12.0	0.0	0.0	39.0	0.0	48.0	0.0	79.0	8.0	30.0	147.0	0.0	103.0	0.0	83.0	0.0	0.0	0.0	0.0	119.0	52.0	48.0	0.0	139.0	114.0	10.0	85.0	12.0	8.0	93.0	21.0	24.0	79.0	0.0	0.0	0.0	0.0	83.0	4.0	0.0	29.0	0.0	53.0	0.0	63.0	0.0	0.0	7.0	107.0	0.0	0.0	0.0	35.0	50.0	121.0	0.0	91.0	104.0	17.0	43.0	56.0	0.0	0.0	11.0	0.0	0.0	0.0	105.0	0.0	10.0	135.0	0.0	0.0	43.0	0.0	0.0	0.0	119.0	38.0	122.0	145.0	0.0	17.0	60.0	120.0	24.0	41.0	0.0	0.0	0.0	0.0
Yersinia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
