TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Agarivorans	Aggregatibacter	Alistipes	Alloprevotella	Alloscardovia	Anaerococcus	Anaeroglobus	Anaerostipes	Arcanobacterium	Atopobium	Avibacterium	Bacteroides	Barnesiella	Basfia	Bergeyella	Bifidobacterium	Blautia	Bulleidia	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chlamydia	Chryseobacterium	Clostridium	Collinsella	Conchiformibius	Coprobacillus	Corynebacterium	Dialister	Eggerthella	Eggerthia	Eikenella	Enterococcus	Escherichia	Eubacterium	Faecalibacterium	Filifactor	Flavobacterium	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Gulbenkiania	Haemophilus	Helcobacillus	Helicobacter	Histophilus	Holdemanella	Isoptericola	Johnsonella	Kingella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Leucobacter	Mannheimia	Megasphaera	Methylibium	Microbacterium	Mitsuokella	Mobiluncus	Mogibacterium	Moraxella	Moritella	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Nitrospira	Odoribacter	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paracoccus	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Scardovia	Sebaldella	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Sutterella	Tannerella	Treponema	Trueperella	Varibaculum	Veillonella	Vibrio	Vitreoscilla	Xylanimonas	Yersinia
Sanguibacter	11.0	0.0	7.0	53.0	0.0	102.0	0.0	87.0	19.0	55.0	0.0	0.0	0.0	0.0	6.0	121.0	0.0	51.0	0.0	0.0	0.0	30.0	0.0	3.0	0.0	0.0	7.0	105.0	37.0	2.0	138.0	99.0	17.0	25.0	0.0	0.0	71.0	0.0	0.0	0.0	6.0	32.0	0.0	0.0	17.0	0.0	0.0	32.0	0.0	51.0	0.0	90.0	0.0	24.0	110.0	0.0	98.0	0.0	80.0	0.0	0.0	0.0	0.0	116.0	61.0	53.0	0.0	133.0	112.0	0.0	78.0	12.0	0.0	112.0	21.0	22.0	77.0	0.0	0.0	0.0	5.0	76.0	0.0	0.0	29.0	10.0	45.0	0.0	59.0	0.0	0.0	0.0	97.0	0.0	4.0	0.0	31.0	60.0	114.0	0.0	98.0	101.0	16.0	50.0	69.0	9.0	4.0	0.0	0.0	0.0	2.0	98.0	0.0	8.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	111.0	47.0	108.0	131.0	0.0	17.0	53.0	112.0	21.0	31.0	0.0	0.0	135.0	0.0
Scardovia	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0	0.0
Sebaldella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonas	5.0	2.0	0.0	0.0	0.0	16.0	0.0	14.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	15.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	4.0	45.0	38.0	0.0	33.0	0.0	0.0	23.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	22.0	0.0	29.0	0.0	14.0	28.0	0.0	25.0	0.0	26.0	0.0	0.0	2.0	0.0	39.0	29.0	12.0	0.0	54.0	25.0	0.0	24.0	0.0	0.0	48.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	32.0	2.0	0.0	0.0	0.0	15.0	0.0	16.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	16.0	30.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	36.0	45.0	0.0	0.0	20.0	49.0	0.0	0.0	0.0	0.0	43.0	0.0
Shuttleworthia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Simonsiella	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slackia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Solobacterium	14.0	0.0	9.0	44.0	10.0	75.0	0.0	73.0	16.0	47.0	0.0	0.0	0.0	0.0	2.0	95.0	0.0	41.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	7.0	92.0	34.0	6.0	119.0	84.0	0.0	17.0	0.0	0.0	79.0	0.0	0.0	0.0	4.0	34.0	0.0	0.0	16.0	0.0	0.0	29.0	11.0	46.0	0.0	68.0	0.0	20.0	103.0	0.0	86.0	0.0	82.0	0.0	0.0	0.0	0.0	92.0	59.0	50.0	0.0	122.0	111.0	17.0	65.0	11.0	0.0	105.0	8.0	22.0	57.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	25.0	7.0	52.0	0.0	62.0	0.0	0.0	0.0	77.0	0.0	2.0	0.0	30.0	62.0	109.0	4.0	85.0	85.0	13.0	47.0	37.0	5.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	5.0	111.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	33.0	104.0	124.0	0.0	14.0	63.0	99.0	17.0	22.0	0.0	0.0	119.0	0.0
Staphylococcus	0.0	0.0	6.0	27.0	10.0	34.0	0.0	43.0	11.0	24.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	19.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	33.0	13.0	0.0	37.0	32.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	19.0	0.0	30.0	0.0	10.0	33.0	0.0	45.0	0.0	29.0	0.0	0.0	0.0	0.0	36.0	24.0	25.0	0.0	39.0	37.0	0.0	42.0	6.0	0.0	33.0	6.0	0.0	18.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	15.0	2.0	18.0	0.0	19.0	0.0	3.0	0.0	28.0	0.0	0.0	0.0	13.0	22.0	46.0	0.0	40.0	29.0	0.0	18.0	16.0	10.0	0.0	6.0	0.0	0.0	0.0	27.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	5.0	0.0	33.0	0.0	35.0	45.0	0.0	14.0	19.0	32.0	0.0	0.0	0.0	0.0	38.0	0.0
Stomatobaculum	0.0	0.0	0.0	41.0	11.0	85.0	0.0	73.0	23.0	54.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	47.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	121.0	34.0	0.0	127.0	80.0	14.0	17.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	13.0	0.0	0.0	24.0	0.0	45.0	0.0	54.0	0.0	29.0	115.0	0.0	92.0	0.0	76.0	0.0	0.0	0.0	0.0	95.0	48.0	51.0	0.0	124.0	97.0	0.0	79.0	22.0	0.0	90.0	16.0	22.0	82.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	28.0	0.0	54.0	0.0	59.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	30.0	55.0	110.0	0.0	91.0	97.0	10.0	42.0	61.0	0.0	0.0	9.0	0.0	0.0	0.0	75.0	0.0	7.0	108.0	0.0	0.0	36.0	0.0	0.0	0.0	104.0	35.0	0.0	118.0	0.0	20.0	55.0	103.0	20.0	30.0	0.0	0.0	122.0	0.0
