TAXA	Abiotrophia	Actinobaculum	Actinomyces	Aggregatibacter	Alloprevotella	Anaeroglobus	Arcanobacterium	Atopobium	Bacteroides	Bergeyella	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chryseobacterium	Corynebacterium	Cryptobacterium	Dialister	Eikenella	Eubacterium	Filifactor	Fusobacterium	Gemella	Granulicatella	Haemophilus	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lautropia	Leptotrichia	Megasphaera	Morococcus	Mycoplasma	Neisseria	Olsenella	Oribacterium	Ottowia	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Pseudoramibacter	Riemerella	Rothia	Sanguibacter	Scardovia	Selenomonas	Shuttleworthia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Tannerella	Thauera	Treponema	Veillonella
Bulleidia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Campylobacter	3.0	1.0	2.0	1.0	0.0	1.0	1.0	2.0	2.0	3.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	1.0	4.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	4.0	1.0	0.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0	3.0	2.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
Capnocytophaga	3.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	4.0	0.0	2.0	2.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	4.0	0.0	1.0	1.0	0.0	0.0	3.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	4.0
Cardiobacterium	4.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	3.0	2.0	3.0	4.0	3.0	2.0	0.0	2.0	3.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0	1.0	3.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	2.0	0.0	3.0	1.0	1.0	3.0	2.0
Carnobacterium	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	2.0	1.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0
Catonella	2.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	4.0	3.0	4.0	3.0	3.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	4.0	1.0	2.0	3.0	1.0	4.0	0.0	0.0	4.0	2.0
Cellulomonas	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Centipeda	0.0	2.0	0.0	0.0	2.0	2.0	0.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	3.0	3.0	1.0	1.0	0.0	2.0	1.0	1.0	3.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0
Chryseobacterium	3.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	2.0	3.0	0.0	4.0	3.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	4.0	2.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0
Corynebacterium	1.0	1.0	2.0	2.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0	3.0	0.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	2.0	5.0	1.0	1.0	2.0	3.0	0.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	0.0	1.0	1.0	4.0
