 LEVEL TAXA abundance
492 genus Chitinivibrio 0.0
493 genus Chitinophaga 0.0
494 genus Chlamydia 0.0
495 genus Chlorobaculum 0.0
496 genus Chlorobium 0.0
497 genus Chloroflexus 0.0
498 genus Chloroherpeton 0.0
499 genus Chondromyces 0.0
500 genus Chromobacterium 0.0
501 genus Chryseobacterium 0.0
502 genus Chrysiogenes 0.0
503 genus Chthoniobacter 0.0
504 genus Citrobacter 0.0
505 genus Clavibacter 0.0
506 genus Cloacibacillus 0.0
507 genus Clostridiisalibacter 0.0
508 genus Clostridium 0.0055
509 genus Cobetia 0.0
510 genus Cohnella 0.0
511 genus Coleofasciculus 0.0
512 genus Collinsella 0.0
513 genus Colwellia 0.0
514 genus Comamonas 0.0002
515 genus Conchiformibius 0.0
516 genus Congregibacter 0.0
517 genus Coprobacillus 0.0
518 genus Coprobacter 0.0
519 genus Coprococcus 0.0
520 genus Coprothermobacter 0.0
521 genus Coriobacterium 0.0
522 genus Corynebacterium 0.0002
523 genus Coxiella 0.0
524 genus Criblamydia 0.0
525 genus Croceibacter 0.0
526 genus Crocosphaera 0.0
527 genus Cryobacterium 0.0
528 genus Cryptobacterium 0.0
529 genus Cupriavidus 0.0004
530 genus Curtobacterium 0.0
531 genus Curvibacter 0.0
532 genus Cyanothece 0.0
533 genus Cyclobacterium 0.0
534 genus Cytophaga 0.0
535 genus Dechloromonas 0.0
536 genus Deferribacter 0.0
537 genus Defluviitalea 0.0
538 genus Dehalobacter 0.0
539 genus Dehalococcoides 0.0
540 genus Dehalogenimonas 0.0
541 genus Deinococcus 0.0
542 genus Delftia 0.0
543 genus Dermabacter 0.0
544 genus Dermacoccus 0.0
545 genus Dermatophilus 0.0
546 genus Derxia 0.0
547 genus Desmospora 0.0
548 genus Desulfarculus 0.0
549 genus Desulfatiglans 0.0
550 genus Desulfatirhabdium 0.0
551 genus Desulfitibacter 0.0
552 genus Desulfitobacterium 0.0
553 genus Desulfobacter 0.0
554 genus Desulfobacterium 0.0
555 genus Desulfobacula 0.0
556 genus Desulfobulbus 0.0
557 genus Desulfocapsa 0.0
558 genus Desulfocarbo 0.0
559 genus Desulfococcus 0.0
560 genus Desulfomicrobium 0.0
561 genus Desulfonatronum 0.0
562 genus Desulforegula 0.0
563 genus Desulfosarcina 0.0
564 genus Desulfospira 0.0
565 genus Desulfosporosinus 0.0
566 genus Desulfotalea 0.0
567 genus Desulfotignum 0.0
568 genus Desulfotomaculum 0.0
569 genus Desulfovermiculus 0.0
570 genus Desulfovibrio 0.0
571 genus Desulfovirgula 0.0
572 genus Desulfurispirillum 0.0
573 genus Desulfurispora 0.0
574 genus Desulfurobacterium 0.0
575 genus Desulfuromonas 0.0
576 genus Dethiobacter 0.0
577 genus Dethiosulfatarculus 0.0
578 genus Dethiosulfovibrio 0.0
579 genus Devosia 0.0
580 genus Devriesea 0.0
581 genus Dialister 0.0001
582 genus Diaphorobacter 0.0
583 genus Dichelobacter 0.0
584 genus Dickeya 0.0
585 genus Dielma 0.0
586 genus Dietzia 0.0
587 genus Diplosphaera 0.0
588 genus Dokdonia 0.0
589 genus Dolichospermum 0.0
590 genus Dolosigranulum 0.0
591 genus Domibacillus 0.0
592 genus Dorea 0.0
593 genus Draconibacterium 0.0
594 genus Dyadobacter 0.0
595 genus Dysgonomonas 0.0
596 genus Echinicola 0.0
597 genus Edwardsiella 0.0
598 genus Eggerthella 0.0
599 genus Eggerthia 0.0
600 genus Eikenella 0.0
601 genus Elizabethkingia 0.0
602 genus Empedobacter 0.0
603 genus Endomicrobium 0.0
604 genus Endozoicomonas 0.0
605 genus Enhydrobacter 0.0008
606 genus Enorma 0.0
607 genus Enterobacter 0.0
608 genus Enterococcus 0.0
609 genus Enterorhabdus 0.0
610 genus Enterovibrio 0.0
611 genus Entomoplasma 0.0
612 genus Epilithonimonas 0.0
613 genus Epulopiscium 0.0
614 genus Eremococcus 0.0
615 genus Erwinia 0.0
616 genus Erysipelatoclostridium 0.0
617 genus Erysipelothrix 0.0
618 genus Erythrobacter 0.0
619 genus Escherichia 0.0
620 genus Ethanoligenens 0.0
621 genus Eubacterium 0.0
622 genus Ewingella 0.0
623 genus Exiguobacterium 0.0001
624 genus Facklamia 0.0
625 genus Faecalibacterium 0.0
626 genus Faecalicoccus 0.0
627 genus Faecalitalea 0.0
628 genus Fangia 0.0
629 genus Fenollaria 0.0027
630 genus Fermentimonas 0.0
631 genus Ferrimonas 0.0
632 genus Ferrovum 0.0
633 genus Fervidicella 0.0
634 genus Fervidobacterium 0.0
635 genus Fibrella 0.0
636 genus Fibrisoma 0.0
637 genus Fibrobacter 0.0
638 genus Fictibacillus 0.0
639 genus Filifactor 0.0
640 genus Finegoldia 0.0004
641 genus Flagellimonas 0.0
642 genus Flammeovirga 0.0
643 genus Flaviflexus 0.0
644 genus Flavihumibacter 0.0
645 genus Flavobacterium 0.0
646 genus Flavonifractor 0.0
647 genus Flectobacillus 0.0
648 genus Flexibacter 0.0
649 genus Flexithrix 0.0
650 genus Formosa 0.0
651 genus Francisella 0.0
652 genus Frankia 0.0
653 genus Frischella 0.0
654 genus Fructobacillus 0.0
655 genus Fulvivirga 0.0
656 genus Fusobacterium 0.0
657 genus Galbibacter 0.0
658 genus Gallaecimonas 0.0
659 genus Gallibacterium 0.0
660 genus Gardnerella 0.0038
661 genus Gayadomonas 0.0
662 genus Geitlerinema 0.0
663 genus Gemella 0.0
664 genus Geminicoccus 0.0
665 genus Gemmatimonas 0.0
666 genus Geoalkalibacter 0.0
667 genus Geobacillus 0.0
668 genus Geobacter 0.0
669 genus Geopsychrobacter 0.0
670 genus Georgenia 0.0
671 genus Geovibrio 0.0
672 genus Gilliamella 0.0
673 genus Gillisia 0.0
674 genus Gilvimarinus 0.0
675 genus Glaciecola 0.0
676 genus Gluconobacter 0.0
677 genus Glutamicibacter 0.0
678 genus Glycomyces 0.0
679 genus Gordonia 0.0
680 genus Gordonibacter 0.0
681 genus Gorillibacterium 0.0
682 genus Gottschalkia 0.0
683 genus Gracilibacillus 0.0
684 genus Gramella 0.0
685 genus Granulicatella 0.0
686 genus Granulicoccus 0.0
687 genus Gulbenkiania 0.0
688 genus Gulosibacter 0.0
689 genus Haematobacter 0.0
690 genus Haemophilus 0.0
691 genus Hafnia 0.0
692 genus Halalkalibacillus 0.0
693 genus Halanaerobium 0.0
694 genus Haliangium 0.0
695 genus Haliscomenobacter 0.0
696 genus Hallella 0.0
697 genus Halobacteroides 0.0
698 genus Haloferula 0.0
699 genus Halomonas 0.0
700 genus Halonatronum 0.0
701 genus Haloplasma 0.0
702 genus Hassallia 0.0
703 genus Helcobacillus 0.0
704 genus Helcococcus 0.0
705 genus Helicobacter 0.0
706 genus Heliobacterium 0.0
707 genus Herbaspirillum 0.0033
708 genus Herbinix 0.0
709 genus Herminiimonas 0.0
710 genus Hippea 0.0
711 genus Histophilus 0.0
712 genus Holdemanella 0.0
713 genus Holdemania 0.0
714 genus Holophaga 0.0
715 genus Hungatella 0.0
716 genus Hylemonella 0.0
717 genus Hymenobacter 0.0
718 genus Hyphomonas 0.0
719 genus Ideonella 0.0
720 genus Idiomarina 0.0
721 genus Ilyobacter 0.0
722 genus Imtechella 0.0
723 genus Indibacter 0.0
724 genus Intestinibacter 0.0
725 genus Intestinimonas 0.0
726 genus Intrasporangium 0.0
727 genus Isoptericola 0.0
728 genus Janibacter 0.0
729 genus Jannaschia 0.0
730 genus Janthinobacterium 0.0
731 genus Jejuia 0.0
732 genus Jeotgalibacillus 0.0
733 genus Jeotgalicoccus 0.0
734 genus Johnsonella 0.0
735 genus Jonesia 0.0
736 genus Jonquetella 0.0
737 genus Joostella 0.0
738 genus Kallipyga 0.0
739 genus Kandleria 0.0
740 genus Kangiella 0.0
741 genus Kiloniella 0.0
742 genus Kineosphaera 0.0
743 genus Kingella 0.0
744 genus Klebsiella 0.0
745 genus Kluyvera 0.0
746 genus Kocuria 0.0001
747 genus Kordia 0.0
748 genus Kosmotoga 0.0
749 genus Kozakia 0.0
750 genus Kyrpidia 0.0
751 genus Kytococcus 0.0
752 genus Labrenzia 0.0
753 genus Lachnoanaerobaculum 0.0
754 genus Lachnobacterium 0.0
755 genus Lachnoclostridium 0.0
756 genus Lachnospira 0.0
757 genus Lacinutrix 0.0
758 genus Lacticigenium 0.0
759 genus Lactobacillus 0.9390000000000001
760 genus Lactococcus 0.0001
761 genus Laribacter 0.0
762 genus Lautropia 0.0
763 genus Lawsonella 0.0002
764 genus Leadbetterella 0.0
765 genus Leeia 0.0
766 genus Leeuwenhoekiella 0.0
767 genus Legionella 0.0
768 genus Leifsonia 0.0
769 genus Lelliottia 0.0
770 genus Lentzea 0.0
