	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Actinomyces oris	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
1	Actinomyces naeslundii	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
2	Actinomyces sp. ICM47	Actinomyces naeslundii	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
3	Actinomyces naeslundii	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
4	Actinomyces sp. ICM47	Actinomyces oris	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
5	Actinomyces oris	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
6	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
7	Actinomyces naeslundii	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
8	Actinomyces sp. oral taxon 170	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
9	Actinomyces oris	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
10	Actinomyces sp. oral taxon 170	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
11	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 170	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
12	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
13	Actinomyces naeslundii	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
14	Actinomyces sp. oral taxon 171	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
15	Actinomyces oris	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
16	Actinomyces sp. oral taxon 171	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
17	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 171	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
18	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
19	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
20	Candidatus Saccharibacteria oral taxon TM7x	Alloprevotella tannerae	1.0	2	2	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	2
21	Alloprevotella tannerae	Candidatus Saccharibacteria oral taxon TM7x	1.0	2	2	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	2
22	Capnocytophaga sp. oral taxon 329	Alloprevotella tannerae	1.0	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	2
23	Alloprevotella tannerae	Capnocytophaga sp. oral taxon 329	1.0	2	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	2
24	Capnocytophaga sp. oral taxon 329	Candidatus Saccharibacteria oral taxon TM7x	1.0	2	2	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	2
25	Candidatus Saccharibacteria oral taxon TM7x	Capnocytophaga sp. oral taxon 329	1.0	2	2	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	2
26	Capnocytophaga sp. oral taxon 332	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
27	Actinomyces naeslundii	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
28	Capnocytophaga sp. oral taxon 332	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
29	Actinomyces oris	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
30	Capnocytophaga sp. oral taxon 332	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
31	Actinomyces sp. ICM47	Capnocytophaga sp. oral taxon 332	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
32	Capnocytophaga sp. oral taxon 332	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
33	Actinomyces sp. oral taxon 170	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
34	Capnocytophaga sp. oral taxon 332	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
35	Actinomyces sp. oral taxon 171	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
36	Capnocytophaga sputigena	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
37	Actinomyces naeslundii	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
38	Capnocytophaga sputigena	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
39	Actinomyces oris	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
40	Capnocytophaga sputigena	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
41	Actinomyces sp. ICM47	Capnocytophaga sputigena	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
42	Capnocytophaga sputigena	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
43	Actinomyces sp. oral taxon 170	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
44	Capnocytophaga sputigena	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
45	Actinomyces sp. oral taxon 171	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
46	Capnocytophaga sputigena	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
47	Capnocytophaga sp. oral taxon 332	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
48	Chlamydia trachomatis	Alloprevotella tannerae	1.0	2	2	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	2
49	Alloprevotella tannerae	Chlamydia trachomatis	1.0	2	2	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	2
50	Chlamydia trachomatis	Candidatus Saccharibacteria oral taxon TM7x	1.0	2	2	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	2
51	Candidatus Saccharibacteria oral taxon TM7x	Chlamydia trachomatis	1.0	2	2	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	2
52	Chlamydia trachomatis	Capnocytophaga sp. oral taxon 329	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	2
53	Capnocytophaga sp. oral taxon 329	Chlamydia trachomatis	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	2
54	Corynebacterium durum	Actinomyces naeslundii	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
55	Actinomyces naeslundii	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
56	Corynebacterium durum	Actinomyces oris	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
57	Actinomyces oris	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
58	Corynebacterium durum	Actinomyces sp. ICM47	1.0	2	2	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	2
59	Actinomyces sp. ICM47	Corynebacterium durum	1.0	2	2	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	2
60	Corynebacterium durum	Actinomyces sp. oral taxon 170	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
61	Actinomyces sp. oral taxon 170	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
62	Corynebacterium durum	Actinomyces sp. oral taxon 171	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
63	Actinomyces sp. oral taxon 171	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
64	Corynebacterium durum	Capnocytophaga sp. oral taxon 332	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
65	Capnocytophaga sp. oral taxon 332	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
66	Corynebacterium durum	Capnocytophaga sputigena	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
67	Capnocytophaga sputigena	Corynebacterium durum	1.0	2	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
68	Corynebacterium matruchotii	Actinomyces naeslundii	1.0	1	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
69	Actinomyces naeslundii	Corynebacterium matruchotii	1.0	2	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	2
