TAXA	[Clostridium] leptum	[Eubacterium] siraeum	Abiotrophia defectiva	Acidovorax caeni	Acidovorax temperans	Acinetobacter baumannii	Acinetobacter johnsonii	Acinetobacter junii	Acinetobacter lwoffii	Acinetobacter sp. MDS7A	Acinetobacter towneri	Actinobaculum sp. oral taxon 183	Actinomyces dentalis	Actinomyces naeslundii	Actinomyces odontolyticus	Actinomyces oris	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 414	Actinomyces viscosus	Aerococcus viridans	Afipia birgiae	Aggregatibacter actinomycetemcomitans	Aggregatibacter aphrophilus	Akkermansia muciniphila	Alistipes onderdonkii	Alistipes shahii	Aliterella atlantica	Alloprevotella tannerae	alpha proteobacterium LLX12A	Anaerococcus prevotii	Anaerococcus provenciensis	Arcanobacterium sp. S3PF19	Atopobacter phocae	Aureimonas altamirensis	Azohydromonas australica	Bacillus cereus	Bacillus thermoamylovorans	Bacteroides caccae	Bacteroides coprocola	Bacteroides faecis	Bacteroides finegoldii	Bacteroides intestinalis	Bacteroides ovatus	Bacteroides stercoris	Bacteroides uniformis	Bacteroides vulgatus	Barnesiella intestinihominis	Bifidobacterium adolescentis	Bifidobacterium bifidum	Blautia obeum	Brevundimonas diminuta	Calothrix sp. PCC 7103	Campylobacter concisus	Campylobacter showae	Campylobacter ureolyticus	Candidatus Saccharibacteria oral taxon TM7x	Capnocytophaga gingivalis	Capnocytophaga sp. oral taxon 329	Capnocytophaga sp. oral taxon 332	Capnocytophaga sp. oral taxon 338	Capnocytophaga sputigena	Clostridium sp. L2-50	Coprococcus comes	Corynebacterium ammoniagenes	Corynebacterium aurimucosum	Corynebacterium camporealensis	Corynebacterium casei	Corynebacterium diphtheriae	Corynebacterium genitalium	Corynebacterium jeikeium	Corynebacterium kroppenstedtii	Corynebacterium massiliense	Corynebacterium matruchotii	Corynebacterium propinquum	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudogenitalium	Corynebacterium renale	Corynebacterium sp. GD7	Corynebacterium sp. KPL1824	Corynebacterium tuberculostearicum	Crocosphaera watsonii	Delftia sp. Cs1-4	Dialister invisus	Dolosigranulum pigrum	Enhydrobacter aerosaccus	Enterobacter aerogenes	Escherichia coli	Eubacterium sp. 3_1_31	Exiguobacterium marinum	Facklamia hominis	Gemella sanguinis	Granulicatella adiacens	Granulicatella elegans	Gulbenkiania mobilis	Haemophilus influenzae	Haemophilus parahaemolyticus	Haemophilus sputorum	Helicobacter suis	Kingella kingae	Kingella oralis	Klebsiella oxytoca	Kocuria kristinae	Kocuria rhizophila	Lactobacillus acidophilus	Lactobacillus brevis	Lactobacillus crispatus	Lactobacillus fermentum	Lactobacillus plantarum	Lactobacillus reuteri	Lactococcus lactis	Lautropia mirabilis	Lelliottia amnigena	Leptotrichia buccalis	Leucobacter sp. CBX151	Levyella massiliensis	Methylobacterium aquaticum	Micrococcus luteus	Modestobacter caceresii	Moraxella boevrei	Moraxella bovoculi	Moraxella macacae	Mycobacterium immunogenum	Mycobacterium iranicum	Neisseria meningitidis	Neisseria mucosa	Neisseria sicca	Odoribacter splanchnicus	Oribacterium sinus	Oribacterium sp. oral taxon 078	Oscillospiraceae bacterium VE202-24	Paenibacillus sophorae	Parabacteroides merdae	Paracoccus yeei	Pedobacter agri	Peptoniphilus harei	Peptoniphilus lacrimalis	Photobacterium iliopiscarium	Porphyromonas bennonis	Porphyromonas catoniae	Porphyromonas endodontalis	Prevotella amnii	Prevotella buccalis	Prevotella corporis	Prevotella histicola	Prevotella loescheii	Prevotella multiformis	Prevotella nigrescens	Prevotella oris	Prevotella oulorum	Prevotella pallens	Prevotella pleuritidis	Prevotella salivae	Prevotella sp. C561	Prevotella sp. oral taxon 299	Prevotella sp. oral taxon 473	Prevotella timonensis	Propionibacterium acnes	Propionibacterium avidum	Propionibacterium sp. HGH0353	Pseudomonas fluorescens	Pseudomonas stutzeri	Psychrobacter lutiphocae	Psychrobacter sp. 1501(2011)	Risungbinella massiliensis	Roseburia faecis	Roseburia intestinalis	Roseburia inulinivorans	Rothia dentocariosa	Ruminococcus bicirculans	Ruminococcus sp. 5_1_39BFAA	Shuttleworthia sp. MSX8B	Sphingobacterium sp. IITKGP-BTPF85	Sphingobium yanoikuyae	Sphingomonas sp. Ag1	Staphylococcus auricularis	Staphylococcus capitis	Staphylococcus epidermidis	Staphylococcus haemolyticus	Staphylococcus pasteuri	Stenotrophomonas maltophilia	Stomatobaculum longum	Streptococcus anginosus	Streptococcus equi	Streptococcus intermedius	Streptococcus macedonicus	Streptococcus mitis	Streptococcus oralis	Streptococcus parasanguinis	Streptococcus pneumoniae	Streptococcus pseudopneumoniae	Streptococcus salivarius	Streptococcus sp. 263_SSPC	Streptococcus suis	Streptococcus vestibularis	Streptomyces sp. MUSC119T	Tepidiphilus thermophilus	Veillonella dispar	Veillonella parvula	Vibrio vulnificus	Xanthomonas campestris
Azohydromonas australica	0.9991729401835807	0.0	0.0	0.0	0.0	0.9999999999999994	0.9984749778712733	0.9993578275563588	0.9999999999999997	0.9999999999999997	0.9023325582812515	0.0	0.0	0.9817025841567105	0.9999999999999997	0.9056241156018809	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.8141736840986619	0.0	0.0	0.9999999999999998	0.0	0.9999999999999994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.9993144982791332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997396908591947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9211323729436764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.9999999999999994	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8970124215255799	0.0	0.0	0.9611488104742163	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.8800044460700783	0.0	0.0	0.0	0.0	0.9977979777611965	0.0	0.0	0.0	0.0	0.0	0.0	0.814171183689384	0.9999999999999997	0.0	0.0	0.0	0.9999999999999994	0.0	0.0	0.0	0.9798191986792544	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.996403790047244	0.9999999999999998	0.9994238092705818
Bacillus cereus	0.0	0.999708582246471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999708582246471	0.0	0.0	0.9997085822464711	0.999708582246471	0.0	0.0	0.9997085822464712	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464711	0.0	0.9997085822464712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.0	0.9997085822464711	0.0	0.0	0.9997085822464712	0.0	0.0	0.9997085822464712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.0	0.0	0.999708582246471	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.9997085822464712	0.0	0.9997085822464712	0.0	0.0	0.9997085822464711	0.0	0.0	0.0	0.9997085822464712	0.0	0.0	0.0	0.0	0.999708582246471	0.0	0.0	0.0	0.9997085822464711	0.9997085822464712	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.0	0.9997085822464712	0.999708582246471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999708582246471	0.0	0.0	0.9997085822464711	0.0	0.999708582246471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.0	0.999708582246471	0.999708582246471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464711	0.9997085822464712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.9997085822464712	0.0	0.9997085822464711	0.9997085822464712	0.0	0.0	0.0	0.9997085822464711	0.0	0.0	0.999708582246471	0.0	0.0	0.0	0.9997085822464711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997085822464712	0.0	0.0	0.9997085822464711	0.0	0.0	0.0	0.0	0.0
Bacillus thermoamylovorans	0.999172940183581	0.0	0.0	0.0	0.0	0.9999999999999998	0.9984749778712736	0.9993578275563593	1.0	1.0	0.9023325582812519	0.0	0.0	0.9817025841567109	1.0	0.9056241156018814	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.8141736840986621	0.0	0.0	1.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9993144982791335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999739690859195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9211323729436769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8970124215255801	0.0	0.0	0.9611488104742165	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8800044460700785	0.0	0.0	0.0	0.0	0.9977979777611969	0.0	0.0	0.0	0.0	0.0	0.0	0.8141711836893842	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.0	0.0	0.9798191986792546	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9964037900472442	1.0	0.9994238092705823
Bacteroides caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9302605094190632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9874569484647038	0.0	0.0	0.0	0.0	0.9302605094190632	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.8833927378197968	0.0	0.0	0.0	0.0	0.0	0.9302605094190632	0.0	0.0	0.0	0.0	0.0	0.9709360728752819	0.0	0.0	0.0	0.9302605094190632	0.0	0.9302605094190632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880704845927979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides coprocola	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9972077012789868	0.0	0.0	0.0	0.0	0.9270319954271317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0000000000000002	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9684747092264968	0.0	0.0	0.0	0.0	0.0	0.9940381180543976	0.0	0.9602274597710856	0.0	0.0	0.0	0.8965261618981477	0.8938919453416462	0.969887836143006	0.0	0.0	0.0	0.0	0.0	0.0	0.9987664976185806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.999747092462562	0.0	1.0	0.9965464399287141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0000000000000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9372512457704228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9980665635828924	0.0	0.0	0.0
Bacteroides faecis	0.0	0.0	0.0	0.0	0.8793751740112375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9124520849553963	0.0	0.0	0.0	0.0	0.0	0.0	0.9996083962183767	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9992723869937299	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9488303784529496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920459177095623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8463318271271032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9312928858270049	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9510701885390961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8931746327127119	0.0	0.9501105775763218	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9287468675584696	0.0	0.9634784294735816	0.9051873628424728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides finegoldii	0.0	0.0	0.0	0.0	0.8793751740112375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9124520849553965	0.0	0.0	0.0	0.0	0.0	0.0	0.9996083962183768	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.99927238699373	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9488303784529497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920459177095624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8463318271271033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.931292885827005	1.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9510701885390962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.893174632712712	0.0	0.9501105775763219	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9287468675584698	0.0	0.9634784294735818	0.9051873628424729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides intestinalis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9798191986792545	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0000000000000002	0.0	0.9997085822464711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9938276458179881	0.0	0.0	0.0	1.0000000000000002	0.0	1.0	0.0	0.0	1.0000000000000002	0.9975172864691706	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.9996739148441169	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	1.0000000000000002	0.0	0.0	1.0	0.8660254037844387	0.0	0.0	1.0000000000000002	0.9038769075777338	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0000000000000002	0.0	0.9046713344351338	0.0	0.0	0.0	1.0000000000000002	0.8807048459279789	1.0000000000000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.9829463743659805	0.0	0.0	0.0	0.0	0.0	0.0	0.9444444444444442	0.0	0.0	0.0	1.0000000000000002	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	1.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9983838773059889	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteroides ovatus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9972077012789867	0.0	0.0	0.0	0.0	0.9270319954271314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	1.0	0.9999999999999997	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9684747092264967	0.0	0.0	0.0	0.0	0.0	0.9940381180543975	0.0	0.9602274597710853	0.0	0.0	0.0	0.8965261618981474	0.8938919453416461	0.9698878361430059	0.0	0.0	0.0	0.0	0.0	0.0	0.9987664976185805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.9997470924625619	0.0	0.9999999999999997	0.9965464399287138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.9372512457704226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.9980665635828923	0.0	0.0	0.0
Bacteroides stercoris	0.0	0.0	0.0	0.0	0.8793751740112379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9124520849553965	0.0	0.0	0.0	0.0	0.0	0.0	0.9996083962183769	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.99927238699373	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9488303784529497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920459177095624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8463318271271033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.931292885827005	1.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9510701885390962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.893174632712712	0.0	0.9501105775763219	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9287468675584698	0.0	0.9634784294735818	0.9051873628424729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides uniformis	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9972077012789867	0.0	0.0	0.0	0.0	0.9270319954271314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	1.0	0.9999999999999997	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9684747092264967	0.0	0.0	0.0	0.0	0.0	0.9940381180543975	0.0	0.9602274597710853	0.0	0.0	0.0	0.8965261618981474	0.8938919453416461	0.9698878361430059	0.0	0.0	0.0	0.0	0.0	0.0	0.9987664976185805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.9997470924625619	0.0	0.9999999999999997	0.9965464399287138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.9372512457704226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.9980665635828923	0.0	0.0	0.0
Bacteroides vulgatus	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.997207701278987	0.0	0.0	0.0	0.0	0.9270319954271317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9684747092264969	0.0	0.0	0.0	0.0	0.0	0.9940381180543977	0.0	0.9602274597710855	0.0	0.0	0.0	0.8965261618981479	0.8938919453416463	0.9698878361430061	0.0	0.0	0.0	0.0	0.0	0.0	0.9987664976185809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.9997470924625623	0.0	1.0	0.9965464399287143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	1.0000000000000002	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9372512457704231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9980665635828925	0.0	0.0	0.0
