TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Runella	Keratinized_gingiva	#17cbe4	3	13.0	12.0	#0ac0e8	#0ea5ef
Saccharicrinis	Buccal_mucosa	#445cfb	1	7.0	49.0	#3670f8	#ff3e1f
Sedimentibacter	Stool	#e8cb72	2	12.0	8.0	#01b3ec	#3473f8
Shigella	Stool	#e8cb72	1	34.0	20.0	#e8cb72	#40ecd4
Siccibacter	Anterior_nares	#8000ff	2	7.0	52.0	#3670f8	#ff1008
Sinorhizobium	Stool	#e8cb72	82	38.0	25.0	#ff9d53	#70febc
Solimonas	Anterior_nares	#8000ff	3	20.0	32.0	#54f6cb	#b2f396
Sorangium	Anterior_nares	#8000ff	1	32.0	34.0	#d4dd80	#c6e789
Sphaerotilus	R_Retroauricular_crease	#acf59a	1	42.0	21.0	#ff6232	#4af2cf
Sporosarcina	Anterior_nares	#8000ff	2	14.0	26.0	#14cae5	#7affb7
Streptomyces	R_Retroauricular_crease	#acf59a	92	30.0	5.0	#beec8e	#504afc
Sulfurihydrogenibium	Buccal_mucosa	#445cfb	1	39.0	27.0	#ff8e4a	#82ffb3
Synechococcus	Buccal_mucosa	#445cfb	2	39.0	27.0	#ff8e4a	#82ffb3
Synechocystis	Anterior_nares	#8000ff	10	44.0	3.0	#ff4422	#642cfe
Synergistes	Stool	#e8cb72	6	40.0	30.0	#ff8143	#a0faa1
Tatumella	R_Retroauricular_crease	#acf59a	3	18.0	4.0	#3febd5	#5a3bfd
Tepidimonas	R_Retroauricular_crease	#acf59a	43	35.0	5.0	#f2c26b	#504afc
Tessaracoccus	Anterior_nares	#8000ff	2	13.0	12.0	#0ac0e8	#0ea5ef
Tetrasphaera	L_Retroauricular_crease	#34e4d9	4	30.0	5.0	#beec8e	#504afc
Thermanaerovibrio	Anterior_nares	#8000ff	1	2.0	22.0	#6c1fff	#52f5cb
Thermoactinomyces	R_Retroauricular_crease	#acf59a	3	5.0	1.0	#4c50fc	#780dff
Thermobispora	Anterior_nares	#8000ff	1	7.0	51.0	#3670f8	#ff1f10
Thermocrinis	Buccal_mucosa	#445cfb	4	39.0	27.0	#ff8e4a	#82ffb3
Thermodesulfovibrio	Buccal_mucosa	#445cfb	1	39.0	27.0	#ff8e4a	#82ffb3
Thermomicrobium	Buccal_mucosa	#445cfb	1	39.0	27.0	#ff8e4a	#82ffb3
Thermus	L_Retroauricular_crease	#34e4d9	82	7.0	50.0	#3670f8	#ff2f18
Timonella	Anterior_nares	#8000ff	2	32.0	34.0	#d4dd80	#c6e789
Tolumonas	L_Retroauricular_crease	#34e4d9	1	46.0	42.0	#ff2211	#ff9b52
Tolypothrix	Anterior_nares	#8000ff	5	13.0	12.0	#0ac0e8	#0ea5ef
Turicella	Anterior_nares	#8000ff	26	24.0	6.0	#7effb5	#4856fb
Turicibacter	Stool	#e8cb72	2	7.0	53.0	#3670f8	#ff0000
