TAXA	Abiotrophia	Actinobaculum	Actinomyces	Aerococcus	Aggregatibacter	Alloprevotella	Capnocytophaga	Cardiobacterium	Comamonas	Corynebacterium	Cupriavidus	Dialister	Facklamia	Gardnerella	Gemella	Haemophilus	Herbaspirillum	Kingella	Lactobacillus	Lautropia	Lawsonella	Mycobacterium	Neisseria	Nocardia	Novosphingobium	Ottowia	Peptoniphilus	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Rothia	Sphingobium	Sphingopyxis	Stenotrophomonas	Streptococcus	Treponema	Ureaplasma	Veillonella
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.9824763780757721	0.9961164901835045	0.9961164901835045	0.0	0.9739735165828236	0.0	0.0	0.987505477265304	0.0	0.9824763780757721	0.0	0.0	0.0	0.0	0.0	0.9961164901835045	0.9929169689742567	0.9986310739646671	0.9961164901835045	0.0	0.0	0.0	0.0	0.9961164901835045	0.0	0.9385638197228472	0.9938249838352886	0.999903896977338	0.0	0.9999038969773378	0.0	0.0	0.0	0.9961164901835045	0.0	0.0	0.0
Actinomyces	0.0	0.9824763780757721	0.0	0.9622504486493764	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.9622504486493764	0.953381986056039	0.9908807141567179	0.0	0.0	0.9622504486493764	0.0	0.0	0.9622504486493764	0.0	0.9864400504156212	0.9970909029271469	0.9797979797979801	0.0	0.9797979797979799	0.0	0.0	0.0	0.9622504486493764	0.0	0.0	0.9622504486493764
Aerococcus	0.0	0.9961164901835045	0.9622504486493764	0.0	1.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.9961164901835045	0.9622504486493764	1.0	0.0	0.0	0.9901475429766743	0.0	0.0	0.9965457582448796	0.0	0.9622504486493764	0.0	0.0	0.0	0.0	0.0	1.0	0.9995172693649841	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.9801960588196069	0.9972413740548083	0.0	0.9972413740548081	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Capnocytophaga	0.0	0.9739735165828236	0.0	0.9901475429766743	0.9901475429766743	0.0	0.0	0.0	0.0	0.0	0.0	0.9146591207600472	0.0	0.0	0.0	0.0	0.0	0.0	0.9939933675098434	0.9607843137254901	0.9901475429766743	0.0	0.0	0.0	0.0	0.9901475429766743	0.0	0.0	0.0	0.9770222426300504	0.0	0.9770222426300502	0.0	0.0	0.0	0.9901475429766743	0.0	0.0	0.9901475429766743
Cardiobacterium	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.999666043271478	0.0	0.0	0.9961164901835043	0.0	0.0	0.0	0.0	0.9965457582448798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9987853426922668	0.0	0.9918365981341756	0.0	0.0	0.0	0.0	1.0	0.0
Corynebacterium	0.0	0.987505477265304	0.0	0.9965457582448796	0.9965457582448796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9965457582448796	0.9976764502482091	0.9785046062067444	0.9965457582448796	0.0	0.9965457582448796	0.0	0.0	0.9965457582448796	0.0	0.8763704002132352	0.9651815315142537	0.9894379039743837	0.0	0.9894379039743836	0.0	0.0	0.0	0.9965457582448796	0.0	0.0	0.9965457582448796
